timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1376148600,Zeta,Lovcen,1,0,,,,0
1376148600,Sutjeska,Mornar Bar,2,0,,,,0
1376148600,Rudar,Celik Niksic,1,2,,,,0
1376148600,Petrovac,Decic,0,0,,,,0
1376148600,Grbalj,Mogren,0,1,,,,0
1376235000,Buducnost,Titograd,1,1,,,,0
1376751600,Titograd,Rudar,2,1,,,,0
1376751600,Petrovac,Sutjeska,2,2,,,,0
1376751600,Mornar Bar,Grbalj,1,2,,,,0
1376751600,Decic,Lovcen,0,0,,,,0
1376751600,Celik Niksic,Zeta,2,0,,,,0
1376838000,Mogren,Buducnost,1,0,,,,0
1377356400,Zeta,Titograd,1,0,,,,0
1377356400,Rudar,Mogren,1,1,,,,0
1377356400,Lovcen,Celik Niksic,0,2,,,,0
1377356400,Grbalj,Petrovac,2,2,,,,0
1377356400,Buducnost,Mornar Bar,1,2,,,,0
1377442800,Sutjeska,Decic,4,1,,,,0
1377702000,Titograd,Lovcen,0,2,,,,0
1377702000,Sutjeska,Grbalj,0,1,,,,0
1377702000,Petrovac,Buducnost,1,3,,,,0
1377702000,Mornar Bar,Rudar,0,0,,,,0
1377702000,Mogren,Zeta,4,3,,,,0
1377702000,Decic,Celik Niksic,2,2,,,,0
1377961200,Zeta,Mornar Bar,5,2,,,,0
1377961200,Rudar,Petrovac,0,1,,,,0
1377961200,Lovcen,Mogren,1,3,,,,0
1377961200,Grbalj,Decic,3,1,,,,0
1377961200,Celik Niksic,Titograd,3,1,,,,0
1378047600,Buducnost,Sutjeska,0,0,,,,0
1379167200,Sutjeska,Rudar,2,2,,,,0
1379167200,Petrovac,Zeta,1,2,,,,0
1379167200,Mornar Bar,Lovcen,0,1,,,,0
1379167200,Grbalj,Buducnost,0,1,,,,0
1379167200,Decic,Titograd,0,1,,,,0
1379253600,Mogren,Celik Niksic,1,1,,,,0
1379770200,Titograd,Mogren,0,0,,,,0
1379770200,Rudar,Grbalj,1,0,,,,0
1379770200,Lovcen,Petrovac,0,1,,,,0
1379770200,Celik Niksic,Mornar Bar,3,0,,,,0
1379770200,Buducnost,Decic,2,0,,,,0
1379854800,Zeta,Sutjeska,0,2,,,,0
1380114000,Sutjeska,Lovcen,0,0,,,,0
1380114000,Petrovac,Celik Niksic,1,0,,,,0
1380114000,Mornar Bar,Titograd,4,2,,,,0
1380114000,Grbalj,Zeta,2,0,,,,0
1380114000,Decic,Mogren,1,1,,,,0
1380114000,Buducnost,Rudar,0,1,,,,0
1380373200,Zeta,Buducnost,0,1,,,,0
1380373200,Titograd,Petrovac,1,2,,,,0
1380373200,Rudar,Decic,2,1,,,,0
1380373200,Mogren,Mornar Bar,2,2,,,,0
1380373200,Lovcen,Grbalj,4,0,,,,0
1380459600,Celik Niksic,Sutjeska,0,0,,,,0
1380978000,Sutjeska,Titograd,2,0,,,,0
1380978000,Rudar,Zeta,0,1,,,,0
1380978000,Grbalj,Celik Niksic,1,0,,,,0
1380978000,Decic,Mornar Bar,2,0,,,,0
1380978000,Buducnost,Lovcen,2,1,,,,0
1381062600,Petrovac,Mogren,2,0,,,,0
1382185800,Zeta,Decic,2,2,,,,0
1382185800,Titograd,Grbalj,1,1,,,,0
1382185800,Mornar Bar,Petrovac,0,2,,,,0
1382185800,Lovcen,Rudar,2,1,,,,0
1382185800,Celik Niksic,Buducnost,2,1,,,,0
1382270400,Mogren,Sutjeska,0,3,,,,0
1382787000,Titograd,Buducnost,1,2,,,,0
1382787000,Mornar Bar,Sutjeska,0,1,,,,0
1382787000,Mogren,Grbalj,3,1,,,,0
1382787000,Lovcen,Zeta,4,1,,,,0
1382787000,Decic,Petrovac,1,1,,,,0
1382787000,Celik Niksic,Rudar,2,1,,,,0
1383395400,Zeta,Celik Niksic,1,1,,,,0
1383395400,Sutjeska,Petrovac,2,0,,,,0
1383395400,Lovcen,Decic,1,1,,,,0
1383395400,Grbalj,Mornar Bar,0,0,,,,0
1383395400,Buducnost,Mogren,2,0,,,,0
1383481800,Rudar,Titograd,2,0,,,,0
1384000200,Titograd,Zeta,2,1,,,,0
1384000200,Mornar Bar,Buducnost,1,1,,,,0
1384000200,Mogren,Rudar,0,1,,,,0
1384000200,Decic,Sutjeska,0,1,,,,0
1384000200,Celik Niksic,Lovcen,0,1,,,,0
1384086600,Petrovac,Grbalj,1,1,,,,0
1385553600,Zeta,Mogren,5,2,,,,0
1385553600,Lovcen,Titograd,1,0,,,,0
1385553600,Grbalj,Sutjeska,2,2,,,,0
1385553600,Celik Niksic,Decic,1,1,,,,0
1385553600,Buducnost,Petrovac,1,2,,,,0
1385812800,Titograd,Celik Niksic,0,1,,,,0
1385812800,Petrovac,Rudar,0,0,,,,0
1385812800,Mornar Bar,Zeta,4,0,,,,0
1385812800,Mogren,Lovcen,2,3,,,,0
1385812800,Decic,Grbalj,3,0,,,,0
1385899200,Sutjeska,Buducnost,1,1,,,,0
1386158400,Rudar,Mornar Bar,1,1,,,,0
1386417600,Zeta,Petrovac,3,2,,,,0
1386417600,Titograd,Decic,3,0,,,,0
1386417600,Rudar,Sutjeska,0,1,,,,0
1386417600,Lovcen,Mornar Bar,1,2,,,,0
1386417600,Celik Niksic,Mogren,4,2,,,,0
1386417600,Buducnost,Grbalj,0,0,,,,0
1393333200,Sutjeska,Zeta,1,0,,,,0
1393333200,Petrovac,Lovcen,1,1,,,,0
1393333200,Mornar Bar,Celik Niksic,2,1,,,,0
1393333200,Mogren,Titograd,1,1,,,,0
1393333200,Grbalj,Rudar,1,3,,,,0
1393333200,Decic,Buducnost,0,2,,,,0
1393678800,Zeta,Grbalj,0,2,,,,0
1393678800,Titograd,Mornar Bar,2,0,,,,0
1393678800,Rudar,Buducnost,1,0,,,,0
1393678800,Mogren,Decic,3,1,,,,0
1393678800,Lovcen,Sutjeska,3,0,,,,0
1393678800,Celik Niksic,Petrovac,0,0,,,,0
1394285400,Petrovac,Titograd,1,1,,,,0
1394285400,Mornar Bar,Mogren,3,0,,,,0
1394285400,Grbalj,Lovcen,0,0,,,,0
1394285400,Decic,Rudar,1,0,,,,0
1394285400,Buducnost,Zeta,2,0,,,,0
1394366400,Sutjeska,Celik Niksic,1,0,,,,0
1394892000,Zeta,Rudar,2,0,,,,0
