timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1313793000,Maghreb Fez,Hassania Agadir,KrkUCdS2,63LcsWgs,2,0,,,,0
1313879400,Wydad,Ittihad Khemisset,GSoKqW7o,tjaWbDi4,2,0,,,,0
1313965800,KAC Kenitra,Raja Casablanca,fipfTfz0,fLPkADxb,1,0,,,,0
1314052200,Difaa El Jadidi,Olympique de Safi,W6bUbbPE,63LcsWgs,2,1,,,,0
1314138600,COD Meknes,Olympique Khouribga,zLWTcQkh,j7JNl0QM,1,1,,,,0
1314225000,FAR Rabat,Hoceima,EyoH1qCf,j7JNl0QM,0,0,,,,0
1314311400,Moghreb Tetouan,FUS Rabat,bZmYBGs9,W6bUbbPE,0,0,,,,0
1314398400,Jeunesse Massira,Wydad Fes,W2YGpOVH,ENXum5X8,3,3,,,,0
1316203200,FUS Rabat,Jeunesse Massira,W6bUbbPE,W2YGpOVH,2,0,,,,0
1316271600,Hoceima,COD Meknes,j7JNl0QM,zLWTcQkh,1,0,,,,0
1316289600,Olympique Khouribga,Moghreb Tetouan,j7JNl0QM,bZmYBGs9,1,3,,,,0
1316358000,Olympique de Safi,KAC Kenitra,63LcsWgs,fipfTfz0,1,1,,,,0
1316361600,Ittihad Khemisset,Difaa El Jadidi,tjaWbDi4,W6bUbbPE,1,1,,,,0
1316372400,Hassania Agadir,FAR Rabat,63LcsWgs,EyoH1qCf,0,0,,,,0
1316635200,Raja Casablanca,Maghreb Fez,fLPkADxb,KrkUCdS2,1,1,,,,0
1316808000,Difaa El Jadidi,Wydad Fes,W6bUbbPE,ENXum5X8,3,0,,,,0
1316876400,KAC Kenitra,Ittihad Khemisset,fipfTfz0,tjaWbDi4,0,0,,,,0
1316894400,COD Meknes,Moghreb Tetouan,zLWTcQkh,bZmYBGs9,0,0,,,,0
1316959200,Jeunesse Massira,Olympique Khouribga,W2YGpOVH,j7JNl0QM,0,0,,,,0
1316962800,Maghreb Fez,Olympique de Safi,KrkUCdS2,63LcsWgs,5,1,,,,0
1316962800,FAR Rabat,Raja Casablanca,EyoH1qCf,fLPkADxb,0,0,,,,0
1316966400,Hoceima,Hassania Agadir,j7JNl0QM,63LcsWgs,5,0,,,,0
1316977200,Wydad,FUS Rabat,GSoKqW7o,W6bUbbPE,2,0,,,,0
1318262400,Ittihad Khemisset,Maghreb Fez,tjaWbDi4,KrkUCdS2,0,0,,,,0
1318366800,Wydad Fes,Wydad,ENXum5X8,GSoKqW7o,0,1,,,,0
1318622400,FUS Rabat,Difaa El Jadidi,W6bUbbPE,W6bUbbPE,1,0,,,,0
1318690800,Moghreb Tetouan,Jeunesse Massira,bZmYBGs9,W2YGpOVH,1,0,,,,0
1318708800,Olympique de Safi,FAR Rabat,63LcsWgs,EyoH1qCf,1,1,,,,0
1318777200,Raja Casablanca,Hoceima,fLPkADxb,j7JNl0QM,0,0,,,,0
1318780800,Hassania Agadir,COD Meknes,63LcsWgs,zLWTcQkh,0,1,,,,0
1318791600,Wydad Fes,KAC Kenitra,ENXum5X8,fipfTfz0,1,1,,,,0
1319295600,KAC Kenitra,FUS Rabat,fipfTfz0,W6bUbbPE,1,1,,,,0
1319295600,COD Meknes,Jeunesse Massira,zLWTcQkh,W2YGpOVH,2,1,,,,0
1319313600,Wydad,Moghreb Tetouan,GSoKqW7o,bZmYBGs9,1,0,,,,0
1319374800,Hoceima,Olympique de Safi,j7JNl0QM,63LcsWgs,5,1,,,,0
1319382000,Maghreb Fez,Wydad Fes,KrkUCdS2,ENXum5X8,0,0,,,,0
1319382000,Hassania Agadir,Raja Casablanca,63LcsWgs,fLPkADxb,0,0,,,,0
1319397300,FAR Rabat,Ittihad Khemisset,EyoH1qCf,tjaWbDi4,0,1,,,,0
1319468400,Difaa El Jadidi,Olympique Khouribga,W6bUbbPE,j7JNl0QM,1,0,,,,0
1319832000,Wydad Fes,FAR Rabat,ENXum5X8,EyoH1qCf,1,1,,,,0
1319900400,Raja Casablanca,COD Meknes,fLPkADxb,zLWTcQkh,1,0,,,,0
1319900400,Ittihad Khemisset,Hoceima,tjaWbDi4,j7JNl0QM,1,0,,,,0
1319918400,Olympique de Safi,Hassania Agadir,63LcsWgs,63LcsWgs,0,0,,,,0
1319986800,Moghreb Tetouan,Difaa El Jadidi,bZmYBGs9,W6bUbbPE,3,0,,,,0
1319986800,Jeunesse Massira,Wydad,W2YGpOVH,GSoKqW7o,0,0,,,,0
1320001200,Olympique Khouribga,KAC Kenitra,j7JNl0QM,fipfTfz0,0,1,,,,0
1320504300,Difaa El Jadidi,Jeunesse Massira,W6bUbbPE,W2YGpOVH,0,1,,,,0
1320505200,Hoceima,Wydad Fes,j7JNl0QM,ENXum5X8,4,0,,,,0
1320505200,Hassania Agadir,Ittihad Khemisset,63LcsWgs,tjaWbDi4,1,0,,,,0
1320523200,Maghreb Fez,Olympique Khouribga,KrkUCdS2,j7JNl0QM,1,2,,,,0
1320591600,FAR Rabat,FUS Rabat,EyoH1qCf,W6bUbbPE,1,2,,,,0
1321124400,FUS Rabat,Maghreb Fez,W6bUbbPE,KrkUCdS2,2,1,,,,0
1321196400,KAC Kenitra,Moghreb Tetouan,fipfTfz0,bZmYBGs9,1,1,,,,0
1321390500,Raja Casablanca,Olympique de Safi,fLPkADxb,63LcsWgs,2,1,,,,0
1321711200,Jeunesse Massira,KAC Kenitra,W2YGpOVH,fipfTfz0,3,1,,,,0
1321714800,Olympique Khouribga,FAR Rabat,j7JNl0QM,EyoH1qCf,1,1,,,,0
1321729200,Wydad Fes,Hassania Agadir,ENXum5X8,63LcsWgs,3,2,,,,0
1321801200,Ittihad Khemisset,Raja Casablanca,tjaWbDi4,fLPkADxb,0,0,,,,0
1321804800,Olympique de Safi,COD Meknes,63LcsWgs,zLWTcQkh,2,0,,,,0
1321815600,FUS Rabat,Hoceima,W6bUbbPE,j7JNl0QM,1,0,,,,0
1321902000,Wydad,Difaa El Jadidi,GSoKqW7o,W6bUbbPE,0,1,,,,0
1322406000,Maghreb Fez,Jeunesse Massira,KrkUCdS2,W2YGpOVH,0,1,,,,0
1322503200,Hassania Agadir,FUS Rabat,63LcsWgs,W6bUbbPE,1,2,,,,0
1322510400,Raja Casablanca,Wydad Fes,fLPkADxb,ENXum5X8,2,0,,,,0
1322578800,KAC Kenitra,Wydad,fipfTfz0,GSoKqW7o,1,1,,,,0
1322598600,FAR Rabat,Moghreb Tetouan,EyoH1qCf,bZmYBGs9,0,1,,,,0
1322665200,Hoceima,Olympique Khouribga,j7JNl0QM,j7JNl0QM,0,2,,,,0
1322677800,Olympique de Safi,Ittihad Khemisset,63LcsWgs,tjaWbDi4,2,0,,,,0
1322685000,COD Meknes,Difaa El Jadidi,zLWTcQkh,W6bUbbPE,1,1,,,,0
1322924400,FUS Rabat,Raja Casablanca,W6bUbbPE,fLPkADxb,2,0,,,,0
1323009000,Jeunesse Massira,FAR Rabat,W2YGpOVH,EyoH1qCf,0,1,,,,0
1323010800,Difaa El Jadidi,KAC Kenitra,W6bUbbPE,fipfTfz0,0,0,,,,0
1323016200,Olympique Khouribga,Hassania Agadir,j7JNl0QM,63LcsWgs,0,1,,,,0
