timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1631297700,Youssoufia Berrechid,Raja Casablanca,0,1,,,,0
1631305800,Olympique de Safi,Difaa El Jadidi,0,1,,,,0
1631376000,Olympique Khouribga,Mouloudia Oujda,0,0,,,,0
1631384100,Chabab Mohammedia,FUS Rabat,2,0,,,,0
1631392200,Hassania Agadir,Rapide Oued Zem,1,0,,,,0
1631462400,Wydad,IR Tanger,2,0,,,,0
1631478600,Maghreb Fez,Berkane,0,0,,,,0
1631721600,FAR Rabat,Jeunesse Sportive Soualem,0,3,,,,0
1631910600,FUS Rabat,Youssoufia Berrechid,1,1,,,,0
1631980800,Difaa El Jadidi,Hassania Agadir,2,1,,,,0
1631988900,IR Tanger,Chabab Mohammedia,1,1,,,,0
1631997000,Jeunesse Sportive Soualem,Maghreb Fez,3,0,,,,0
1632067200,Raja Casablanca,Olympique Khouribga,2,1,,,,0
1632075300,Berkane,Olympique de Safi,1,1,,,,0
1632083400,Rapide Oued Zem,Wydad,0,2,,,,0
1632342600,Mouloudia Oujda,FAR Rabat,0,2,,,,0
1632499200,Olympique Khouribga,IR Tanger,1,0,,,,0
1632507300,Maghreb Fez,FUS Rabat,1,1,,,,0
1632515400,Raja Casablanca,Jeunesse Sportive Soualem,3,0,,,,0
1632585600,Chabab Mohammedia,Difaa El Jadidi,1,2,,,,0
1632593700,Olympique de Safi,Mouloudia Oujda,1,1,,,,0
1632601800,Youssoufia Berrechid,Rapide Oued Zem,2,1,,,,0
1632680100,Hassania Agadir,Wydad,0,1,,,,0
1632688200,FAR Rabat,Berkane,1,1,,,,0
1632766500,Jeunesse Sportive Soualem,Olympique Khouribga,2,1,,,,0
1632844800,IR Tanger,Raja Casablanca,0,1,,,,0
1632852900,Mouloudia Oujda,Maghreb Fez,2,1,,,,0
1632861000,Rapide Oued Zem,Chabab Mohammedia,0,0,,,,0
1632927600,Wydad,Youssoufia Berrechid,3,2,,,,0
1632931200,FUS Rabat,Olympique de Safi,0,1,,,,0
1632939300,Difaa El Jadidi,FAR Rabat,0,0,,,,0
1632947400,Berkane,Hassania Agadir,0,0,,,,0
1633190400,Maghreb Fez,Youssoufia Berrechid,3,0,,,,0
1633198500,Olympique de Safi,Rapide Oued Zem,0,0,,,,0
1633206600,Olympique Khouribga,Difaa El Jadidi,2,2,,,,0
1633206600,Jeunesse Sportive Soualem,IR Tanger,0,2,,,,0
1633273200,Raja Casablanca,Berkane,1,2,,,,0
1633273200,FAR Rabat,FUS Rabat,1,1,,,,0
1633276800,Hassania Agadir,Mouloudia Oujda,1,2,,,,0
1633293000,Chabab Mohammedia,Wydad,0,0,,,,0
1634396400,Rapide Oued Zem,Maghreb Fez,0,2,,,,0
1634404500,Difaa El Jadidi,Jeunesse Sportive Soualem,3,2,,,,0
1634482800,Youssoufia Berrechid,Chabab Mohammedia,2,0,,,,0
1634490900,FUS Rabat,Hassania Agadir,0,0,,,,0
1634671800,IR Tanger,FAR Rabat,0,2,,,,0
1634750100,Berkane,Olympique Khouribga,3,3,,,,0
1634758200,Mouloudia Oujda,Raja Casablanca,1,3,,,,0
1634844600,Wydad,Olympique de Safi,1,0,,,,0
1635009300,Maghreb Fez,Difaa El Jadidi,3,0,,,,0
1635017400,Hassania Agadir,Youssoufia Berrechid,1,0,,,,0
1635087600,Olympique de Safi,Chabab Mohammedia,0,0,,,,0
1635260400,Olympique Khouribga,Rapide Oued Zem,1,1,,,,0
1635268500,IR Tanger,Mouloudia Oujda,1,1,,,,0
1635276600,Raja Casablanca,FUS Rabat,1,1,,,,0
1635345000,Jeunesse Sportive Soualem,Berkane,0,0,,,,0
1635441300,FAR Rabat,Wydad,0,1,,,,0
1635527700,Chabab Mohammedia,Hassania Agadir,2,0,,,,0
1635535800,Youssoufia Berrechid,Olympique de Safi,0,0,,,,0
1635606000,FUS Rabat,Olympique Khouribga,1,2,,,,0
1635614100,Difaa El Jadidi,Raja Casablanca,0,2,,,,0
1635622200,Mouloudia Oujda,Jeunesse Sportive Soualem,2,4,,,,0
1635692400,Berkane,IR Tanger,4,1,,,,0
1635700500,Wydad,Maghreb Fez,1,0,,,,0
1635708600,Rapide Oued Zem,FAR Rabat,0,3,,,,0
1635863400,Jeunesse Sportive Soualem,FUS Rabat,1,0,,,,0
1635881400,Olympique de Safi,Hassania Agadir,1,2,,,,0
1635951600,Maghreb Fez,Chabab Mohammedia,1,1,,,,0
1635959700,Raja Casablanca,Rapide Oued Zem,0,0,,,,0
1635967800,Olympique Khouribga,Wydad,0,3,,,,0
1636036200,FAR Rabat,Youssoufia Berrechid,2,1,,,,0
1636038000,IR Tanger,Difaa El Jadidi,4,2,,,,0
1636054200,Berkane,Mouloudia Oujda,1,0,,,,0
1636210800,Rapide Oued Zem,Jeunesse Sportive Soualem,0,2,,,,0
1636210800,Olympique de Safi,Maghreb Fez,0,0,,,,0
1636210800,Chabab Mohammedia,Olympique Khouribga,1,0,,,,0
1636214400,Wydad,Raja Casablanca,1,1,,,,0
1636297200,Hassania Agadir,FAR Rabat,1,2,,,,0
1636305300,Youssoufia Berrechid,Mouloudia Oujda,1,0,,,,0
1636305300,FUS Rabat,IR Tanger,2,1,,,,0
1636313400,Difaa El Jadidi,Berkane,1,1,,,,0
1637334000,Jeunesse Sportive Soualem,Wydad,3,4,,,,0
1637342100,Raja Casablanca,Chabab Mohammedia,2,1,,,,0
1637420400,FAR Rabat,Olympique de Safi,1,1,,,,0
1637428500,Berkane,FUS Rabat,1,0,,,,0
1637436600,Maghreb Fez,Hassania Agadir,1,0,,,,0
1637506800,Mouloudia Oujda,Difaa El Jadidi,1,1,,,,0
1637514900,Olympique Khouribga,Youssoufia Berrechid,3,3,,,,0
1637523000,IR Tanger,Rapide Oued Zem,3,1,,,,0
1637679600,Wydad,Berkane,2,0,,,,0
1637695800,Olympique de Safi,Raja Casablanca,1,0,,,,0
1637766000,Chabab Mohammedia,Jeunesse Sportive Soualem,2,1,,,,0
1637774100,Maghreb Fez,FAR Rabat,0,0,,,,0
1637782200,FUS Rabat,Difaa El Jadidi,2,2,,,,0
1637852400,Rapide Oued Zem,Mouloudia Oujda,1,0,,,,0
1637860500,Hassania Agadir,Olympique Khouribga,1,2,,,,0
1637868600,Youssoufia Berrechid,IR Tanger,0,3,,,,0
