timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1464447600,US Temara,Stade Marocain,3,2,,,,0
1464447600,Sidi Kacem,Sale,2,1,,,,0
1464447600,Renaissance Martil,Chabab Atlas Khenifra,1,0,,,,0
1464447600,Raja Beni Mellal,Adrar Souss,1,0,,,,0
1464447600,Raja Al Hoceima,Hassania Lazari Oujda,1,2,,,,0
1464447600,Olympique Marrakech,Union Ait Melloul,4,1,,,,0
1464447600,Kasba Tadla,Jadida,1,2,,,,0
1464447600,Jeunesse Massira,AUSB,0,0,Pen,1,0,0
1464447600,Dcheira,RAC Casablanca,0,2,,,,0
1464447600,COD Meknes,Rachad Bernoussi,0,1,,,,0
1464447600,Chabab Benguerir,Youssoufia Berrechid,3,4,,,,0
1464447600,Benslimane,Ittihad Khemisset,1,2,,,,0
1464447600,Amal Tiznit,Renaissance Zemamra,1,0,,,,0
1464447600,AJSB,Amal Souk Sebt,0,3,,,,0
1464534000,Widad Temara,Wydad Fes,2,1,,,,0
1464534000,Fath Wislan Meknes,Chabab Larache,1,1,Pen,2,1,0
1465596000,Jadida,Hassania Agadir,0,3,,,,0
1465596000,Hoceima,Hassania Lazari Oujda,1,0,,,,0
1465657200,Wydad,Amal Tiznit,5,0,,,,0
1465659000,Jeunesse Massira,Raja Beni Mellal,2,1,,,,0
1465662600,US Temara,Maghreb Fez,1,4,,,,0
1465662600,Renaissance Martil,Ittihad Khemisset,1,1,,,,0
1465662600,Rachad Bernoussi,Berkane,1,1,,,,0
1465662600,RAC Casablanca,FUS Rabat,1,2,,,,0
1465662600,Mouloudia Oujda,FAR Rabat,0,3,,,,0
1465662600,Fath Wislan Meknes,KAC Kenitra,3,1,,,,0
1465682400,Kawkab Marrakech,Olympique Khouribga,1,2,,,,0
1465682400,IR Tanger,Moghreb Tetouan,4,0,,,,0
1465749000,Widad Temara,Sidi Kacem,2,2,,,,0
1465749000,Olympique Marrakech,Olympique de Safi,1,4,,,,0
1465749000,Amal Souk Sebt,Youssoufia Berrechid,2,0,,,,0
1465768800,Difaa El Jadidi,Raja Casablanca,1,1,,,,0
1466179200,Ittihad Khemisset,Renaissance Martil,1,0,,,,0
1466200800,Hassania Agadir,Jadida,4,2,,,,0
1466265600,Youssoufia Berrechid,Amal Souk Sebt,1,3,,,,0
1466265600,Sidi Kacem,Widad Temara,3,2,,,,0
1466265600,Raja Beni Mellal,Jeunesse Massira,2,2,,,,0
1466265600,Maghreb Fez,US Temara,6,1,,,,0
1466265600,KAC Kenitra,Fath Wislan Meknes,2,0,,,,0
1466265600,Hassania Lazari Oujda,Hoceima,3,2,,,,0
1466265600,FAR Rabat,Mouloudia Oujda,1,1,,,,0
1466287200,Moghreb Tetouan,IR Tanger,2,0,,,,0
1466287200,Berkane,Rachad Bernoussi,3,0,,,,0
1466348400,Raja Casablanca,Difaa El Jadidi,2,2,,,,0
1466352000,Olympique de Safi,Olympique Marrakech,7,1,,,,0
1466546400,Olympique Khouribga,Kawkab Marrakech,0,0,,,,0
1466632800,FUS Rabat,RAC Casablanca,4,1,,,,0
1466697600,Amal Tiznit,Wydad,0,2,,,,0
1472842800,Difaa El Jadidi,Amal Souk Sebt,3,1,,,,0
1472918400,Olympique de Safi,Sidi Kacem,2,1,,,,0
1472918400,Hoceima,FAR Rabat,0,4,,,,0
1473004800,Ittihad Khemisset,Hassania Agadir,1,0,,,,0
1473091200,Maghreb Fez,Wydad,1,0,,,,0
1473102000,IR Tanger,Olympique Khouribga,2,0,,,,0
1473177600,FUS Rabat,KAC Kenitra,2,1,,,,0
1473264000,Jeunesse Massira,Berkane,1,1,,,,0
1473436800,Sidi Kacem,Olympique de Safi,0,1,,,,0
1473436800,Amal Souk Sebt,Difaa El Jadidi,0,3,,,,0
1473444000,Wydad,Maghreb Fez,1,1,,,,0
1473523200,KAC Kenitra,FUS Rabat,0,2,,,,0
1473523200,Hassania Agadir,Ittihad Khemisset,0,1,,,,0
1473530400,FAR Rabat,Hoceima,1,1,,,,0
1473530400,Berkane,Jeunesse Massira,0,0,,,,0
1473538500,Olympique Khouribga,IR Tanger,1,1,,,,0
1474992000,Maghreb Fez,FAR Rabat,0,1,,,,0
1475074800,Olympique de Safi,FUS Rabat,3,0,,,,0
1475082900,Ittihad Khemisset,IR Tanger,1,1,,,,0
1475091000,Difaa El Jadidi,Berkane,3,1,,,,0
1475337600,FAR Rabat,Maghreb Fez,0,1,Pen,0,2,0
1475424000,IR Tanger,Ittihad Khemisset,1,0,,,,0
1475424000,Berkane,Difaa El Jadidi,0,0,,,,0
1475432100,FUS Rabat,Olympique de Safi,3,0,Pen,3,1,0
1476889200,Maghreb Fez,IR Tanger,0,0,,,,0
1476896400,Olympique de Safi,Difaa El Jadidi,0,1,,,,0
1478102400,Difaa El Jadidi,Olympique de Safi,0,1,Pen,0,2,0
1478112300,IR Tanger,Maghreb Fez,1,1,,,,0
1479483900,Olympique de Safi,Maghreb Fez,1,1,AET,1,2,0
