timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1395498600,Ferroviario Pemba,Maxaquene,fPmPpykK,ruXSDOxC,1,1,,,,0
1395585000,UD Songo,Nacala,fqbpNxiS,ruJlOdtm,1,0,,,,0
1395585000,LD Maputo,Chibuto,MVVWCrhI,CSfmjZh3,4,1,,,,0
1395585000,Ferroviario Beira,Ferroviario Maputo,ruXSDOxC,ruXSDOxC,1,1,,,,0
1395585000,Ferroviario Nampula,Estrela Vermelha Maputo,ruXSDOxC,O4knw05g,2,1,,,,0
1395585000,Ferroviario Quelimane,Costa do Sol,YwP7lxEf,ruXSDOxC,1,2,,,,0
1395585000,Desportivo Maputo,Textil do Pungue,fqQ4fGNQ,MVVWCrhI,2,0,,,,0
1396103400,Estrela Vermelha Maputo,UD Songo,O4knw05g,fqbpNxiS,1,1,,,,0
1396103400,Costa do Sol,Ferroviario Beira,ruXSDOxC,ruXSDOxC,0,0,,,,0
1396186200,Textil do Pungue,Ferroviario Nampula,MVVWCrhI,ruXSDOxC,0,1,,,,0
1396186200,Nacala,Ferroviario Quelimane,ruJlOdtm,YwP7lxEf,1,2,,,,0
1396186200,Ferroviario Maputo,LD Maputo,ruXSDOxC,MVVWCrhI,1,1,,,,0
1396186200,Ferroviario Pemba,Desportivo Maputo,fPmPpykK,fqQ4fGNQ,1,1,,,,0
1396186200,Chibuto,Maxaquene,CSfmjZh3,ruXSDOxC,1,2,,,,0
1396704600,Maxaquene,Ferroviario Maputo,ruXSDOxC,ruXSDOxC,1,0,,,,0
1396704600,Ferroviario Nampula,Ferroviario Pemba,ruXSDOxC,fPmPpykK,1,0,,,,0
1396704600,Estrela Vermelha Maputo,Textil do Pungue,O4knw05g,MVVWCrhI,0,1,,,,0
1396791000,UD Songo,Ferroviario Quelimane,fqbpNxiS,YwP7lxEf,2,1,,,,0
1396791000,LD Maputo,Costa do Sol,MVVWCrhI,ruXSDOxC,2,1,,,,0
1396791000,Ferroviario Beira,Nacala,ruXSDOxC,ruJlOdtm,3,0,,,,0
1396791000,Desportivo Maputo,Chibuto,fqQ4fGNQ,CSfmjZh3,1,1,,,,0
1397309400,Ferroviario Maputo,Desportivo Maputo,ruXSDOxC,fqQ4fGNQ,4,2,,,,0
1397395800,Textil do Pungue,UD Songo,MVVWCrhI,fqbpNxiS,0,0,,,,0
1397395800,Nacala,LD Maputo,ruJlOdtm,MVVWCrhI,0,0,,,,0
1397395800,Ferroviario Quelimane,Ferroviario Beira,YwP7lxEf,ruXSDOxC,1,0,,,,0
1397395800,Ferroviario Pemba,Estrela Vermelha Maputo,fPmPpykK,O4knw05g,0,1,,,,0
1397395800,Costa do Sol,Maxaquene,ruXSDOxC,ruXSDOxC,0,1,,,,0
1397395800,Chibuto,Ferroviario Nampula,CSfmjZh3,ruXSDOxC,0,1,,,,0
1397912400,Textil do Pungue,Ferroviario Pemba,MVVWCrhI,fPmPpykK,1,1,,,,0
1397912400,Desportivo Maputo,Costa do Sol,fqQ4fGNQ,ruXSDOxC,0,0,,,,0
1397998800,UD Songo,Ferroviario Beira,fqbpNxiS,ruXSDOxC,0,0,,,,0
1397998800,Maxaquene,Nacala,ruXSDOxC,ruJlOdtm,4,0,,,,0
1397998800,LD Maputo,Ferroviario Quelimane,MVVWCrhI,YwP7lxEf,5,1,,,,0
1397998800,Ferroviario Nampula,Ferroviario Maputo,ruXSDOxC,ruXSDOxC,3,0,,,,0
1397998800,Estrela Vermelha Maputo,Chibuto,O4knw05g,CSfmjZh3,0,0,,,,0
1398517200,Costa do Sol,Ferroviario Nampula,ruXSDOxC,ruXSDOxC,1,0,,,,0
1398603600,Nacala,Desportivo Maputo,ruJlOdtm,fqQ4fGNQ,2,0,,,,0
1398603600,Ferroviario Pemba,UD Songo,fPmPpykK,fqbpNxiS,0,1,,,,0
1398603600,Ferroviario Quelimane,Maxaquene,YwP7lxEf,ruXSDOxC,0,0,,,,0
1398603600,Ferroviario Beira,LD Maputo,ruXSDOxC,MVVWCrhI,0,1,,,,0
1398603600,Ferroviario Maputo,Estrela Vermelha Maputo,ruXSDOxC,O4knw05g,0,0,,,,0
1398603600,Chibuto,Textil do Pungue,CSfmjZh3,MVVWCrhI,0,0,,,,0
1399122000,Textil do Pungue,Ferroviario Maputo,MVVWCrhI,ruXSDOxC,0,1,,,,0
