timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1578646800,Ispe FC,Shan Utd,nBrg8eks,4SC6FALp,0,1,,,,0
1578733200,Ayeyawady,Magwe,4SC6FALp,4SC6FALp,0,0,,,,0
1578735000,Zwekapin Utd,Yadanarbon,23jZJBvR,riqaeAJs,0,2,,,,0
1578819600,Yangon Utd,Chin United,vqhf8wPM,4SC6FALp,2,1,,,,0
1578819600,Southern Myanmar,Mahar United,4SC6FALp,ljT7nvma,2,3,,,,0
1578819600,Hantharwady Utd,Rakhine United,bsCtXfEp,rJBAEUzi,1,0,,,,0
1579251600,Chin United,Magwe,4SC6FALp,4SC6FALp,2,0,,,,0
1579338000,Yadanarbon,Mahar United,riqaeAJs,ljT7nvma,1,1,,,,0
1579338000,Southern Myanmar,Rakhine United,4SC6FALp,rJBAEUzi,0,1,,,,0
1579338000,Hantharwady Utd,Shan Utd,bsCtXfEp,4SC6FALp,2,1,,,,0
1579424400,Yangon Utd,Zwekapin Utd,vqhf8wPM,23jZJBvR,3,1,,,,0
1579424400,Ayeyawady,Ispe FC,4SC6FALp,nBrg8eks,2,1,,,,0
1579942800,Southern Myanmar,Magwe,4SC6FALp,4SC6FALp,1,2,,,,0
1579942800,Mahar United,Shan Utd,ljT7nvma,4SC6FALp,1,2,,,,0
1579944600,Chin United,Hantharwady Utd,4SC6FALp,bsCtXfEp,1,3,,,,0
1580029200,Yangon Utd,Yadanarbon,vqhf8wPM,riqaeAJs,2,2,,,,0
1580029200,Rakhine United,Ispe FC,rJBAEUzi,nBrg8eks,2,0,,,,0
1580029200,Ayeyawady,Zwekapin Utd,4SC6FALp,23jZJBvR,1,0,,,,0
1580463000,Zwekapin Utd,Magwe,23jZJBvR,4SC6FALp,0,0,,,,0
1580547600,Ispe FC,Chin United,nBrg8eks,4SC6FALp,1,0,,,,0
1580547600,Ayeyawady,Shan Utd,4SC6FALp,4SC6FALp,1,0,,,,0
1580634000,Yangon Utd,Mahar United,vqhf8wPM,ljT7nvma,2,0,,,,0
1580634000,Rakhine United,Yadanarbon,rJBAEUzi,riqaeAJs,1,0,,,,0
1580634000,Hantharwady Utd,Southern Myanmar,bsCtXfEp,4SC6FALp,5,0,,,,0
1581067800,Magwe,Hantharwady Utd,4SC6FALp,bsCtXfEp,0,3,,,,0
1581152400,Yangon Utd,Ispe FC,vqhf8wPM,nBrg8eks,2,0,,,,0
1581152400,Ayeyawady,Southern Myanmar,4SC6FALp,4SC6FALp,2,1,,,,0
1581154200,Zwekapin Utd,Mahar United,23jZJBvR,ljT7nvma,0,3,,,,0
1581238800,Yadanarbon,Shan Utd,riqaeAJs,4SC6FALp,1,3,,,,0
1581238800,Rakhine United,Chin United,rJBAEUzi,4SC6FALp,0,0,,,,0
1581757200,Rakhine United,Magwe,rJBAEUzi,4SC6FALp,1,1,,,,0
1581757200,Hantharwady Utd,Yadanarbon,bsCtXfEp,riqaeAJs,4,1,,,,0
1581759000,Chin United,Ayeyawady,4SC6FALp,4SC6FALp,0,1,,,,0
1581843600,Southern Myanmar,Yangon Utd,4SC6FALp,vqhf8wPM,0,1,,,,0
1581843600,Ispe FC,Mahar United,nBrg8eks,ljT7nvma,1,6,,,,0
1581845400,Zwekapin Utd,Shan Utd,23jZJBvR,4SC6FALp,0,1,,,,0
1582275600,Ispe FC,Magwe,nBrg8eks,4SC6FALp,2,1,,,,0
1582362000,Yangon Utd,Shan Utd,vqhf8wPM,4SC6FALp,2,2,,,,0
1582362000,Southern Myanmar,Chin United,4SC6FALp,4SC6FALp,8,3,,,,0
1582363800,Zwekapin Utd,Rakhine United,23jZJBvR,rJBAEUzi,1,1,,,,0
1582448400,Hantharwady Utd,Mahar United,bsCtXfEp,ljT7nvma,1,0,,,,0
1582448400,Ayeyawady,Yadanarbon,4SC6FALp,riqaeAJs,1,1,,,,0
1582880400,Ispe FC,Zwekapin Utd,nBrg8eks,23jZJBvR,1,1,,,,0
1582880400,Southern Myanmar,Yadanarbon,4SC6FALp,riqaeAJs,1,1,,,,0
1582880400,Mahar United,Magwe,ljT7nvma,4SC6FALp,4,0,,,,0
1582880400,Ayeyawady,Hantharwady Utd,4SC6FALp,bsCtXfEp,1,0,,,,0
1583053200,Rakhine United,Yangon Utd,rJBAEUzi,vqhf8wPM,0,1,,,,0
1583055000,Chin United,Shan Utd,4SC6FALp,4SC6FALp,1,3,,,,0
1583487000,Magwe,Shan Utd,4SC6FALp,4SC6FALp,1,1,,,,0
1583571600,Yadanarbon,Chin United,riqaeAJs,4SC6FALp,2,1,,,,0
1583571600,Rakhine United,Mahar United,rJBAEUzi,ljT7nvma,2,1,,,,0
1583571600,Ayeyawady,Yangon Utd,4SC6FALp,vqhf8wPM,1,0,,,,0
1583573400,Zwekapin Utd,Southern Myanmar,23jZJBvR,4SC6FALp,3,1,,,,0
1583658000,Hantharwady Utd,Ispe FC,bsCtXfEp,nBrg8eks,5,0,,,,0
1584955800,Mahar United,Chin United,ljT7nvma,4SC6FALp,3,1,,,,0
1584955800,Hantharwady Utd,Zwekapin Utd,bsCtXfEp,23jZJBvR,4,2,,,,0
1598086800,Shan Utd,Southern Myanmar,4SC6FALp,4SC6FALp,1,0,,,,0
1598086800,Magwe,Yangon Utd,4SC6FALp,vqhf8wPM,0,6,,,,0
1598173200,Yadanarbon,Ispe FC,riqaeAJs,nBrg8eks,4,0,,,,0
1598173200,Ayeyawady,Rakhine United,4SC6FALp,rJBAEUzi,4,0,,,,0
1598432400,Yangon Utd,Hantharwady Utd,vqhf8wPM,bsCtXfEp,1,3,,,,0
1598432400,Yadanarbon,Magwe,riqaeAJs,4SC6FALp,4,1,,,,0
1598432400,Southern Myanmar,Ispe FC,4SC6FALp,nBrg8eks,1,1,,,,0
1598518800,Shan Utd,Rakhine United,4SC6FALp,rJBAEUzi,1,0,,,,0
