timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1123871400,AZ Alkmaar,Sparta Rotterdam,4vob7cTR,rTjpk23j,3,0,,,,0
1123954200,Willem II,Waalwijk,WQMFphXe,YsXoN1Be,1,2,,,,0
1123954200,Roda,Twente,pWP3d9yH,4vob7cTR,2,0,,,,0
1123954200,Heracles,PSV,vuxu3x67,j5zA1baQ,1,1,,,,0
1123956000,Vitesse,Heerenveen,hxcLpNd6,4vob7cTR,2,2,,,,0
1124022600,Nijmegen,Utrecht,4vob7cTR,4vob7cTR,0,0,,,,0
1124022600,Groningen,Roosendaal,E5fitKGe,n7dWR5qB,1,0,,,,0
1124022600,Feyenoord,NAC Breda,Wz6bfhxO,voRxy8ml,2,0,,,,0
1124476200,NAC Breda,Willem II,voRxy8ml,WQMFphXe,1,0,,,,0
1124559000,Roosendaal,Ajax,n7dWR5qB,bZZPiwAI,0,2,,,,0
1124559000,Heerenveen,Roda,4vob7cTR,pWP3d9yH,5,4,,,,0
1124559000,Den Haag,Heracles,vuxu3x67,vuxu3x67,1,2,,,,0
1124560800,Twente,Nijmegen,4vob7cTR,4vob7cTR,0,1,,,,0
1124620200,Sparta Rotterdam,Feyenoord,rTjpk23j,Wz6bfhxO,1,3,,,,0
1124627400,Waalwijk,Groningen,YsXoN1Be,E5fitKGe,2,1,,,,0
1124627400,Utrecht,AZ Alkmaar,4vob7cTR,4vob7cTR,1,2,,,,0
1124627400,PSV,Vitesse,j5zA1baQ,hxcLpNd6,2,1,,,,0
1125081000,Den Haag,Heerenveen,vuxu3x67,4vob7cTR,1,0,,,,0
1125165600,Vitesse,AZ Alkmaar,hxcLpNd6,4vob7cTR,0,5,,,,0
1125165600,Sparta Rotterdam,NAC Breda,rTjpk23j,voRxy8ml,1,0,,,,0
1125165600,Nijmegen,Waalwijk,4vob7cTR,YsXoN1Be,1,3,,,,0
1125225000,Ajax,Feyenoord,bZZPiwAI,Wz6bfhxO,1,2,,,,0
1125232200,Utrecht,Twente,4vob7cTR,4vob7cTR,1,3,,,,0
1125232200,Roosendaal,Willem II,n7dWR5qB,WQMFphXe,1,1,,,,0
1125232200,Heracles,Groningen,vuxu3x67,E5fitKGe,2,1,,,,0
1125239400,Roda,PSV,pWP3d9yH,j5zA1baQ,0,3,,,,0
1126290600,Waalwijk,Roda,YsXoN1Be,pWP3d9yH,2,0,,,,0
1126373400,Willem II,Ajax,WQMFphXe,bZZPiwAI,0,2,,,,0
1126373400,PSV,Utrecht,j5zA1baQ,4vob7cTR,1,0,,,,0
1126373400,Heerenveen,Heracles,4vob7cTR,vuxu3x67,1,2,,,,0
1126375200,AZ Alkmaar,Roosendaal,4vob7cTR,n7dWR5qB,7,0,,,,0
1126441800,Twente,Vitesse,4vob7cTR,hxcLpNd6,0,1,,,,0
1126441800,NAC Breda,Den Haag,voRxy8ml,vuxu3x67,4,1,,,,0
1126441800,Groningen,Sparta Rotterdam,E5fitKGe,rTjpk23j,0,1,,,,0
1126441800,Feyenoord,Nijmegen,Wz6bfhxO,4vob7cTR,3,0,,,,0
1126895400,Den Haag,Twente,vuxu3x67,4vob7cTR,0,0,,,,0
1126978200,Roosendaal,Sparta Rotterdam,n7dWR5qB,rTjpk23j,1,1,,,,0
1126978200,Heracles,Waalwijk,vuxu3x67,YsXoN1Be,0,2,,,,0
1126980000,Nijmegen,NAC Breda,4vob7cTR,voRxy8ml,1,1,,,,0
1127039400,AZ Alkmaar,Ajax,4vob7cTR,bZZPiwAI,4,2,,,,0
1127046600,Utrecht,Vitesse,4vob7cTR,hxcLpNd6,1,0,,,,0
1127046600,Feyenoord,Heerenveen,Wz6bfhxO,4vob7cTR,5,1,,,,0
1127053800,Roda,Willem II,pWP3d9yH,WQMFphXe,0,2,,,,0
1127053800,Groningen,PSV,E5fitKGe,j5zA1baQ,1,0,,,,0
1127326500,Ajax,Den Haag,bZZPiwAI,vuxu3x67,2,2,,,,0
1127500200,Heerenveen,Nijmegen,4vob7cTR,4vob7cTR,2,1,,,,0
1127583000,Willem II,Den Haag,WQMFphXe,vuxu3x67,1,0,,,,0
1127583000,PSV,Roosendaal,j5zA1baQ,n7dWR5qB,2,0,,,,0
1127584800,Waalwijk,Utrecht,YsXoN1Be,4vob7cTR,2,3,,,,0
1127584800,Vitesse,Groningen,hxcLpNd6,E5fitKGe,2,0,,,,0
1127585700,Ajax,Roda,bZZPiwAI,pWP3d9yH,4,1,,,,0
1127644200,Twente,Feyenoord,4vob7cTR,Wz6bfhxO,1,3,,,,0
1127651400,Sparta Rotterdam,Heracles,rTjpk23j,vuxu3x67,2,0,,,,0
1127651400,NAC Breda,AZ Alkmaar,voRxy8ml,4vob7cTR,2,1,,,,0
1128105000,Roosendaal,NAC Breda,n7dWR5qB,voRxy8ml,1,2,,,,0
1128187800,Roda,Vitesse,pWP3d9yH,hxcLpNd6,3,2,,,,0
1128187800,Den Haag,Waalwijk,vuxu3x67,YsXoN1Be,2,1,,,,0
1128249000,Utrecht,Feyenoord,4vob7cTR,Wz6bfhxO,3,1,,,,0
1128249000,Sparta Rotterdam,Ajax,rTjpk23j,bZZPiwAI,1,2,,,,0
1128256200,Heracles,Twente,vuxu3x67,4vob7cTR,0,4,,,,0
1128256200,Groningen,Willem II,E5fitKGe,WQMFphXe,2,0,,,,0
1128256200,AZ Alkmaar,Nijmegen,4vob7cTR,4vob7cTR,3,2,,,,0
1128263400,Heerenveen,PSV,4vob7cTR,j5zA1baQ,2,3,,,,0
1129314600,Willem II,Sparta Rotterdam,WQMFphXe,rTjpk23j,0,0,,,,0
1129397400,PSV,AZ Alkmaar,j5zA1baQ,4vob7cTR,3,0,,,,0
1129397400,NAC Breda,Heerenveen,voRxy8ml,4vob7cTR,0,3,,,,0
1129399200,Twente,Waalwijk,4vob7cTR,YsXoN1Be,2,0,,,,0
1129400100,Ajax,Heracles,bZZPiwAI,vuxu3x67,0,0,,,,0
1129465800,Vitesse,Den Haag,hxcLpNd6,vuxu3x67,3,1,,,,0
1129465800,Nijmegen,Roosendaal,4vob7cTR,n7dWR5qB,3,1,,,,0
1129465800,Feyenoord,Groningen,Wz6bfhxO,E5fitKGe,4,1,,,,0
1129473000,Roda,Utrecht,pWP3d9yH,4vob7cTR,2,1,,,,0
1129919400,Heracles,Nijmegen,vuxu3x67,4vob7cTR,0,2,,,,0
1130002200,Roosendaal,Vitesse,n7dWR5qB,hxcLpNd6,0,3,,,,0
1130002200,NAC Breda,Twente,voRxy8ml,4vob7cTR,1,1,,,,0
1130004000,Sparta Rotterdam,Roda,rTjpk23j,pWP3d9yH,2,3,,,,0
1130063400,PSV,Ajax,j5zA1baQ,bZZPiwAI,1,0,,,,0
1130070600,Waalwijk,Feyenoord,YsXoN1Be,Wz6bfhxO,2,1,,,,0
1130070600,Groningen,Den Haag,E5fitKGe,vuxu3x67,3,1,,,,0
1130070600,AZ Alkmaar,Willem II,4vob7cTR,WQMFphXe,5,1,,,,0
