timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1281120300,Roda,Twente,0,0,,,,0
1281199500,Nijmegen,Venlo,1,0,,,,0
1281203100,Heracles,Willem II,3,0,,,,0
1281203100,De Graafschap,Excelsior,3,0,,,,0
1281206700,Heerenveen,PSV,1,3,,,,0
1281270600,Vitesse,Den Haag,3,1,,,,0
1281270600,Groningen,Ajax,2,2,,,,0
1281270600,Feyenoord,Utrecht,3,1,,,,0
1281277800,NAC Breda,AZ Alkmaar,1,1,,,,0
1281804300,Ajax,Vitesse,4,2,,,,0
1281807900,Venlo,Heracles,1,0,,,,0
1281807900,PSV,De Graafschap,6,0,,,,0
1281807900,AZ Alkmaar,Groningen,1,1,,,,0
1281811500,Twente,Heerenveen,0,0,,,,0
1281868200,Excelsior,Feyenoord,3,2,,,,0
1281875400,Willem II,Nijmegen,3,5,,,,0
1281875400,Utrecht,NAC Breda,3,1,,,,0
1281875400,Den Haag,Roda,1,3,,,,0
1282329900,Excelsior,Nijmegen,4,2,,,,0
1282409100,Vitesse,Twente,0,3,,,,0
1282412700,Heerenveen,NAC Breda,3,1,,,,0
1282412700,Groningen,De Graafschap,2,1,,,,0
1282416300,Ajax,Roda,3,0,,,,0
1282480200,Venlo,Den Haag,2,3,,,,0
1282480200,Utrecht,Willem II,3,0,,,,0
1282480200,Heracles,Feyenoord,1,1,,,,0
1282487400,PSV,AZ Alkmaar,3,1,,,,0
1282934700,Willem II,Groningen,0,3,,,,0
1283017500,Roda,Heracles,4,2,,,,0
1283017500,NAC Breda,Venlo,2,0,,,,0
1283021100,Nijmegen,Heerenveen,2,2,,,,0
1283077800,De Graafschap,Ajax,0,5,,,,0
1283085000,Twente,Utrecht,4,0,,,,0
1283085000,Feyenoord,Vitesse,4,0,,,,0
1283085000,Den Haag,PSV,2,2,,,,0
1283092200,AZ Alkmaar,Excelsior,1,1,,,,0
1284223500,Venlo,Twente,1,2,,,,0
1284223500,Ajax,Willem II,2,0,,,,0
1284227100,PSV,Nijmegen,3,1,,,,0
1284227100,Heerenveen,Vitesse,2,1,,,,0
1284230700,Excelsior,Heracles,2,1,,,,0
1284230700,AZ Alkmaar,Roda,1,2,,,,0
1284287400,NAC Breda,Feyenoord,2,0,,,,0
1284294600,Den Haag,De Graafschap,2,2,,,,0
1284301800,Groningen,Utrecht,1,0,,,,0
1284749100,De Graafschap,Heerenveen,3,2,,,,0
1284828300,Groningen,Excelsior,2,0,,,,0
1284831900,Vitesse,NAC Breda,0,0,,,,0
1284835500,Willem II,Den Haag,2,4,,,,0
1284892200,Feyenoord,Ajax,1,2,,,,0
1284899400,Utrecht,Venlo,3,2,,,,0
1284899400,Roda,PSV,0,0,,,,0
1284899400,Nijmegen,AZ Alkmaar,0,1,,,,0
1284906600,Heracles,Twente,0,0,,,,0
1285433100,Heerenveen,Roda,2,2,,,,0
1285436700,PSV,Groningen,1,1,,,,0
1285436700,Den Haag,Heracles,3,2,,,,0
1285436700,AZ Alkmaar,Utrecht,1,0,,,,0
1285440300,Twente,Ajax,2,2,,,,0
1285504200,Nijmegen,Feyenoord,3,0,,,,0
1285504200,NAC Breda,Willem II,2,1,,,,0
1285504200,Excelsior,Vitesse,0,2,,,,0
1285511400,Venlo,De Graafschap,1,0,,,,0
1285958700,Vitesse,Willem II,0,0,,,,0
1286037900,NAC Breda,Nijmegen,2,0,,,,0
1286045100,Excelsior,Roda,1,2,,,,0
1286101800,Ajax,Utrecht,1,2,,,,0
1286109000,Twente,Groningen,4,2,,,,0
1286109000,Heerenveen,Den Haag,0,0,,,,0
1286109000,De Graafschap,Feyenoord,1,1,,,,0
1286109000,AZ Alkmaar,Heracles,2,1,,,,0
1286116200,PSV,Venlo,3,0,,,,0
1287247500,Ajax,NAC Breda,3,0,,,,0
1287251100,Venlo,AZ Alkmaar,0,1,,,,0
1287251100,Utrecht,De Graafschap,2,2,,,,0
1287251100,Den Haag,Excelsior,2,1,,,,0
1287254700,Feyenoord,Twente,0,1,,,,0
1287318600,Willem II,PSV,2,4,,,,0
1287318600,Roda,Vitesse,4,1,,,,0
1287318600,Groningen,Heerenveen,1,0,,,,0
