timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1377705600,Scheveningen,VVSB,2,1,,,,0
1377705600,OWIOS,EVV,1,5,,,,0
1377705600,DFS,VV Sneek,2,7,,,,0
1377705600,De Zouaven,Ter Leede,2,0,,,,0
1377705600,Capelle,Chabab,4,1,,,,0
1377709200,Volkel,Rijnsburgse Boys,0,3,,,,0
1377709200,Noordwijk,WKE,1,0,,,,0
1377711000,Lisse,TEC,1,1,Pen,2,3,0
1377712800,SHO,AFC,1,2,,,,0
1377712800,Rosmalen,Hoek,1,1,AET,1,3,0
1377712800,Langbroek,Ehc,2,2,AET,2,3,0
1377712800,Kozakken Boys,Be Quick 1887,2,1,,,,0
1377712800,IJsselmeervogels,Lienden,3,0,,,,0
1377712800,Hercules,Watergraafsmeer,2,1,,,,0
1377712800,Harkemase Boys,Raalte,4,1,,,,0
1377712800,Hardenberg,JVC '31 Cuijk,1,2,,,,0
1377712800,Genemuiden,Deurne,0,0,AET,0,1,0
1377712800,DVS '33 Ermelo,HVV Hollandia,4,1,,,,0
1380034800,Capelle,Almere City,0,0,AET,1,0,0
1380041100,Harkemase Boys,Nijmegen,0,8,,,,0
1380042000,TEC,Maastricht,1,3,,,,0
1380043800,Katwijk,Cambuur,1,6,,,,0
1380045600,Oss,Venlo,1,2,,,,0
1380045600,Kozakken Boys,Scheveningen,3,0,,,,0
1380045600,IJsselmeervogels,Helmond,2,2,AET,3,2,0
1380045600,GVVV,Den Haag,0,3,,,,0
1380045600,Excelsior 31,Willem II,1,1,AET,2,1,0
1380045600,Ehc,Eindhoven FC,1,4,,,,0
1380045600,DVS '33 Ermelo,G.A. Eagles,0,3,,,,0
1380045600,Deurne,FC Emmen,0,2,,,,0
1380045600,De Graafschap,Excelsior,1,3,,,,0
1380045600,Barendrecht,JVC '31 Cuijk,0,2,,,,0
1380045600,Achilles 29,HSC '21,5,1,,,,0
1380048300,Waalwijk,Heracles,0,0,AET,0,1,0
1380121200,Smitshoek,NAC Breda,1,2,,,,0
1380121200,Hercules,Vitesse,1,3,,,,0
1380121200,AFC,Groningen,0,2,,,,0
1380121800,Rijnsburgse Boys,Roda,1,2,,,,0
1380127500,PSV,Telstar,4,1,,,,0
1380132000,Zwolle,Sittard,2,0,,,,0
1380132000,Utrecht,Den Bosch,4,1,,,,0
1380132000,Hoek,HBS,3,0,,,,0
1380132000,De Zouaven,Noordwijk,0,2,,,,0
1380132000,AZ Alkmaar,Sparta Rotterdam,1,1,AET,4,1,0
1380132000,ASWH,ADO 20 Heemskerk,1,0,,,,0
1380134700,Ajax,FC Volendam,1,1,AET,4,2,0
1380213900,Heerenveen,Twente,3,0,,,,0
1380218400,Wilhelmina,VV Sneek,3,1,,,,0
1380218400,De Treffers,EVV,0,1,,,,0
1380221100,Feyenoord,Dordrecht,3,0,,,,0
1383068700,Ajax,ASWH,4,1,,,,0
1383069600,Maastricht,Den Haag,2,1,,,,0
1383073200,Kozakken Boys,Utrecht,1,1,AET,1,2,0
1383073200,JVC '31 Cuijk,EVV,3,0,,,,0
1383073200,FC Emmen,IJsselmeervogels,2,3,,,,0
1383073200,Eindhoven FC,Nijmegen,0,1,,,,0
1383075900,Cambuur,NAC Breda,2,2,Pen,3,2,0
1383155100,PSV,Roda,1,3,,,,0
1383156000,AZ Alkmaar,Achilles 29,7,0,,,,0
1383159600,Zwolle,Wilhelmina,4,0,,,,0
1383159600,Vitesse,Noordwijk,5,0,,,,0
1383159600,Groningen,Capelle,2,0,,,,0
1383159600,Excelsior 31,Heracles,2,5,,,,0
1383162300,Feyenoord,Hoek,3,0,,,,0
1383241500,Heerenveen,Venlo,1,0,,,,0
1383248700,Excelsior,G.A. Eagles,1,0,,,,0
1387306800,Excelsior,Zwolle,1,4,,,,0
1387388700,AZ Alkmaar,Heerenveen,1,1,Pen,3,2,0
1387392300,Roda,Vitesse,3,1,,,,0
1387393200,JVC '31 Cuijk,Maastricht,2,1,,,,0
1387393200,Cambuur,Utrecht,0,2,,,,0
1387395900,Heracles,Feyenoord,1,1,Pen,1,2,0
1387475100,Groningen,Nijmegen,0,1,,,,0
1387482300,IJsselmeervogels,Ajax,0,3,,,,0
1390333500,Roda,AZ Alkmaar,0,2,,,,0
1390412700,Zwolle,JVC '31 Cuijk,5,1,,,,0
1390416300,Nijmegen,Utrecht,1,0,,,,0
1390419900,Ajax,Feyenoord,3,1,,,,0
1395863100,Zwolle,Nijmegen,2,1,,,,0
1395949500,AZ Alkmaar,Ajax,0,1,,,,0
1398009600,Zwolle,Ajax,5,1,,,,0
