timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1609081200,Plateau United,Kwara,jZRvn4Ng,tUg7DWkH,0,2,,,,0
1609081200,Nasarawa,Wikki Tourist,jLtZzIk3,G2zabaGS,2,1,,,,0
1609081200,MFM FC,Warri Wolves,jZRvn4Ng,WAE6XaLc,2,1,,,,0
1609081200,Jigawa Golden Stars,Sunshine Stars,zuobiG82,KrkUCdS2,1,0,,,,0
1609081200,Ifeanyi Ubah,Lobi Stars,jqXAnX3e,tUg7DWkH,1,0,,,,0
1609081200,Adamawa Utd,Kano Pillars,S8CDq6K7,2we3ECzB,1,1,,,,0
1609167600,Katsina Utd,Heartland,jZRvn4Ng,tUg7DWkH,3,2,,,,0
1609167600,Akwa United,Dakkada FC,2we3ECzB,tdMSksss,0,0,,,,0
1609254000,Enyimba,Abia Warriors,OjrXHMiH,S6F1CeeO,1,0,,,,0
1609340400,Rivers United,Rangers Int'l,b9ILLhyC,2we3ECzB,1,0,,,,0
1609599600,Abia Warriors,Rivers United,S6F1CeeO,b9ILLhyC,0,1,,,,0
1609686000,Warri Wolves,Adamawa Utd,WAE6XaLc,S8CDq6K7,1,0,,,,0
1609686000,Sunshine Stars,Ifeanyi Ubah,KrkUCdS2,jqXAnX3e,1,0,,,,0
1609686000,Rangers Int'l,Akwa United,2we3ECzB,2we3ECzB,1,0,,,,0
1609686000,Lobi Stars,MFM FC,tUg7DWkH,jZRvn4Ng,1,0,,,,0
1609686000,Kano Pillars,Katsina Utd,2we3ECzB,jZRvn4Ng,2,0,,,,0
1609686000,Heartland,Nasarawa,tUg7DWkH,jLtZzIk3,1,2,,,,0
1609686000,Dakkada FC,Jigawa Golden Stars,tdMSksss,zuobiG82,2,1,,,,0
1609772400,Wikki Tourist,Plateau United,G2zabaGS,jZRvn4Ng,0,0,,,,0
1610204400,Akwa United,Abia Warriors,2we3ECzB,S6F1CeeO,2,1,,,,0
1610290800,Rivers United,Kwara,b9ILLhyC,tUg7DWkH,3,0,,,,0
1610290800,Plateau United,Heartland,jZRvn4Ng,tUg7DWkH,3,0,,,,0
