date,home_team,away_team,home_score,away_score
17.09. 23:00,Atl. Morelia,Toluca,3,3
24.07. 23:00,Toluca,Atl. Morelia,2,1
14.05. 23:00,Club America,Toluca,0,4
07.05. 23:00,Atl. Morelia,Necaxa,6,0
30.04. 23:00,Necaxa,Atl. Morelia,0,0
30.04. 23:00,Toluca,Club America,1,4
23.04. 23:00,Club America,Alajuelense,4,0
16.04. 23:00,Alajuelense,Club America,3,1
16.04. 23:00,Columbus Crew,Atl. Morelia,2,0
16.04. 23:00,Necaxa,Los Angeles Galaxy,2,1
16.04. 23:00,Toluca,Municipal,2,1
09.04. 23:00,Atl. Morelia,Columbus Crew,6,0
09.04. 23:00,Los Angeles Galaxy,Necaxa,1,4
09.04. 23:00,Municipal,Toluca,1,2
02.04. 23:00,W Connection,Toluca,3,3
26.03. 23:00,Atl. Morelia,Comunicaciones,4,0
26.03. 23:00,Club America,FAS,3,0
26.03. 23:00,New England Revolution,Alajuelense,3,1
26.03. 23:00,San Jose Earthquakes,Municipal,2,1
23.03. 23:00,Alajuelense,New England Revolution,4,0
23.03. 23:00,Columbus Crew,Arabe Unido,3,0
23.03. 23:00,Los Angeles Galaxy,Motagua,1,0
19.03. 23:00,Necaxa,Tivoli,1,0
16.03. 23:00,Arabe Unido,Columbus Crew,2,1
16.03. 23:00,Motagua,Los Angeles Galaxy,2,2
16.03. 23:00,Municipal,San Jose Earthquakes,4,2
12.03. 23:00,Comunicaciones,Atl. Morelia,1,0
12.03. 23:00,Toluca,W Connection,3,2
06.03. 23:00,FAS,Club America,3,1
06.03. 23:00,Tivoli,Necaxa,0,0
