timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1407283200,Cruz Azul (Mex),Alajuelense (Cos),nqhLBCKD,4v3Y4ReF,1,1,,,,0
1407283200,CF Montreal (Can),FAS (Sal),APghxIAJ,IJKf4CSg,1,0,,,,0
1407283200,Alpha (Guy),Olimpia (Hon),0bCg2t9H,WvziCH8E,0,1,,,,0
1407290400,Metapan (Sal),Club Leon (Mex),IJKf4CSg,Uc00R8BH,2,4,,,,0
1407369600,Pachuca (Mex),Real Espana (Hon),zFZbB1JF,dQeZ4aH3,4,1,,,,0
1407376800,Esteli (Nic),Saprissa (Cos),8vfD2YGb,tnwDCzLD,1,1,,,,0
1407463200,Tauro (Pan),Waterhouse (Jam),vTLj5hDm,6iLl2ZBo,1,2,,,,0
1407463200,Comunicaciones (Gtm),Bayamon (Pur),O2l6wJsK,0bCg2t9H,5,0,,,,0
1408492800,Club America (Mex),Bayamon (Pur),OGkmEu0T,0bCg2t9H,6,1,,,,0
1408492800,Alpha (Guy),Portland Timbers (Usa),0bCg2t9H,xf2WUeO1,1,4,,,,0
1408500000,Esteli (Nic),Sporting Kansas City (Usa),8vfD2YGb,88w2wUnG,1,1,,,,0
1408500000,Deportivo Universitario (Pan),Cruz Azul (Mex),zFs1klv8,nqhLBCKD,1,0,,,,0
1408579200,DC United (Usa),Waterhouse (Jam),QqhL41wo,6iLl2ZBo,1,0,,,,0
1408586400,FAS (Sal),CF Montreal (Can),IJKf4CSg,APghxIAJ,2,3,,,,0
1408672800,Real Espana (Hon),Municipal (Gtm),dQeZ4aH3,vTLj5hDm,1,1,,,,0
1408672800,Herediano (Cos),Metapan (Sal),zJ9gvDHG,IJKf4CSg,4,0,,,,0
1409097600,New York Red Bulls (Usa),FAS (Sal),h8cXfa4q,IJKf4CSg,2,0,,,,0
1409104800,Saprissa (Cos),Esteli (Nic),tnwDCzLD,8vfD2YGb,3,0,,,,0
1409104800,Comunicaciones (Gtm),Club America (Mex),O2l6wJsK,OGkmEu0T,1,1,,,,0
1409184000,Club Leon (Mex),Herediano (Cos),Uc00R8BH,zJ9gvDHG,1,1,,,,0
1409191200,Municipal (Gtm),Pachuca (Mex),vTLj5hDm,zFZbB1JF,3,7,,,,0
1409270400,Waterhouse (Jam),Tauro (Pan),6iLl2ZBo,vTLj5hDm,4,1,,,,0
1409277600,Olimpia (Hon),Alpha (Guy),WvziCH8E,0bCg2t9H,6,0,,,,0
1409277600,Alajuelense (Cos),Deportivo Universitario (Pan),4v3Y4ReF,zFs1klv8,1,0,,,,0
1410912000,Waterhouse (Jam),DC United (Usa),6iLl2ZBo,QqhL41wo,1,2,,,,0
1410912000,Cruz Azul (Mex),Deportivo Universitario (Pan),nqhLBCKD,zFs1klv8,3,0,,,,0
