timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1196596800,Shkendija,Napredok,f3OURrqn,WrtPD2cR,2,1,,,,0
1196596800,Rabotnicki,Pelister,Cdxq7Y31,2JKzUeUK,1,0,,,,0
1196596800,Pobeda,Cem. Skopje,8lHNgCuQ,Wd7TDfbj,4,3,,,,0
1196596800,Milano Kumanovo,Sileks,COn47dFf,Ys5PBeU0,4,0,,,,0
1196596800,Makedonija GP,Vardar,n5NSVHa8,86OeMIIr,1,1,,,,0
1196596800,Bashkimi,Renova,8ISTYn2F,WrjrBuU2,1,3,,,,0
1197201600,Vardar,Pobeda,86OeMIIr,8lHNgCuQ,0,0,,,,0
1197201600,Sileks,Rabotnicki,Ys5PBeU0,Cdxq7Y31,1,2,,,,0
1197201600,Shkendija,Bashkimi,f3OURrqn,8ISTYn2F,1,0,,,,0
1197201600,Pelister,Makedonija GP,2JKzUeUK,n5NSVHa8,1,0,,,,0
1197201600,Napredok,Milano Kumanovo,WrtPD2cR,COn47dFf,2,1,,,,0
1197201600,Cem. Skopje,Renova,Wd7TDfbj,WrjrBuU2,1,0,,,,0
1197806400,Renova,Vardar,WrjrBuU2,86OeMIIr,1,1,,,,0
1197806400,Rabotnicki,Napredok,Cdxq7Y31,WrtPD2cR,3,0,,,,0
1197806400,Pobeda,Pelister,8lHNgCuQ,2JKzUeUK,2,1,,,,0
1197806400,Milano Kumanovo,Shkendija,COn47dFf,f3OURrqn,1,0,,,,0
1197806400,Makedonija GP,Sileks,n5NSVHa8,Ys5PBeU0,1,1,,,,0
1197806400,Bashkimi,Cem. Skopje,8ISTYn2F,Wd7TDfbj,0,2,,,,0
1204376400,Milano Kumanovo,Bashkimi,COn47dFf,8ISTYn2F,4,2,,,,0
1204462800,Vardar,Cem. Skopje,86OeMIIr,Wd7TDfbj,1,0,,,,0
1204462800,Sileks,Pobeda,Ys5PBeU0,8lHNgCuQ,1,0,,,,0
1204462800,Shkendija,Rabotnicki,f3OURrqn,Cdxq7Y31,1,2,,,,0
1204462800,Pelister,Renova,2JKzUeUK,WrjrBuU2,1,1,,,,0
1204462800,Napredok,Makedonija GP,WrtPD2cR,n5NSVHa8,1,0,,,,0
1205067600,Renova,Sileks,WrjrBuU2,Ys5PBeU0,1,1,,,,0
1205067600,Rabotnicki,Milano Kumanovo,Cdxq7Y31,COn47dFf,1,0,,,,0
1205067600,Pobeda,Napredok,8lHNgCuQ,WrtPD2cR,4,1,,,,0
1205067600,Makedonija GP,Shkendija,n5NSVHa8,f3OURrqn,4,1,,,,0
1205067600,Cem. Skopje,Pelister,Wd7TDfbj,2JKzUeUK,0,1,,,,0
1205067600,Bashkimi,Vardar,8ISTYn2F,86OeMIIr,1,1,,,,0
1205586000,Rabotnicki,Bashkimi,Cdxq7Y31,8ISTYn2F,1,0,,,,0
1205679600,Sileks,Cem. Skopje,Ys5PBeU0,Wd7TDfbj,2,0,,,,0
1205679600,Shkendija,Pobeda,f3OURrqn,8lHNgCuQ,3,0,Awrd,,,0
1205679600,Pelister,Vardar,2JKzUeUK,86OeMIIr,2,1,,,,0
1205679600,Napredok,Renova,WrtPD2cR,WrjrBuU2,3,1,,,,0
1205679600,Milano Kumanovo,Makedonija GP,COn47dFf,n5NSVHa8,5,0,,,,0
1206190800,Vardar,Sileks,86OeMIIr,Ys5PBeU0,1,0,,,,0
1206190800,Renova,Shkendija,WrjrBuU2,f3OURrqn,1,0,,,,0
1206190800,Pobeda,Milano Kumanovo,8lHNgCuQ,COn47dFf,4,1,,,,0
1206190800,Makedonija GP,Rabotnicki,n5NSVHa8,Cdxq7Y31,0,0,,,,0
1206190800,Cem. Skopje,Napredok,Wd7TDfbj,WrtPD2cR,0,0,,,,0
1206190800,Bashkimi,Pelister,8ISTYn2F,2JKzUeUK,0,0,,,,0
1206795600,Vardar,Sileks,86OeMIIr,Ys5PBeU0,2,1,,,,0
1206795600,Renova,Bashkimi,WrjrBuU2,8ISTYn2F,0,0,,,,0
1206795600,Rabotnicki,Makedonija GP,Cdxq7Y31,n5NSVHa8,1,0,,,,0
1206795600,Pobeda,Cem. Skopje,8lHNgCuQ,Wd7TDfbj,1,1,,,,0
1206795600,Pelister,Shkendija,2JKzUeUK,f3OURrqn,1,0,,,,0
1206795600,Milano Kumanovo,Napredok,COn47dFf,WrtPD2cR,3,0,,,,0
1207144800,Sileks,Milano Kumanovo,Ys5PBeU0,COn47dFf,0,1,,,,0
1207144800,Shkendija,Vardar,f3OURrqn,86OeMIIr,1,0,,,,0
1207144800,Napredok,Rabotnicki,WrtPD2cR,Cdxq7Y31,0,0,,,,0
