timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1628436600,Tikves,Shkendija,0,0,,,,0
1628436600,Renova,FK Skopje,1,1,,,,0
1628436600,Rabotnicki,Borec,1,0,,,,0
1628436600,Makedonija GP,Pelister,1,0,,,,0
1628436600,Bregalnica Stip,Shkupi,0,0,,,,0
1628445600,Brera Strumica,Struga,1,1,,,,0
1629039600,Struga,Pelister,1,0,,,,0
1629039600,Shkupi,Makedonija GP,2,0,,,,0
1629039600,Shkendija,Renova,1,2,,,,0
1629039600,FK Skopje,Bregalnica Stip,0,0,,,,0
1629039600,Borec,Tikves,2,1,,,,0
1629050400,Brera Strumica,Rabotnicki,2,0,,,,0
1629298800,Tikves,Brera Strumica,0,2,,,,0
1629298800,Renova,Borec,2,0,,,,0
1629298800,Rabotnicki,Struga,0,0,,,,0
1629298800,Pelister,Shkupi,0,2,,,,0
1629298800,Makedonija GP,FK Skopje,5,1,,,,0
1629298800,Bregalnica Stip,Shkendija,3,3,,,,0
1629640800,Struga,Shkupi,4,2,,,,0
1629640800,Shkendija,Makedonija GP,4,0,,,,0
1629640800,Rabotnicki,Tikves,2,1,,,,0
1629640800,FK Skopje,Pelister,1,0,,,,0
1629640800,Borec,Bregalnica Stip,1,1,,,,0
1629655200,Brera Strumica,Renova,2,1,,,,0
1630159200,Tikves,Struga,1,1,,,,0
1630159200,Shkupi,FK Skopje,4,1,,,,0
1630159200,Renova,Rabotnicki,1,1,,,,0
1630159200,Pelister,Shkendija,2,2,,,,0
1630159200,Makedonija GP,Borec,3,2,,,,0
1630159200,Bregalnica Stip,Brera Strumica,3,2,,,,0
1631455200,Tikves,Renova,0,2,,,,0
1631455200,Struga,FK Skopje,1,0,,,,0
1631455200,Rabotnicki,Bregalnica Stip,2,0,,,,0
1631455200,Brera Strumica,Makedonija GP,4,1,,,,0
1631455200,Borec,Pelister,2,1,,,,0
1631624400,Shkendija,Shkupi,0,0,,,,0
1632056400,Shkupi,Borec,3,0,,,,0
1632056400,Renova,Struga,1,0,,,,0
1632056400,Pelister,Brera Strumica,0,0,,,,0
1632056400,Makedonija GP,Rabotnicki,0,2,,,,0
1632056400,FK Skopje,Shkendija,0,2,,,,0
1632056400,Bregalnica Stip,Tikves,2,0,,,,0
1632661200,Tikves,Makedonija GP,3,0,,,,0
1632661200,Struga,Shkendija,1,1,,,,0
1632661200,Renova,Bregalnica Stip,5,2,,,,0
1632661200,Rabotnicki,Pelister,1,1,,,,0
1632661200,Borec,FK Skopje,0,2,,,,0
1632672000,Brera Strumica,Shkupi,1,3,,,,0
1633179600,Shkendija,Borec,3,0,,,,0
1633179600,Pelister,Tikves,0,0,,,,0
1633179600,Makedonija GP,Renova,1,1,,,,0
1633179600,FK Skopje,Brera Strumica,0,0,,,,0
1633179600,Bregalnica Stip,Struga,1,0,,,,0
1633266000,Shkupi,Rabotnicki,2,0,,,,0
1634299200,Rabotnicki,FK Skopje,0,1,,,,0
