timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1520787600,Stromsgodset,Stabaek,2,2,,,,0
1520787600,Start,Tromso,4,1,,,,0
1520787600,Odd,Haugesund,1,2,,,,0
1520787600,Molde,Sandefjord,5,0,,,,0
1520787600,Bodo/Glimt,Lillestrom,3,1,,,,0
1520794800,Sarpsborg 08,Rosenborg,1,0,,,,0
1520877600,Kristiansund,Valerenga,0,1,,,,0
1521297000,Lillestrom,Sarpsborg 08,2,2,,,,0
1521306000,Rosenborg,Kristiansund,2,2,,,,0
1521392400,Haugesund,Molde,0,1,,,,0
1521392400,Brann,Bodo/Glimt,2,0,,,,0
1521399600,Valerenga,Odd,2,1,,,,0
1522684800,Stromsgodset,Brann,1,1,,,,0
1522684800,Start,Sandefjord,1,4,,,,0
1522684800,Sarpsborg 08,Valerenga,3,0,,,,0
1522684800,Ranheim,Stabaek,4,1,,,,0
1522684800,Molde,Tromso,2,1,,,,0
1522684800,Kristiansund,Lillestrom,2,1,,,,0
1522684800,Bodo/Glimt,Haugesund,0,3,,,,0
1522692000,Odd,Rosenborg,1,1,,,,0
1523116800,Valerenga,Stromsgodset,1,4,,,,0
1523203200,Tromso,Ranheim,4,0,,,,0
1523203200,Sandefjord,Stabaek,1,1,,,,0
1523203200,Odd,Bodo/Glimt,1,0,,,,0
1523203200,Haugesund,Sarpsborg 08,1,1,,,,0
1523203200,Brann,Kristiansund,1,0,,,,0
1523210400,Rosenborg,Molde,4,0,,,,0
1523293200,Lillestrom,Start,1,0,,,,0
1523464200,Tromso,Stromsgodset,3,1,,,,0
1523464200,Sandefjord,Ranheim,1,2,,,,0
1523721600,Start,Valerenga,1,6,,,,0
1523808000,Stromsgodset,Odd,3,0,,,,0
1523808000,Stabaek,Tromso,1,1,,,,0
1523808000,Sandefjord,Kristiansund,3,3,,,,0
1523808000,Ranheim,Haugesund,4,2,,,,0
1523808000,Molde,Lillestrom,2,1,,,,0
1523815200,Sarpsborg 08,Brann,1,2,,,,0
1523898000,Bodo/Glimt,Rosenborg,0,1,,,,0
1524326400,Brann,Stabaek,3,0,,,,0
1524412800,Tromso,Sandefjord,4,1,,,,0
1524412800,Rosenborg,Start,2,0,,,,0
1524412800,Lillestrom,Ranheim,0,1,,,,0
1524412800,Kristiansund,Bodo/Glimt,1,1,,,,0
1524412800,Haugesund,Stromsgodset,1,0,,,,0
1524420000,Valerenga,Molde,0,0,,,,0
1524502800,Odd,Sarpsborg 08,3,1,,,,0
1524673800,Stabaek,Start,1,1,,,,0
1524673800,Ranheim,Brann,0,2,,,,0
1524931200,Ranheim,Valerenga,2,2,,,,0
1525017600,Tromso,Kristiansund,0,0,,,,0
1525017600,Start,Haugesund,0,1,,,,0
1525017600,Sarpsborg 08,Bodo/Glimt,0,0,,,,0
1525017600,Sandefjord,Brann,0,1,,,,0
1525017600,Molde,Odd,0,1,,,,0
1525024800,Stromsgodset,Rosenborg,0,1,,,,0
1525107600,Stabaek,Lillestrom,3,2,,,,0
1525536000,Rosenborg,Ranheim,1,1,,,,0
1525622400,Valerenga,Haugesund,2,2,,,,0
1525622400,Odd,Start,3,0,,,,0
1525622400,Lillestrom,Sandefjord,1,0,,,,0
1525622400,Kristiansund,Stabaek,1,0,,,,0
1525622400,Bodo/Glimt,Stromsgodset,2,2,,,,0
1525629600,Brann,Tromso,3,0,,,,0
1525712400,Sarpsborg 08,Molde,2,2,,,,0
1526131800,Sandefjord,Valerenga,0,1,,,,0
1526140800,Start,Brann,0,1,,,,0
1526227200,Tromso,Lillestrom,1,2,,,,0
1526227200,Stromsgodset,Sarpsborg 08,1,2,,,,0
1526227200,Ranheim,Odd,3,1,,,,0
1526227200,Molde,Bodo/Glimt,1,2,,,,0
1526227200,Haugesund,Kristiansund,3,2,,,,0
1526234400,Stabaek,Rosenborg,0,1,,,,0
1526486400,Valerenga,Stabaek,1,0,,,,0
1526486400,Sarpsborg 08,Start,4,0,,,,0
1526486400,Rosenborg,Lillestrom,3,0,,,,0
1526486400,Odd,Sandefjord,5,0,,,,0
1526486400,Molde,Stromsgodset,2,0,,,,0
1526486400,Kristiansund,Ranheim,1,3,,,,0
