timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1381878000,Lotohaapai,Tupapa,0,3,,,,0
1381953600,Kiwi,Pago,5,1,,,,0
1382050800,Lotohaapai,Kiwi,2,4,,,,0
1382061600,Pago,Tupapa,1,11,,,,0
1382232600,Tupapa,Kiwi,0,3,,,,0
1396832400,Tafea (Van),Hekari Utd (Pap),3,1,,,,0
1396843200,Magenta (Nca),Ba (Fij),0,2,,,,0
1396918800,Amicale (Van),AS Dragon (Tah),1,0,,,,0
1396929600,Auckland City (Nzl),Nadi (Fij),3,0,,,,0
1397005200,Kiwi (Sam),Waitakere United (Nzl),0,2,,,,0
1397016000,Solomon Warriors (Sol),Pirae (Tah),1,2,,,,0
1397091600,Ba (Fij),Tafea (Van),4,0,,,,0
1397102400,Hekari Utd (Pap),Magenta (Nca),2,2,,,,0
1397178000,AS Dragon (Tah),Auckland City (Nzl),0,3,,,,0
1397188800,Nadi (Fij),Amicale (Van),0,6,,,,0
1397264400,Pirae (Tah),Kiwi (Sam),8,0,,,,0
1397275200,Waitakere United (Nzl),Solomon Warriors (Sol),1,1,,,,0
1397350800,Tafea (Van),Magenta (Nca),1,3,,,,0
1397361600,Ba (Fij),Hekari Utd (Pap),1,1,,,,0
1397437200,Nadi (Fij),AS Dragon (Tah),0,5,,,,0
1397448000,Amicale (Van),Auckland City (Nzl),1,0,,,,0
1397523600,Kiwi (Sam),Solomon Warriors (Sol),0,8,,,,0
1397534400,Pirae (Tah),Waitakere United (Nzl),3,1,,,,0
1398477600,Auckland City (Nzl),Pirae (Tah),3,0,,,,0
1398560400,Ba (Fij),Amicale (Van),1,2,,,,0
1399087800,Amicale (Van),Ba (Fij),0,0,,,,0
1399185900,Pirae (Tah),Auckland City (Nzl),2,1,,,,0
1399690800,Amicale (Van),Auckland City (Nzl),1,1,,,,0
1400378400,Auckland City (Nzl),Amicale (Van),2,1,,,,0
