timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1199439000,Pakistan Television,Habib Bank,KChmogYa,2P7MVMI3,2,2,,,,0
1216715400,Karachi Port Trust,Pakistan Airlines,rmu51yLU,6Pt12H5O,1,0,,,,0
1216715400,Afghan FC,Athletico Faisalabad,xnh4fzxi,ruB5gHQJ,1,2,,,,0
1216801800,National Bank of Pakistan,KESC FC,rmu51yLU,0O5bjg08,1,2,,,,0
1216888200,Habib Bank,Pakistan Steel,2P7MVMI3,KChmogYa,2,1,,,,0
1217061000,Pakistan Airlines,Athletico Faisalabad,6Pt12H5O,ruB5gHQJ,0,1,,,,0
1217061000,KESC FC,Habib Bank,0O5bjg08,2P7MVMI3,0,0,,,,0
1217061000,Afghan FC,PEL,xnh4fzxi,ruB5gHQJ,1,0,,,,0
1217147400,Pakistan Steel,Karachi Port Trust,KChmogYa,rmu51yLU,1,4,,,,0
1217233800,Afghan FC,WAPDA,xnh4fzxi,0O5bjg08,1,1,,,,0
1217320200,National Bank of Pakistan,Athletico Faisalabad,rmu51yLU,ruB5gHQJ,3,1,,,,0
1217320200,Habib Bank,PEL,2P7MVMI3,ruB5gHQJ,1,1,,,,0
1217406600,Pakistan Airlines,Pakistan Steel,6Pt12H5O,KChmogYa,4,2,,,,0
1217493000,KESC FC,WAPDA,0O5bjg08,0O5bjg08,5,1,,,,0
1217579400,National Bank of Pakistan,PEL,rmu51yLU,ruB5gHQJ,1,1,,,,0
1217579400,Habib Bank,Athletico Faisalabad,2P7MVMI3,ruB5gHQJ,0,1,,,,0
1217665800,Pakistan Steel,Pakistan Airlines,KChmogYa,6Pt12H5O,0,0,,,,0
1217665800,Karachi Port Trust,Pakistan Navy,rmu51yLU,rmu51yLU,2,1,,,,0
1217752200,KESC FC,PEL,0O5bjg08,ruB5gHQJ,0,1,,,,0
1217752200,Afghan FC,KRL FC,xnh4fzxi,0O5bjg08,2,4,,,,0
1217838600,Pakistan Steel,Athletico Faisalabad,KChmogYa,ruB5gHQJ,2,1,,,,0
1217838600,National Bank of Pakistan,Pakistan Army,rmu51yLU,zBTDGGHj,0,2,,,,0
1217838600,Habib Bank,WAPDA,2P7MVMI3,0O5bjg08,0,1,,,,0
