timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1569506400,Wadi Al-Nes,Ahli Qalqilyah,KbVT38xk,KzaNyCw9,1,1,,,,0
1569506400,Shabab Alsamu,Thaqafi Tulkarem,MiZySpmS,tr9K1EFL,1,1,,,,0
1569592800,Merkaz,Ahli Al-Khalil,WnCoxpTP,jeFu6Qy4,2,0,,,,0
1569592800,Al Khaleel,Albirah,xSsNYvVn,8MWJeG7P,4,1,,,,0
1569592800,Al Amari,Jabal Al Mukaber,O0L3N4eq,WbpYXCFI,1,0,,,,0
1569938400,Ahli Qalqilyah,Merkaz,KzaNyCw9,WnCoxpTP,1,1,,,,0
1569938400,Ahli Al-Khalil,Al Khaleel,jeFu6Qy4,xSsNYvVn,1,2,,,,0
1570024800,Albirah,Al Amari,8MWJeG7P,O0L3N4eq,0,0,,,,0
1570455000,Palestinian Forces,Wadi Al-Nes,tr9K1EFL,KbVT38xk,0,1,,,,0
1570465800,Jabal Al Mukaber,Shabab Alsamu,WbpYXCFI,MiZySpmS,0,2,,,,0
1571405400,Merkaz,Al Khaleel,WnCoxpTP,xSsNYvVn,2,2,,,,0
1571491800,Wadi Al-Nes,Thaqafi Tulkarem,KbVT38xk,tr9K1EFL,1,0,,,,0
1571491800,Shabab Alsamu,Albirah,MiZySpmS,8MWJeG7P,1,0,,,,0
1571491800,Al Quds,Jabal Al Mukaber,KrFtrFEF,WbpYXCFI,0,0,,,,0
1571491800,Al Amari,Ahli Al-Khalil,O0L3N4eq,jeFu6Qy4,2,0,,,,0
1571491800,Ahli Qalqilyah,Palestinian Forces,KzaNyCw9,tr9K1EFL,4,1,,,,0
1571756400,Al Quds,Palestinian Forces,KrFtrFEF,tr9K1EFL,0,0,,,,0
1572008400,Thaqafi Tulkarem,Ahli Qalqilyah,tr9K1EFL,KzaNyCw9,2,2,,,,0
1572012000,Al Khaleel,Al Amari,xSsNYvVn,O0L3N4eq,1,2,,,,0
1572098400,Palestinian Forces,Merkaz,tr9K1EFL,WnCoxpTP,0,2,,,,0
1572098400,Albirah,Al Quds,8MWJeG7P,KrFtrFEF,2,1,,,,0
1572098400,Ahli Al-Khalil,Shabab Alsamu,jeFu6Qy4,MiZySpmS,1,0,,,,0
1572274800,Jabal Al Mukaber,Wadi Al-Nes,WbpYXCFI,KbVT38xk,0,0,,,,0
1572534000,Shabab Alsamu,Al Khaleel,MiZySpmS,xSsNYvVn,1,2,,,,0
1572534000,Palestinian Forces,Thaqafi Tulkarem,tr9K1EFL,tr9K1EFL,0,5,,,,0
1572613200,Wadi Al-Nes,Albirah,KbVT38xk,8MWJeG7P,1,1,,,,0
1572613200,Merkaz,Al Amari,WnCoxpTP,O0L3N4eq,2,0,,,,0
1572616800,Al Quds,Ahli Al-Khalil,KrFtrFEF,jeFu6Qy4,2,2,,,,0
1572703200,Ahli Qalqilyah,Jabal Al Mukaber,KzaNyCw9,WbpYXCFI,0,2,,,,0
1574517600,Jabal Al Mukaber,Palestinian Forces,WbpYXCFI,tr9K1EFL,1,0,,,,0
1574517600,Albirah,Ahli Qalqilyah,8MWJeG7P,KzaNyCw9,1,1,,,,0
1574517600,Ahli Al-Khalil,Wadi Al-Nes,jeFu6Qy4,KbVT38xk,1,1,,,,0
1574607600,Al Amari,Shabab Alsamu,O0L3N4eq,MiZySpmS,1,1,,,,0
