date,home_team,away_team,home_score,away_score
09.03. 00:00,Alianza,Plaza Amador,1,0
09.03. 00:00,Potros del Este,San Francisco,1,0
08.03. 00:00,Chiriqui,Tauro,0,2
08.03. 00:00,Independiente,Miguelito,1,1
07.03. 21:00,Deportivo Universitario,Arabe Unido,1,0
04.03. 03:00,San Francisco,Tauro,1,0
04.03. 02:00,Alianza,Chiriqui,2,0
04.03. 02:00,Arabe Unido,Potros del Este,1,0
04.03. 02:00,Miguelito,Deportivo Universitario,0,0
04.03. 02:00,Plaza Amador,Independiente,0,0
01.03. 00:00,Chiriqui,Arabe Unido,2,3
01.03. 00:00,Potros del Este,Alianza,1,1
01.03. 00:00,Tauro,Plaza Amador,2,2
29.02. 21:00,Deportivo Universitario,Independiente,3,2
29.02. 03:00,San Francisco,Miguelito,0,0
21.02. 02:00,Alianza,Arabe Unido,0,2
21.02. 01:00,Plaza Amador,Miguelito,2,0
20.02. 21:00,Deportivo Universitario,Tauro,0,0
20.02. 02:00,Independiente,San Francisco,1,1
20.02. 02:00,Potros del Este,Chiriqui,1,0
17.02. 00:00,Plaza Amador,Chiriqui,1,0
16.02. 02:00,San Francisco,Deportivo Universitario,0,2
16.02. 00:00,Tauro,Potros del Este,1,0
15.02. 22:00,Miguelito,Alianza,1,0
15.02. 02:00,Arabe Unido,Independiente,0,1
10.02. 00:00,Alianza,San Francisco,2,1
10.02. 00:00,Potros del Este,Deportivo Universitario,2,3
09.02. 00:00,Chiriqui,Miguelito,0,0
09.02. 00:00,Independiente,Tauro,1,3
08.02. 02:00,Arabe Unido,Plaza Amador,2,0
02.02. 00:00,Alianza,Tauro,1,2
02.02. 00:00,Miguelito,Arabe Unido,0,1
01.02. 21:00,Deportivo Universitario,Chiriqui,2,0
01.02. 03:00,San Francisco,Plaza Amador,6,3
01.02. 01:00,Potros del Este,Independiente,0,0
27.01. 00:00,Miguelito,Potros del Este,2,0
27.01. 00:00,Plaza Amador,Deportivo Universitario,1,1
26.01. 02:00,Chiriqui,San Francisco,0,2
26.01. 02:00,Independiente,Alianza,1,0
26.01. 00:00,Tauro,Arabe Unido,2,1
09.12. 23:00,Potros del Este,Tauro,0,2
01.12. 23:00,Independiente,Tauro,0,3
01.12. 00:00AET,Potros del Este,Plaza Amador,1,2
24.11. 23:00,Tauro,Independiente,0,0
24.11. 00:00,Plaza Amador,Potros del Este,0,2
21.11. 02:00Pen,Miguelito,Tauro,0,1
20.11. 02:00,San Francisco,Plaza Amador,0,1
17.11. 00:00,Chiriqui,Alianza,3,1
17.11. 00:00,Miguelito,Independiente,1,0
17.11. 00:00,Potros del Este,Plaza Amador,2,2
17.11. 00:00,San Francisco,Deportivo Universitario,0,0
17.11. 00:00,Tauro,Arabe Unido,0,0
11.11. 00:00,Alianza,Miguelito,1,2
10.11. 00:00,Arabe Unido,Chiriqui,3,0
10.11. 00:00,Deportivo Universitario,Tauro,0,0
10.11. 00:00,Independiente,Potros del Este,3,1
10.11. 00:00,Plaza Amador,San Francisco,1,1
02.11. 02:00,Arabe Unido,Plaza Amador,2,2
02.11. 02:00,Potros del Este,Miguelito,0,1
02.11. 02:00,San Francisco,Chiriqui,3,0
02.11. 02:00,Tauro,Alianza,1,2
01.11. 21:00,Deportivo Universitario,Independiente,1,1
28.10. 00:00,Alianza,San Francisco,2,2
28.10. 00:00,Chiriqui,Potros del Este,2,4
27.10. 02:00,Independiente,Tauro,2,2
27.10. 02:00,Plaza Amador,Deportivo Universitario,1,1
26.10. 23:00,Miguelito,Arabe Unido,1,1
25.10. 01:00,Alianza,Deportivo Universitario,1,1
24.10. 03:00,Chiriqui,Tauro,1,1
24.10. 03:00,Independiente,Plaza Amador,1,0
24.10. 03:00,Miguelito,San Francisco,3,0
24.10. 03:00,Potros del Este,Arabe Unido,2,0
21.10. 01:00,Potros del Este,Alianza,1,0
20.10. 23:00,Arabe Unido,Deportivo Universitario,2,1
20.10. 01:00,Tauro,Plaza Amador,1,0
19.10. 23:00,Miguelito,Chiriqui,2,0
19.10. 03:00,San Francisco,Independiente,2,1
13.10. 23:00,Arabe Unido,Independiente,1,0
13.10. 22:00,Deportivo Universitario,Chiriqui,1,3
13.10. 03:00,San Francisco,Potros del Este,1,1
13.10. 01:00,Plaza Amador,Alianza,0,0
13.10. 01:00,Tauro,Miguelito,1,0
