timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1296338400,Libertad Asuncion,General Caballero SC,2,0,,,,0
1296419400,Rubio Nu,Sol de America,1,0,,,,0
1296419400,Nacional Asuncion,Olimpia Asuncion,1,2,,,,0
1296419400,3 de Febrero,Independiente FBC,3,2,,,,0
1296421200,Tacuary,Sp. Luqueno,3,2,,,,0
1296936000,Sol de America,Libertad Asuncion,0,1,,,,0
1296943200,Guarani,Nacional Asuncion,2,2,,,,0
1297023300,General Caballero SC,3 de Febrero,0,0,,,,0
1297024200,Sp. Luqueno,Rubio Nu,2,2,,,,0
1297029600,Independiente FBC,Olimpia Asuncion,0,3,,,,0
1297116000,Cerro Porteno,Tacuary,1,1,,,,0
1297378800,Libertad Asuncion,Sp. Luqueno,2,1,,,,0
1297461600,Tacuary,Guarani,0,0,,,,0
1297461600,3 de Febrero,Sol de America,0,1,,,,0
1297540800,Nacional Asuncion,Independiente FBC,1,0,,,,0
1297549800,Olimpia Asuncion,General Caballero SC,3,1,,,,0
1297630800,Rubio Nu,Cerro Porteno,2,2,,,,0
1297805400,Tacuary,Nacional Asuncion,0,1,,,,0
1297888200,General Caballero SC,Independiente FBC,1,2,,,,0
1297895400,Sol de America,Olimpia Asuncion,0,4,,,,0
1297897200,Sp. Luqueno,3 de Febrero,2,1,,,,0
1298145600,Nacional Asuncion,General Caballero SC,3,1,,,,0
1298232000,Independiente FBC,Sol de America,1,1,,,,0
1298232600,Rubio Nu,Tacuary,0,1,,,,0
1298233800,3 de Febrero,Cerro Porteno,1,2,,,,0
1298241000,Olimpia Asuncion,Sp. Luqueno,5,0,,,,0
1298752200,Cerro Porteno,Olimpia Asuncion,1,2,,,,0
1298836800,Sp. Luqueno,Independiente FBC,1,1,,,,0
1298836800,Sol de America,General Caballero SC,1,2,,,,0
1298836800,Rubio Nu,Nacional Asuncion,0,0,,,,0
1298840400,Guarani,3 de Febrero,1,0,,,,0
1298844000,Tacuary,Libertad Asuncion,1,0,,,,0
1299272400,Libertad Asuncion,Rubio Nu,4,1,,,,0
1299355200,Nacional Asuncion,Sol de America,2,0,,,,0
1299358800,3 de Febrero,Tacuary,0,0,,,,0
1299366600,Olimpia Asuncion,Guarani,4,3,,,,0
1299441600,General Caballero SC,Sp. Luqueno,1,0,,,,0
1299443400,Independiente FBC,Cerro Porteno,0,1,,,,0
1299622200,Tacuary,Olimpia Asuncion,0,0,,,,0
1299700800,Rubio Nu,3 de Febrero,1,0,,,,0
1299709800,Sp. Luqueno,Sol de America,2,2,,,,0
1299960000,Nacional Asuncion,Sp. Luqueno,0,0,,,,0
1299960000,General Caballero SC,Guarani,0,1,,,,0
1299960000,3 de Febrero,Libertad Asuncion,3,3,,,,0
1300046400,Sol de America,Cerro Porteno,2,3,,,,0
1300046400,Independiente FBC,Tacuary,1,0,,,,0
1300054200,Olimpia Asuncion,Rubio Nu,1,3,,,,0
1300312800,Cerro Porteno,General Caballero SC,2,2,,,,0
1300564800,Rubio Nu,Independiente FBC,2,2,,,,0
1300568400,3 de Febrero,Nacional Asuncion,0,2,,,,0
1300572000,Libertad Asuncion,Olimpia Asuncion,0,0,,,,0
1300651200,Cerro Porteno,Sp. Luqueno,1,0,,,,0
1300656600,Tacuary,General Caballero SC,1,1,,,,0
1300659000,Guarani,Sol de America,2,0,,,,0
1300921200,Guarani,Rubio Nu,2,1,,,,0
1301171400,Nacional Asuncion,Cerro Porteno,2,0,,,,0
1301178600,Independiente FBC,Libertad Asuncion,2,0,,,,0
1301254200,Sp. Luqueno,Guarani,1,0,,,,0
1301254200,General Caballero SC,Rubio Nu,1,5,,,,0
1301255100,Sol de America,Tacuary,0,0,,,,0
1301256000,Olimpia Asuncion,3 de Febrero,3,1,,,,0
1301522400,Cerro Porteno,Libertad Asuncion,1,2,,,,0
1301772600,General Caballero SC,Libertad Asuncion,0,1,,,,0
1301781600,Guarani,Cerro Porteno,1,0,,,,0
1301859000,Sp. Luqueno,Tacuary,2,2,,,,0
1301859000,Independiente FBC,3 de Febrero,0,1,,,,0
1301859900,Sol de America,Rubio Nu,3,4,,,,0
1301866200,Olimpia Asuncion,Nacional Asuncion,1,2,,,,0
1302127200,Libertad Asuncion,Guarani,0,0,,,,0
1302377400,Nacional Asuncion,Guarani,2,1,,,,0
1302385200,Olimpia Asuncion,Independiente FBC,1,1,,,,0
1302385200,Libertad Asuncion,Sol de America,1,2,,,,0
1302463800,3 de Febrero,General Caballero SC,1,0,,,,0
1302464700,Rubio Nu,Sp. Luqueno,2,1,,,,0
1302474600,Tacuary,Cerro Porteno,2,0,,,,0
1302735600,Libertad Asuncion,Nacional Asuncion,0,1,,,,0
1302993000,Guarani,Tacuary,1,2,,,,0
1302994800,Sp. Luqueno,Libertad Asuncion,1,0,,,,0
1303068600,Sol de America,3 de Febrero,3,2,,,,0
1303068600,Independiente FBC,Nacional Asuncion,5,1,,,,0
1303074000,General Caballero SC,Olimpia Asuncion,1,2,,,,0
1303081200,Cerro Porteno,Rubio Nu,1,1,,,,0
1303340400,Guarani,Independiente FBC,2,0,,,,0
1303585200,Rubio Nu,Guarani,3,0,,,,0
1303585200,3 de Febrero,Sp. Luqueno,1,0,,,,0
1303585800,Nacional Asuncion,Tacuary,1,0,,,,0
1303596000,Olimpia Asuncion,Sol de America,2,0,,,,0
1303673400,Independiente FBC,General Caballero SC,2,2,,,,0
1303682400,Libertad Asuncion,Cerro Porteno,1,1,,,,0
1303932600,Sol de America,Independiente FBC,1,0,,,,0
1303943400,Tacuary,Rubio Nu,1,0,,,,0
1303945800,Sp. Luqueno,Olimpia Asuncion,1,4,,,,0
1304028000,General Caballero SC,Nacional Asuncion,1,3,,,,0
1304200800,3 de Febrero,Guarani,1,1,,,,0
1304277300,Independiente FBC,Sp. Luqueno,1,1,,,,0
1304277300,General Caballero SC,Sol de America,3,2,,,,0
1304280000,Olimpia Asuncion,Cerro Porteno,0,2,,,,0
1304289000,Libertad Asuncion,Tacuary,0,0,,,,0
1304362800,Nacional Asuncion,Rubio Nu,3,0,,,,0
1304794800,Sol de America,Nacional Asuncion,0,0,,,,0
1304798400,Tacuary,3 de Febrero,1,1,,,,0
1304881200,Sp. Luqueno,General Caballero SC,1,1,,,,0
1304881200,Rubio Nu,Libertad Asuncion,0,1,,,,0
1304884800,Cerro Porteno,Independiente FBC,1,1,,,,0
1304892600,Guarani,Olimpia Asuncion,0,0,,,,0
1305324000,3 de Febrero,Rubio Nu,2,2,,,,0
