date,home_team,away_team,home_score,away_score
07.12. 22:00,Guarani,Cerro Porteno PF,6,0
07.12. 22:00,Sol de America,Libertad Asuncion,0,1
06.12. 23:10,Cerro Porteno,Nacional Asuncion,4,1
06.12. 23:00,Rubio Nu,Dep. Capiata,3,2
05.12. 23:00,Olimpia Asuncion,Sp. Luqueno,1,1
05.12. 21:00,Diaz,Sp. Carapegua,1,0
02.12. 22:10,Cerro Porteno PF,Olimpia Asuncion,2,7
02.12. 22:10,Libertad Asuncion,Rubio Nu,4,2
02.12. 22:10,Sp. Luqueno,Diaz,2,2
02.12. 21:00,Dep. Capiata,Cerro Porteno,1,1
30.11. 23:00,Nacional Asuncion,Guarani,2,2
30.11. 21:00,Sp. Carapegua,Sol de America,2,0
26.11. 23:10,Libertad Asuncion,Sp. Luqueno,0,1
24.11. 23:00,Cerro Porteno,Libertad Asuncion,1,1
24.11. 23:00,Guarani,Dep. Capiata,5,3
24.11. 22:00,Rubio Nu,Sp. Carapegua,1,1
23.11. 23:00,Nacional Asuncion,Cerro Porteno PF,1,0
23.11. 22:30,Diaz,Olimpia Asuncion,1,1
22.11. 22:30,Sol de America,Sp. Luqueno,2,4
17.11. 23:00,Olimpia Asuncion,Sol de America,2,2
17.11. 22:00,Libertad Asuncion,Guarani,0,2
17.11. 22:00,Sp. Carapegua,Cerro Porteno,0,0
17.11. 22:00,Sp. Luqueno,Rubio Nu,0,1
17.11. 21:00,Cerro Porteno PF,Diaz,3,0
16.11. 21:00,Dep. Capiata,Nacional Asuncion,1,0
14.11. 00:15,Cerro Porteno,Sp. Luqueno,2,1
13.11. 23:00,Nacional Asuncion,Libertad Asuncion,0,1
13.11. 22:00,Rubio Nu,Olimpia Asuncion,0,1
13.11. 22:00,Sol de America,Diaz,1,1
13.11. 20:30,Dep. Capiata,Cerro Porteno PF,3,1
12.11. 23:00,Guarani,Sp. Carapegua,0,0
10.11. 23:30,Libertad Asuncion,Dep. Capiata,2,1
10.11. 21:30,Olimpia Asuncion,Cerro Porteno,0,0
09.11. 20:30,Sp. Carapegua,Nacional Asuncion,1,4
08.11. 23:00,Sp. Luqueno,Guarani,0,4
08.11. 20:30,Cerro Porteno PF,Sol de America,3,0
08.11. 20:30,Diaz,Rubio Nu,2,2
03.11. 23:30,Guarani,Olimpia Asuncion,2,0
03.11. 22:30,Libertad Asuncion,Cerro Porteno PF,1,0
03.11. 21:20,Nacional Asuncion,Sp. Luqueno,0,0
03.11. 20:30,Dep. Capiata,Sp. Carapegua,3,1
02.11. 23:00,Cerro Porteno,Diaz,2,1
02.11. 22:00,Rubio Nu,Sol de America,2,1
27.10. 22:10,Sol de America,Cerro Porteno,1,1
27.10. 22:00,Sp. Luqueno,Dep. Capiata,4,2
27.10. 20:30,Cerro Porteno PF,Rubio Nu,3,1
27.10. 20:00,Diaz,Guarani,1,4
27.10. 20:00,Sp. Carapegua,Libertad Asuncion,2,1
27.10. 00:00,Olimpia Asuncion,Nacional Asuncion,0,1
24.10. 01:10,Cerro Porteno,Rubio Nu,1,0
23.10. 23:00,Guarani,Sol de America,3,0
23.10. 21:00,Sp. Carapegua,Cerro Porteno PF,2,2
22.10. 23:00,Nacional Asuncion,Diaz,2,1
22.10. 21:00,Dep. Capiata,Olimpia Asuncion,1,0
20.10. 21:00,Sp. Luqueno,Sp. Carapegua,0,2
19.10. 23:15,Rubio Nu,Guarani,1,1
19.10. 21:00,Cerro Porteno PF,Cerro Porteno,1,2
19.10. 01:00,Olimpia Asuncion,Libertad Asuncion,1,2
19.10. 01:00,Sol de America,Nacional Asuncion,1,2
18.10. 21:30,Diaz,Dep. Capiata,0,1
13.10. 00:00,Libertad Asuncion,Nacional Asuncion,2,0
06.10. 23:30,Libertad Asuncion,Diaz,0,3
06.10. 23:15,Guarani,Cerro Porteno,2,3
06.10. 21:30,Dep. Capiata,Sol de America,1,0
06.10. 21:00,Sp. Carapegua,Olimpia Asuncion,0,1
06.10. 00:30,Sp. Luqueno,Cerro Porteno PF,2,0
05.10. 23:00,Nacional Asuncion,Rubio Nu,0,1
02.10. 21:15,Cerro Porteno PF,Libertad Asuncion,2,1
29.09. 23:50,Libertad Asuncion,Sol de America,3,0
29.09. 21:30,Sp. Carapegua,Diaz,1,1
29.09. 21:30,Sp. Luqueno,Olimpia Asuncion,2,1
29.09. 21:00,Cerro Porteno PF,Guarani,1,4
28.09. 23:15,Nacional Asuncion,Cerro Porteno,0,1
28.09. 21:15,Dep. Capiata,Rubio Nu,4,0
23.09. 01:00,Cerro Porteno,Dep. Capiata,3,1
22.09. 23:00,Guarani,Nacional Asuncion,0,1
22.09. 22:00,Rubio Nu,Libertad Asuncion,0,1
22.09. 21:15,Sol de America,Sp. Carapegua,3,2
