timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1572121800,Esc. Futbol JTR,Sport Estrella,Msn4P00a,Msn4P00a,1,0,,,,0
1572197400,Sport Ancash,Deportivo Garcilaso,fq6L9f9f,rV5EZZh1,2,1,,,,0
1572208200,Octavio Espinoza de Ica,Credicoop San Cristobal,pK3j9xES,OOyg0u8R,1,1,,,,0
1572208200,Miguel Grau,Carlos Stein,Msn4P00a,02pXIKyP,3,0,,,,0
1572208200,Las Palmas Chota,Llacuabamba,p2IzWDgo,GdPMFPFs,0,1,,,,0
1572208200,Huanta,Chavelines,Msn4P00a,Ea36r7V0,3,2,,,,0
1572208200,AD Tarma,Juv. Municipal,z942qmGf,Msn4P00a,2,0,,,,0
1572800400,Credicoop San Cristobal,Octavio Espinoza de Ica,OOyg0u8R,pK3j9xES,4,0,,,,0
1572800400,Carlos Stein,Miguel Grau,02pXIKyP,Msn4P00a,3,0,Awrd,,,0
1572804000,Sport Estrella,Esc. Futbol JTR,Msn4P00a,Msn4P00a,4,0,,,,0
1572804000,Deportivo Garcilaso,Sport Ancash,rV5EZZh1,fq6L9f9f,3,0,,,,0
1572812400,Nacional FBC,Comerciantes,EuBePEbC,h09Y1ToB,2,4,,,,0
1572813000,Llacuabamba,Las Palmas Chota,GdPMFPFs,p2IzWDgo,2,2,,,,0
1572813000,Juv. Municipal,AD Tarma,Msn4P00a,z942qmGf,1,0,,,,0
1572813000,Chavelines,Huanta,Ea36r7V0,Msn4P00a,5,0,,,,0
1573086600,Comerciantes,Nacional FBC,h09Y1ToB,EuBePEbC,-,-,Awrd,,,0
1573416000,Sport Estrella,Comerciantes,Msn4P00a,h09Y1ToB,4,1,,,,0
1573417800,Llacuabamba,Deportivo Garcilaso,GdPMFPFs,rV5EZZh1,2,0,,,,0
1573417800,Carlos Stein,Credicoop San Cristobal,02pXIKyP,OOyg0u8R,2,1,,,,0
1573423200,AD Tarma,Chavelines,z942qmGf,Ea36r7V0,2,1,,,,0
1574010000,Credicoop San Cristobal,Carlos Stein,OOyg0u8R,02pXIKyP,3,2,,,,0
1574013600,Deportivo Garcilaso,Llacuabamba,rV5EZZh1,GdPMFPFs,1,1,,,,0
1574020800,Comerciantes,Sport Estrella,h09Y1ToB,Msn4P00a,3,1,,,,0
1574022600,Chavelines,AD Tarma,Ea36r7V0,z942qmGf,3,0,,,,0
1574620200,Chavelines,Llacuabamba,Ea36r7V0,GdPMFPFs,1,1,,,,0
1574627400,Carlos Stein,Sport Estrella,02pXIKyP,Msn4P00a,1,1,,,,0
1574879400,Chavelines,Carlos Stein,Ea36r7V0,02pXIKyP,1,2,,,,0
1574886600,Llacuabamba,Sport Estrella,GdPMFPFs,Msn4P00a,5,0,,,,0
1575225000,Chavelines,Sport Estrella,Ea36r7V0,Msn4P00a,1,1,,,,0
1575232200,Llacuabamba,Carlos Stein,GdPMFPFs,02pXIKyP,0,3,Awrd,,,0
