timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1486231200,U. San Martin,Alianza Atl.,COxGnSy6,z942qmGf,0,1,,,,0
1486240200,Cajamarca,Comerciantes Unidos,hj2AsRp7,8dieWfgh,2,0,,,,0
1486248300,Sport Rosario,Ayacucho,0K3VOgS0,4GUthy9Q,1,0,,,,0
1486256400,FBC Melgar,AD Cantolao,AccabXmc,lld3ci33,0,0,,,,0
1486310400,Sporting Cristal,Union Comercio,Em9Gxj8O,hj2AsRp7,0,0,,,,0
1486319400,Cusco,Dep. Municipal,06OeOzI0,zRF5pj7O,1,0,,,,0
1486328400,U. de Deportes,Sport Huancayo,pzbJPTLS,6ayjGGhJ,1,1,,,,0
1486758600,Dep. Municipal,Juan Aurich,zRF5pj7O,z942qmGf,2,1,,,,0
1486836000,Ayacucho,FBC Melgar,4GUthy9Q,AccabXmc,1,3,,,,0
1486845000,Comerciantes Unidos,Cusco,8dieWfgh,06OeOzI0,2,4,,,,0
1486857600,AD Cantolao,U. San Martin,lld3ci33,COxGnSy6,0,2,,,,0
1486915200,Sport Huancayo,Cajamarca,6ayjGGhJ,hj2AsRp7,2,1,,,,0
1486924200,Union Comercio,Sport Rosario,hj2AsRp7,0K3VOgS0,0,2,,,,0
1486934100,Alianza Atl.,Sporting Cristal,z942qmGf,Em9Gxj8O,0,5,,,,0
1486941300,Alianza Lima,U. de Deportes,tE1csI3A,pzbJPTLS,2,0,,,,0
1487376000,AD Cantolao,Ayacucho,lld3ci33,4GUthy9Q,1,3,,,,0
1487440800,Cusco,Sport Huancayo,06OeOzI0,6ayjGGhJ,2,0,,,,0
1487449800,Juan Aurich,Comerciantes Unidos,z942qmGf,8dieWfgh,1,1,,,,0
1487457900,Sport Rosario,Alianza Atl.,0K3VOgS0,z942qmGf,1,0,,,,0
1487520000,Sporting Cristal,U. San Martin,Em9Gxj8O,COxGnSy6,3,0,,,,0
1487527200,FBC Melgar,Union Comercio,AccabXmc,hj2AsRp7,3,0,,,,0
1487536200,Cajamarca,U. de Deportes,hj2AsRp7,pzbJPTLS,2,1,,,,0
1487545200,Alianza Lima,Dep. Municipal,tE1csI3A,zRF5pj7O,2,2,,,,0
1487779200,Union Comercio,AD Cantolao,hj2AsRp7,lld3ci33,3,1,,,,0
1487787300,Sporting Cristal,Ayacucho,Em9Gxj8O,4GUthy9Q,4,0,,,,0
1487795400,Comerciantes Unidos,Alianza Lima,8dieWfgh,tE1csI3A,0,2,,,,0
1487795400,Cajamarca,Dep. Municipal,hj2AsRp7,zRF5pj7O,1,0,,,,0
1487811600,U. San Martin,Sport Rosario,COxGnSy6,0K3VOgS0,3,1,,,,0
1487873700,Sport Huancayo,Juan Aurich,6ayjGGhJ,z942qmGf,3,2,,,,0
1487881800,Alianza Atl.,FBC Melgar,z942qmGf,AccabXmc,0,1,,,,0
1487898000,U. de Deportes,Cusco,pzbJPTLS,06OeOzI0,1,1,,,,0
1488043800,Ayacucho,Union Comercio,4GUthy9Q,hj2AsRp7,1,1,,,,0
1488054600,Dep. Municipal,Comerciantes Unidos,zRF5pj7O,8dieWfgh,0,1,,,,0
1488062700,Sport Rosario,Sporting Cristal,0K3VOgS0,Em9Gxj8O,2,1,,,,0
1488124800,Cusco,Cajamarca,06OeOzI0,hj2AsRp7,1,4,,,,0
1488142800,Juan Aurich,U. de Deportes,z942qmGf,pzbJPTLS,0,0,,,,0
1488150900,Alianza Lima,Sport Huancayo,tE1csI3A,6ayjGGhJ,2,2,,,,0
1488218400,FBC Melgar,U. San Martin,AccabXmc,COxGnSy6,2,1,,,,0
1488240000,AD Cantolao,Alianza Atl.,lld3ci33,z942qmGf,0,1,,,,0
1488502800,FBC Melgar,Sporting Cristal,AccabXmc,Em9Gxj8O,2,2,,,,0
1488643200,Sport Huancayo,Comerciantes Unidos,6ayjGGhJ,8dieWfgh,4,2,,,,0
1488651300,U. San Martin,Union Comercio,COxGnSy6,hj2AsRp7,3,0,,,,0
1488659400,Alianza Atl.,Ayacucho,z942qmGf,4GUthy9Q,1,1,,,,0
1488675600,U. de Deportes,Dep. Municipal,pzbJPTLS,zRF5pj7O,1,0,,,,0
1488729600,Sporting Cristal,AD Cantolao,Em9Gxj8O,lld3ci33,1,4,,,,0
1488736800,Sport Rosario,FBC Melgar,0K3VOgS0,AccabXmc,0,0,,,,0
1488745800,Cusco,Alianza Lima,06OeOzI0,tE1csI3A,2,1,,,,0
1488745800,Cajamarca,Juan Aurich,hj2AsRp7,z942qmGf,3,0,,,,0
1488918600,Ayacucho,U. San Martin,4GUthy9Q,COxGnSy6,3,0,,,,0
1488988800,Union Comercio,Alianza Atl.,hj2AsRp7,z942qmGf,5,0,,,,0
1488996900,Juan Aurich,Cusco,z942qmGf,06OeOzI0,3,1,,,,0
1489005000,Dep. Municipal,Sport Huancayo,zRF5pj7O,6ayjGGhJ,2,0,,,,0
1489013100,AD Cantolao,Sport Rosario,lld3ci33,0K3VOgS0,0,0,,,,0
1489021200,Alianza Lima,Cajamarca,tE1csI3A,hj2AsRp7,0,0,,,,0
1489091400,Comerciantes Unidos,U. de Deportes,8dieWfgh,pzbJPTLS,3,0,,,,0
1489248000,Ayacucho,Sport Rosario,4GUthy9Q,0K3VOgS0,0,1,,,,0
1489264200,Dep. Municipal,Cusco,zRF5pj7O,06OeOzI0,1,1,,,,0
1489334400,Union Comercio,Sporting Cristal,hj2AsRp7,Em9Gxj8O,2,2,,,,0
1489342500,Sport Huancayo,U. de Deportes,6ayjGGhJ,pzbJPTLS,2,1,,,,0
1489352400,Alianza Lima,Juan Aurich,tE1csI3A,z942qmGf,7,2,,,,0
1489437000,Comerciantes Unidos,Cajamarca,8dieWfgh,hj2AsRp7,4,2,,,,0
