timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
995666400,Widzew Lodz,Zaglebie,UTb1DTGS,Ykwr8Dur,0,2,,,,0
995666400,Slask Wroclaw,Legia,CrPl0Jrc,rgYuXGKm,1,0,,,,0
995666400,Ruch Chorzow,Stomil Olsztyn,2FYvdV3F,nuSpyoEL,2,1,,,,0
995666400,Polonia Warszawa,Gornik Zabrze,pjvOeKFg,WtiGCgXQ,4,1,,,,0
995666400,Ostrowiec Swietokrzyski,Wisla,23lHGsL8,Wdonsod0,0,1,,,,0
995666400,Odra Wodzislaw,GKS Katowice,ld8AStcI,4GUthy9Q,3,1,,,,0
995666400,Amica Wronki,Groclin,ImE3sZrC,INIrM9aD,3,0,,,,0
995752800,Radomsko,Pogon Szczecin,tMiAwHos,vLZ2ZgBC,0,3,,,,0
996184800,Legia,Amica Wronki,rgYuXGKm,ImE3sZrC,1,2,,,,0
996271200,Zaglebie,Odra Wodzislaw,Ykwr8Dur,ld8AStcI,3,1,,,,0
996271200,Stomil Olsztyn,Radomsko,nuSpyoEL,tMiAwHos,0,0,,,,0
996271200,Pogon Szczecin,Ruch Chorzow,vLZ2ZgBC,2FYvdV3F,0,0,,,,0
996271200,Groclin,Slask Wroclaw,INIrM9aD,CrPl0Jrc,2,4,,,,0
996271200,Gornik Zabrze,Ostrowiec Swietokrzyski,WtiGCgXQ,23lHGsL8,0,0,,,,0
996357600,Wisla,Polonia Warszawa,Wdonsod0,pjvOeKFg,2,2,,,,0
996789600,Ruch Chorzow,Legia,2FYvdV3F,rgYuXGKm,0,4,,,,0
996876000,Widzew Lodz,Wisla,UTb1DTGS,Wdonsod0,3,2,,,,0
996876000,Slask Wroclaw,Stomil Olsztyn,CrPl0Jrc,nuSpyoEL,1,2,,,,0
996876000,Radomsko,Groclin,tMiAwHos,INIrM9aD,0,1,,,,0
996876000,Polonia Warszawa,GKS Katowice,pjvOeKFg,4GUthy9Q,1,2,,,,0
996876000,Amica Wronki,Pogon Szczecin,ImE3sZrC,vLZ2ZgBC,1,1,,,,0
996962400,Odra Wodzislaw,Gornik Zabrze,ld8AStcI,WtiGCgXQ,1,0,,,,0
997480800,Radomsko,Ruch Chorzow,tMiAwHos,2FYvdV3F,1,0,,,,0
997480800,Odra Wodzislaw,Widzew Lodz,ld8AStcI,UTb1DTGS,2,0,,,,0
997480800,Gornik Zabrze,Wisla,WtiGCgXQ,Wdonsod0,1,2,,,,0
997480800,GKS Katowice,Zaglebie,4GUthy9Q,Ykwr8Dur,1,0,,,,0
997567200,Stomil Olsztyn,Pogon Szczecin,nuSpyoEL,vLZ2ZgBC,1,1,,,,0
997567200,Slask Wroclaw,Amica Wronki,CrPl0Jrc,ImE3sZrC,1,2,,,,0
997567200,Ostrowiec Swietokrzyski,Polonia Warszawa,23lHGsL8,pjvOeKFg,0,1,,,,0
997567200,Legia,Groclin,rgYuXGKm,INIrM9aD,1,1,,,,0
997999200,Wisla,Odra Wodzislaw,Wdonsod0,ld8AStcI,1,0,,,,0
998085600,Zaglebie,Polonia Warszawa,Ykwr8Dur,pjvOeKFg,1,1,,,,0
998085600,Widzew Lodz,Gornik Zabrze,UTb1DTGS,WtiGCgXQ,1,2,,,,0
998085600,Pogon Szczecin,Slask Wroclaw,vLZ2ZgBC,CrPl0Jrc,2,1,,,,0
998085600,Legia,Radomsko,rgYuXGKm,tMiAwHos,2,1,,,,0
998085600,Groclin,Ruch Chorzow,INIrM9aD,2FYvdV3F,4,1,,,,0
998085600,GKS Katowice,Ostrowiec Swietokrzyski,4GUthy9Q,23lHGsL8,2,2,,,,0
998085600,Amica Wronki,Stomil Olsztyn,ImE3sZrC,nuSpyoEL,3,2,,,,0
998690400,Ruch Chorzow,Slask Wroclaw,2FYvdV3F,CrPl0Jrc,2,2,,,,0
998690400,Radomsko,Amica Wronki,tMiAwHos,ImE3sZrC,2,2,,,,0
998690400,Ostrowiec Swietokrzyski,Widzew Lodz,23lHGsL8,UTb1DTGS,3,0,,,,0
998690400,Gornik Zabrze,GKS Katowice,WtiGCgXQ,4GUthy9Q,1,1,,,,0
998776800,Wisla,Zaglebie,Wdonsod0,Ykwr8Dur,4,0,,,,0
998776800,Stomil Olsztyn,Legia,nuSpyoEL,rgYuXGKm,1,6,,,,0
998776800,Polonia Warszawa,Odra Wodzislaw,pjvOeKFg,ld8AStcI,2,2,,,,0
998776800,Pogon Szczecin,Groclin,vLZ2ZgBC,INIrM9aD,1,0,,,,0
999813600,Legia,Pogon Szczecin,rgYuXGKm,vLZ2ZgBC,3,0,,,,0
999900000,Zaglebie,Gornik Zabrze,Ykwr8Dur,WtiGCgXQ,3,1,,,,0
999900000,Widzew Lodz,Polonia Warszawa,UTb1DTGS,pjvOeKFg,0,3,,,,0
999900000,Slask Wroclaw,Radomsko,CrPl0Jrc,tMiAwHos,0,0,,,,0
999900000,Groclin,Stomil Olsztyn,INIrM9aD,nuSpyoEL,2,0,,,,0
999900000,GKS Katowice,Wisla,4GUthy9Q,Wdonsod0,1,5,,,,0
999900000,Amica Wronki,Ruch Chorzow,ImE3sZrC,2FYvdV3F,2,0,,,,0
999986400,Odra Wodzislaw,Ostrowiec Swietokrzyski,ld8AStcI,23lHGsL8,2,1,,,,0
1000159200,GKS Katowice,Widzew Lodz,4GUthy9Q,UTb1DTGS,0,1,,,,0
1000245600,Ostrowiec Swietokrzyski,Zaglebie,23lHGsL8,Ykwr8Dur,2,1,,,,0
1000418400,GKS Katowice,Odra Wodzislaw,4GUthy9Q,ld8AStcI,4,2,,,,0
1000504800,Zaglebie,Widzew Lodz,Ykwr8Dur,UTb1DTGS,2,0,,,,0
1000504800,Stomil Olsztyn,Ruch Chorzow,nuSpyoEL,2FYvdV3F,0,1,,,,0
1000504800,Pogon Szczecin,Radomsko,vLZ2ZgBC,tMiAwHos,2,1,,,,0
1000504800,Gornik Zabrze,Polonia Warszawa,WtiGCgXQ,pjvOeKFg,0,0,,,,0
1000591200,Wisla,Ostrowiec Swietokrzyski,Wdonsod0,23lHGsL8,0,1,,,,0
1000591200,Legia,Slask Wroclaw,rgYuXGKm,CrPl0Jrc,3,4,,,,0
1000591200,Groclin,Amica Wronki,INIrM9aD,ImE3sZrC,1,1,,,,0
1001163600,Ostrowiec Swietokrzyski,Gornik Zabrze,23lHGsL8,WtiGCgXQ,1,2,,,,0
1001167200,Ruch Chorzow,Pogon Szczecin,2FYvdV3F,vLZ2ZgBC,3,0,,,,0
