timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1218218400,Legia,Polonia Warszawa,2,2,,,,0
1218218400,Lech Poznan,GKS Belchatow,2,3,,,,0
1218283200,LKS Lodz,Odra Wodzislaw,0,0,,,,0
1218290400,Piast Gliwice,Cracovia,2,0,,,,0
1218297600,Wisla,Polonia Bytom,1,0,,,,0
1218304800,Slask Wroclaw,Lechia Gdansk,1,1,,,,0
1218387600,Gornik Zabrze,Ruch Chorzow,0,0,,,,0
1218387600,Arka Gdynia,Jagiellonia,1,1,,,,0
1218816000,Cracovia,LKS Lodz,2,0,,,,0
1218823200,Arka Gdynia,Gornik Zabrze,1,0,,,,0
1218895200,GKS Belchatow,Piast Gliwice,0,0,,,,0
1218902400,Polonia Bytom,Slask Wroclaw,1,1,,,,0
1218909600,Ruch Chorzow,Lechia Gdansk,2,1,,,,0
1218909600,Polonia Warszawa,Wisla,0,2,,,,0
1218985200,Odra Wodzislaw,Legia,2,0,,,,0
1218985200,Jagiellonia,Lech Poznan,0,3,,,,0
1219428000,Wisla,GKS Belchatow,2,1,,,,0
1219428000,Ruch Chorzow,Polonia Bytom,2,1,,,,0
1219500000,Piast Gliwice,Arka Gdynia,1,2,,,,0
1219507200,Slask Wroclaw,Odra Wodzislaw,4,0,,,,0
1219508100,Lech Poznan,Gornik Zabrze,3,0,,,,0
1219514400,LKS Lodz,Polonia Warszawa,1,2,,,,0
1219582800,Lechia Gdansk,Cracovia,2,0,,,,0
1219590000,Legia,Jagiellonia,2,0,,,,0
1220024700,GKS Belchatow,LKS Lodz,0,2,,,,0
1220035500,Polonia Warszawa,Slask Wroclaw,3,0,,,,0
1220102100,Polonia Bytom,Lechia Gdansk,4,1,,,,0
1220110200,Odra Wodzislaw,Ruch Chorzow,3,0,,,,0
1220118300,Jagiellonia,Piast Gliwice,2,0,,,,0
1220193900,Arka Gdynia,Lech Poznan,2,1,,,,0
1220194800,Gornik Zabrze,Legia,0,3,,,,0
1220203800,Cracovia,Wisla,1,1,,,,0
1221234300,LKS Lodz,Jagiellonia,1,0,,,,0
1221242400,Ruch Chorzow,Cracovia,2,0,,,,0
1221311700,Slask Wroclaw,GKS Belchatow,2,1,,,,0
1221319800,Lechia Gdansk,Odra Wodzislaw,3,1,,,,0
1221321600,Legia,Arka Gdynia,2,0,,,,0
