timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1533655800,Pruszkow,Wisla Pulawy,1,2,,,,0
1533740400,S. Wola,Legionowo,2,3,,,,0
1533742200,Blekitni Stargard,Kluczbork,1,2,,,,0
1533744000,ROW Rybnik,Gwardia Koszalin,1,1,Pen,2,1,0
1537880400,Swietochlowice,Arka Gdynia,0,3,,,,0
1537880400,LKS Lodz,Lech Poznan,0,0,AET,0,1,0
1537882200,Siarka Tarnobrzeg,Wisla Plock,1,4,,,,0
1537882200,Gryf Wejherowo,Stomil Olsztyn,1,3,,,,0
1537884000,Glubczyce,Chrobry Glogow,0,8,,,,0
1537889400,Chojniczanka,Legia,0,1,,,,0
1537893000,Pogon Siedlce,Stal Mielec,2,1,,,,0
1537896000,Ruch Chorzow,Odra Opole,1,5,,,,0
1537900200,Wisla,Lechia Gdansk,1,1,Pen,1,2,0
1537966800,R. Rzeszow,Warta Poznan,2,0,,,,0
1537966800,Olimpia Elblag,Slask Wroclaw,0,3,,,,0
1537968600,Starogard Gdanski,Leczna,1,0,,,,0
1537968600,Elana Torun,Bytovia Bytow,1,3,,,,0
1537970400,Zielona Gora,Suwalki,0,1,,,,0
1537970400,Tur Bielsk Podlaski,Termalica B-B.,1,4,,,,0
1537970400,Sroda,Radomiak Radom,4,3,,,,0
1537970400,ROW Rybnik,Cracovia,1,3,,,,0
1537970400,Paradyz,Puszcza,0,7,,,,0
1537970400,Legionowo,Tychy,2,1,,,,0
1537970400,Lechia Dzierzoniow,Jagiellonia,0,1,,,,0
1537970400,Huragan Morag,Zaglebie,3,2,,,,0
1537970400,Drwinia,Wisla Pulawy,0,1,,,,0
1537970400,Baltyk Koszalin,Rozwoj Katowice,1,1,AET,1,3,0
1537975800,GKS Jastrzebie,Piast Gliwice,1,2,,,,0
1537977600,Sandecja Nowy S.,Legnica,0,3,,,,0
1537977600,Kluczbork,Podbeskidzie,0,2,,,,0
1537979400,GKS Belchatow,Garbarnia,0,0,Pen,2,1,0
1537986600,GKS Katowice,Pogon Szczecin,1,1,Pen,2,1,0
1538064000,Ol. Grudziadz,Zaglebie Sosnowiec,0,0,Pen,1,0,0
1538485200,Unia Hrubieszow,Gornik Zabrze,0,9,,,,0
1538571600,Sandomierz,Korona Kielce,3,2,,,,0
1538586000,Sulejowek,Rakow,0,4,,,,0
1540900800,Huragan Morag,Arka Gdynia,0,1,,,,0
1540908000,Bytovia Bytow,Slask Wroclaw,0,3,,,,0
1540917900,Rakow,Lech Poznan,1,0,,,,0
1540920600,Pogon Siedlce,Chrobry Glogow,1,2,,,,0
1540927800,Piast Gliwice,Legia,0,0,Pen,1,2,0
1540987200,Sroda,Odra Opole,0,1,,,,0
1540987200,Sandomierz,Podbeskidzie,2,2,AET,3,2,0
1540987200,Legionowo,Gornik Zabrze,0,1,,,,0
1540996200,Termalica B-B.,Cracovia,2,0,,,,0
1541005200,Wisla Pulawy,Rozwoj Katowice,0,1,,,,0
1541005200,Ol. Grudziadz,Wisla Plock,2,7,,,,0
1541007000,GKS Belchatow,Legnica,0,1,,,,0
1541014200,GKS Katowice,Jagiellonia,0,0,AET,0,1,0
1541592000,Starogard Gdanski,Puszcza,1,3,,,,0
1541592000,R. Rzeszow,Lechia Gdansk,1,3,,,,0
1541610000,Suwalki,Stomil Olsztyn,3,2,,,,0
1543926600,Puszcza,Wisla Plock,3,1,,,,0
1543939200,Slask Wroclaw,Legnica,0,1,,,,0
1543951800,Arka Gdynia,Jagiellonia,0,2,,,,0
1544008500,Sandomierz,Odra Opole,0,1,,,,0
1544025600,Termalica B-B.,Lechia Gdansk,1,3,,,,0
1544038200,Chrobry Glogow,Legia,0,3,,,,0
1544094900,Rozwoj Katowice,Gornik Zabrze,1,1,AET,1,4,0
1544124600,Suwalki,Rakow,0,3,,,,0
1551295800,Gornik Zabrze,Lechia Gdansk,1,2,,,,0
1552410000,Odra Opole,Jagiellonia,0,2,,,,0
1552496400,Rakow,Legia,1,1,AET,2,1,0
1552576500,Puszcza,Legnica,0,1,,,,0
1554825600,Jagiellonia,Legnica,2,1,,,,0
1554912000,Rakow,Lechia Gdansk,0,1,,,,0
1556805600,Jagiellonia,Lechia Gdansk,0,1,,,,0
