timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1566397200,Al-Sadd,Al Wakra,EsInupY1,QDBqG7dG,4,1,,,,0
1566405000,Qatar SC,Al-Duhail,Ya8sA3fB,CniMfo1o,1,2,,,,0
1566483600,Al-Gharafa,Al-Shahaniya,hA8wSyki,bgdeNOhe,3,0,,,,0
1566491400,Al Sailiya,Al Khor,KSnTTcjp,2Zflp5CL,1,1,,,,0
1566570000,Al Arabi,Al Ahli Doha,0SJW1Gbb,Grx0Ap3B,3,1,,,,0
1566577800,Al Rayyan,Umm-Salal,2Rnzhxb3,SKQzk2kD,2,2,,,,0
1567087800,Al Wakra,Qatar SC,QDBqG7dG,Ya8sA3fB,2,0,,,,0
1567095600,Al-Duhail,Al Arabi,CniMfo1o,0SJW1Gbb,1,1,,,,0
1567174200,Al Khor,Umm-Salal,2Zflp5CL,SKQzk2kD,1,0,,,,0
1567182000,Al Rayyan,Al-Gharafa,2Rnzhxb3,hA8wSyki,0,0,,,,0
1567260600,Al Ahli Doha,Al Sailiya,Grx0Ap3B,KSnTTcjp,3,0,,,,0
1567268400,Al-Shahaniya,Al-Sadd,bgdeNOhe,EsInupY1,1,7,,,,0
1568382900,Al Khor,Al Ahli Doha,2Zflp5CL,Grx0Ap3B,2,3,,,,0
1568390700,Umm-Salal,Al Arabi,SKQzk2kD,0SJW1Gbb,1,5,,,,0
1568469300,Al-Shahaniya,Al Wakra,bgdeNOhe,QDBqG7dG,0,2,,,,0
1568477100,Qatar SC,Al-Gharafa,Ya8sA3fB,hA8wSyki,1,3,,,,0
1568563500,Al-Duhail,Al Rayyan,CniMfo1o,2Rnzhxb3,1,1,,,,0
1568901000,Al Arabi,Al-Shahaniya,0SJW1Gbb,bgdeNOhe,2,1,,,,0
1568908800,Al-Gharafa,Al Ahli Doha,hA8wSyki,Grx0Ap3B,3,1,,,,0
1568987400,Al-Sadd,Umm-Salal,EsInupY1,SKQzk2kD,2,1,,,,0
1568995200,Al Sailiya,Qatar SC,KSnTTcjp,Ya8sA3fB,1,0,,,,0
1569073800,Al Rayyan,Al Khor,2Rnzhxb3,2Zflp5CL,2,0,,,,0
1569081600,Al Wakra,Al-Duhail,QDBqG7dG,CniMfo1o,2,4,,,,0
1569340500,Al Sailiya,Al-Sadd,KSnTTcjp,EsInupY1,1,3,,,,0
1569509400,Umm-Salal,Al Wakra,SKQzk2kD,QDBqG7dG,2,1,,,,0
1569682200,Al-Shahaniya,Al-Duhail,bgdeNOhe,CniMfo1o,0,1,,,,0
1569682200,Al Ahli Doha,Al Rayyan,Grx0Ap3B,2Rnzhxb3,1,3,,,,0
1569690000,Qatar SC,Al Khor,Ya8sA3fB,2Zflp5CL,2,1,,,,0
1569690000,Al-Gharafa,Al Sailiya,hA8wSyki,KSnTTcjp,1,3,,,,0
1570113600,Al-Duhail,Al Sailiya,CniMfo1o,KSnTTcjp,2,1,,,,0
1570121400,Al Wakra,Al-Gharafa,QDBqG7dG,hA8wSyki,3,3,,,,0
1570200000,Al-Shahaniya,Umm-Salal,bgdeNOhe,SKQzk2kD,1,1,,,,0
1570207800,Al Khor,Al Arabi,2Zflp5CL,0SJW1Gbb,1,3,,,,0
1570286400,Al-Sadd,Al Rayyan,EsInupY1,2Rnzhxb3,2,4,,,,0
1570294200,Qatar SC,Al Ahli Doha,Ya8sA3fB,Grx0Ap3B,0,2,,,,0
1571495100,Al Sailiya,Al Wakra,KSnTTcjp,QDBqG7dG,3,1,,,,0
