timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1190723400,Prefab Modelu,Timisoara,S6JLnY0S,0SFoBykb,0,3,,,,0
1190723400,Jiul Petrosani,Farul Constanta,GAvHz8iS,8r67AZON,3,2,,,,0
1190723400,Drobeta,Ceahlaul,lGKHmEoM,IitiGvgF,1,3,,,,0
1190809800,U. Cluj,Sporting Vaslui,v1mKniN8,EJgv6Oot,3,0,,,,0
1190809800,Tricolorul Breaza,Gloria Buzau,bV5XD2tR,4vwRarIs,0,1,,,,0
1190809800,Sanatatea Cluj,UTA Arad,0KLVhfmp,Gz6u3B3U,1,0,,,,0
1190809800,FC Sacele,CFR Cluj,E7NpRbOC,OUUX0e6e,0,3,,,,0
1190809800,CSM Deva,Poli Iasi,GAvHz8iS,MewIvT6n,2,3,,,,0
1190809800,Concordia,Otelul,0ds9xUMF,lAmyV7fK,0,6,,,,0
1190809800,Baia Mare,Unirea Urziceni,fubIDuh0,OUUX0e6e,1,4,,,,0
1190809800,ACU Arad,Mioveni,4OlXGelh,EPtl0Y0m,0,2,,,,0
1190812500,FC Brasov,Gloria Bistrita,CWll7ek4,2cDKpg10,1,0,,,,0
1190827800,CSM Bacau,FCSB,O6EGoZof,SCh1iPaa,0,4,,,,0
1190896200,CSM Bacau II,FC Rapid Bucuresti,WpXUFkI0,8vn2oaqs,0,3,,,,0
1190898900,Pandurii,U Craiova 1948,vZ6gsKf8,AB4EluEP,0,0,AET,1,0,0
1190914200,Progresul Bucuresti,Din. Bucuresti,j9pqhlf5,EyedO184,0,2,,,,0
1196848800,U. Cluj,Pandurii,v1mKniN8,vZ6gsKf8,0,2,,,,0
1196848800,Mioveni,Ceahlaul,EPtl0Y0m,IitiGvgF,3,0,,,,0
1196848800,Jiul Petrosani,CFR Cluj,GAvHz8iS,OUUX0e6e,0,1,,,,0
1196848800,Gloria Buzau,Timisoara,4vwRarIs,0SFoBykb,1,1,Pen,3,2,0
1196865000,Sanatatea Cluj,Din. Bucuresti,0KLVhfmp,EyedO184,0,4,,,,0
1196879400,Poli Iasi,FC Rapid Bucuresti,MewIvT6n,8vn2oaqs,0,3,,,,0
1196950500,FC Brasov,Otelul,CWll7ek4,lAmyV7fK,2,2,Pen,3,2,0
1196965800,Unirea Urziceni,FCSB,OUUX0e6e,SCh1iPaa,2,0,,,,0
1204121700,Mioveni,Din. Bucuresti,EPtl0Y0m,EyedO184,1,0,,,,0
1204137000,Unirea Urziceni,FC Rapid Bucuresti,OUUX0e6e,8vn2oaqs,1,0,,,,0
1204208100,Pandurii,Gloria Buzau,vZ6gsKf8,4vwRarIs,0,0,Pen,0,1,0
1204223400,CFR Cluj,FC Brasov,OUUX0e6e,CWll7ek4,0,0,AET,1,0,0
1208367000,Mioveni,CFR Cluj,EPtl0Y0m,OUUX0e6e,0,3,,,,0
1208453400,Gloria Buzau,Unirea Urziceni,4vwRarIs,OUUX0e6e,0,1,,,,0
1210440600,CFR Cluj,Unirea Urziceni,OUUX0e6e,OUUX0e6e,2,1,,,,0
