timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1406908800,Rubin Kazan,Spartak Moscow,Cj3YnyW9,jqo4GJye,0,4,,,,0
1406982600,Ural,Mordovia Saransk,WCLHJNjM,8zvP2TEi,2,3,,,,0
1406991600,Arsenal Tula,Zenit,04cZ6kQB,QPqvtC2B,0,4,,,,0
1407000600,CSKA Moscow,Torpedo Moscow,nHLPS3jD,UsdRiD7F,4,1,,,,0
1407069000,Dynamo Moscow,FK Rostov,WrST4g30,CpEF1IjD,7,3,,,,0
1407079800,Kuban,Ufa,UB7Gfweh,GYQf1EUi,2,0,,,,0
1407087000,Lokomotiv Moscow,Krasnodar,8QMLTqy7,vTLj5hDm,0,0,,,,0
1407168000,Akhmat Grozny,Amkar,pGHenz7m,8GkSmkbF,4,0,,,,0
1407506400,Amkar,Ufa,8GkSmkbF,GYQf1EUi,0,1,,,,0
1407515400,Kuban,FK Rostov,UB7Gfweh,CpEF1IjD,2,2,,,,0
1407576600,Mordovia Saransk,CSKA Moscow,8zvP2TEi,nHLPS3jD,0,1,,,,0
1407589200,Zenit,Torpedo Moscow,QPqvtC2B,UsdRiD7F,8,1,,,,0
1407600000,Akhmat Grozny,Rubin Kazan,pGHenz7m,Cj3YnyW9,1,1,,,,0
1407663000,Dynamo Moscow,Spartak Moscow,WrST4g30,jqo4GJye,1,2,,,,0
1407673800,Ural,Krasnodar,WCLHJNjM,vTLj5hDm,1,1,,,,0
1407684600,Arsenal Tula,Lokomotiv Moscow,04cZ6kQB,8QMLTqy7,0,2,,,,0
1407859200,Torpedo Moscow,Amkar,UsdRiD7F,8GkSmkbF,1,1,,,,0
1407927600,Ufa,Dynamo Moscow,GYQf1EUi,WrST4g30,0,2,,,,0
1407936600,Ural,Zenit,WCLHJNjM,QPqvtC2B,1,2,,,,0
1407945600,CSKA Moscow,Akhmat Grozny,nHLPS3jD,pGHenz7m,1,0,,,,0
1407945600,Arsenal Tula,Rubin Kazan,04cZ6kQB,Cj3YnyW9,0,0,,,,0
1408026600,Lokomotiv Moscow,FK Rostov,8QMLTqy7,CpEF1IjD,2,1,,,,0
1408035600,Krasnodar,Spartak Moscow,vTLj5hDm,jqo4GJye,4,0,,,,0
1408118400,Mordovia Saransk,Kuban,8zvP2TEi,UB7Gfweh,0,0,,,,0
1408194000,Ural,Torpedo Moscow,WCLHJNjM,UsdRiD7F,0,2,,,,0
1408204800,Zenit,Ufa,QPqvtC2B,GYQf1EUi,1,0,,,,0
1408267800,CSKA Moscow,Spartak Moscow,nHLPS3jD,jqo4GJye,0,1,,,,0
1408276800,Arsenal Tula,Dynamo Moscow,04cZ6kQB,WrST4g30,1,2,,,,0
1408285800,Rubin Kazan,Lokomotiv Moscow,Cj3YnyW9,8QMLTqy7,1,1,,,,0
1408294800,FK Rostov,Krasnodar,CpEF1IjD,vTLj5hDm,0,2,,,,0
1408377600,Akhmat Grozny,Mordovia Saransk,pGHenz7m,8zvP2TEi,1,0,,,,0
1408381200,Kuban,Amkar,UB7Gfweh,8GkSmkbF,1,0,,,,0
1408723200,Akhmat Grozny,Arsenal Tula,pGHenz7m,04cZ6kQB,3,0,,,,0
1408788000,Ufa,Spartak Moscow,GYQf1EUi,jqo4GJye,1,2,,,,0
1408798800,Zenit,Amkar,QPqvtC2B,8GkSmkbF,2,0,,,,0
1408809600,Rubin Kazan,CSKA Moscow,Cj3YnyW9,nHLPS3jD,2,1,,,,0
1408872600,Dynamo Moscow,Ural,WrST4g30,WCLHJNjM,2,0,,,,0
1408883400,Torpedo Moscow,Krasnodar,UsdRiD7F,vTLj5hDm,0,3,,,,0
1408894200,Kuban,Lokomotiv Moscow,UB7Gfweh,8QMLTqy7,2,1,,,,0
1408901400,FK Rostov,Mordovia Saransk,CpEF1IjD,8zvP2TEi,2,1,,,,0
1409320800,Ural,Akhmat Grozny,WCLHJNjM,pGHenz7m,0,1,,,,0
1409392800,Mordovia Saransk,Torpedo Moscow,8zvP2TEi,UsdRiD7F,1,0,,,,0
1409403600,Amkar,Spartak Moscow,8GkSmkbF,jqo4GJye,2,0,,,,0
1409414400,Arsenal Tula,Kuban,04cZ6kQB,UB7Gfweh,0,1,,,,0
1409477400,CSKA Moscow,FK Rostov,nHLPS3jD,CpEF1IjD,6,0,,,,0
1409486400,Rubin Kazan,Ufa,Cj3YnyW9,GYQf1EUi,1,1,,,,0
1409493600,Lokomotiv Moscow,Zenit,8QMLTqy7,QPqvtC2B,0,1,,,,0
1409501700,Krasnodar,Dynamo Moscow,vTLj5hDm,WrST4g30,0,2,,,,0
1410600600,CSKA Moscow,Arsenal Tula,nHLPS3jD,04cZ6kQB,2,1,,,,0
1410609600,Lokomotiv Moscow,Mordovia Saransk,8QMLTqy7,8zvP2TEi,1,1,,,,0
1410618600,Zenit,Dynamo Moscow,QPqvtC2B,WrST4g30,3,2,,,,0
1410627600,FK Rostov,Rubin Kazan,CpEF1IjD,Cj3YnyW9,1,2,,,,0
1410687000,Spartak Moscow,Torpedo Moscow,jqo4GJye,UsdRiD7F,3,1,,,,0
1410706800,Krasnodar,Ufa,vTLj5hDm,GYQf1EUi,0,2,,,,0
1410786000,Amkar,Ural,8GkSmkbF,WCLHJNjM,2,1,,,,0
1410796800,Akhmat Grozny,Kuban,pGHenz7m,UB7Gfweh,0,0,,,,0
1411142400,Arsenal Tula,Mordovia Saransk,04cZ6kQB,8zvP2TEi,0,1,,,,0
1411200000,Ufa,Ural,GYQf1EUi,WCLHJNjM,0,1,,,,0
1411209000,FK Rostov,Zenit,CpEF1IjD,QPqvtC2B,0,5,,,,0
1411218000,Kuban,Rubin Kazan,UB7Gfweh,Cj3YnyW9,2,1,,,,0
1411228800,Spartak Moscow,Akhmat Grozny,jqo4GJye,pGHenz7m,1,1,,,,0
1411291800,CSKA Moscow,Lokomotiv Moscow,nHLPS3jD,8QMLTqy7,1,0,,,,0
1411390800,Amkar,Krasnodar,8GkSmkbF,vTLj5hDm,1,2,,,,0
1411401600,Torpedo Moscow,Dynamo Moscow,UsdRiD7F,WrST4g30,1,3,,,,0
