timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1562950800,Arsenal Tula,Dynamo Moscow,1,1,,,,0
1563024600,Ural,Ufa,3,2,,,,0
1563033600,Spartak Moscow,Sochi,1,0,,,,0
1563042600,FK Rostov,Orenburg,2,1,,,,0
1563111000,Krylya Sovetov,CSKA Moscow,2,0,,,,0
1563120000,Zenit,Tambov,2,1,,,,0
1563129000,Akhmat Grozny,Krasnodar,1,0,,,,0
1563210000,Lokomotiv Moscow,Rubin Kazan,1,1,,,,0
1563620400,Ufa,Krasnodar,2,3,,,,0
1563629400,Krylya Sovetov,Arsenal Tula,2,3,,,,0
1563638400,CSKA Moscow,Orenburg,2,1,,,,0
1563647400,FK Rostov,Spartak Moscow,2,2,,,,0
1563706800,Ural,Akhmat Grozny,3,0,,,,0
1563715800,Lokomotiv Moscow,Tambov,2,1,,,,0
1563724800,Dynamo Moscow,Rubin Kazan,0,1,,,,0
1563733800,Sochi,Zenit,0,2,,,,0
1564160400,Dynamo Moscow,Ural,2,0,,,,0
1564225200,Ufa,Krylya Sovetov,2,1,,,,0
1564234200,Tambov,Spartak Moscow,2,0,,,,0
1564243200,Krasnodar,Sochi,3,0,,,,0
1564311600,Orenburg,Zenit,0,2,,,,0
1564320600,Arsenal Tula,FK Rostov,2,3,,,,0
1564329600,CSKA Moscow,Lokomotiv Moscow,1,0,,,,0
1564419600,Rubin Kazan,Akhmat Grozny,1,0,,,,0
1564830000,Ural,FK Rostov,2,2,,,,0
1564839000,Krylya Sovetov,Lokomotiv Moscow,1,2,,,,0
1564848000,Spartak Moscow,Dynamo Moscow,0,0,,,,0
1564857000,Zenit,Krasnodar,1,1,,,,0
1564925400,Tambov,Arsenal Tula,0,1,,,,0
1564934400,Rubin Kazan,CSKA Moscow,0,1,,,,0
1564943400,Sochi,Ufa,0,0,,,,0
1565024400,Akhmat Grozny,Orenburg,2,1,,,,0
1565434800,Orenburg,Tambov,2,2,,,,0
1565452800,Krasnodar,Rubin Kazan,1,0,,,,0
1565452800,Dynamo Moscow,Zenit,0,2,,,,0
1565521200,Arsenal Tula,Ufa,1,0,,,,0
1565530200,Lokomotiv Moscow,Ural,4,0,,,,0
1565539200,CSKA Moscow,Sochi,0,0,,,,0
1565548200,Akhmat Grozny,Spartak Moscow,1,3,,,,0
1565629200,FK Rostov,Krylya Sovetov,1,0,,,,0
1565967600,Orenburg,Sochi,1,1,,,,0
1566039600,Ural,Krylya Sovetov,1,3,,,,0
1566048600,Tambov,Krasnodar,0,2,,,,0
1566057600,Zenit,Akhmat Grozny,0,0,,,,0
1566126000,Rubin Kazan,Arsenal Tula,1,0,,,,0
1566135000,Ufa,FK Rostov,2,0,,,,0
1566144000,Dynamo Moscow,Lokomotiv Moscow,1,2,,,,0
1566234000,Spartak Moscow,CSKA Moscow,2,1,,,,0
1566644400,Tambov,Dynamo Moscow,0,2,,,,0
1566653400,Ufa,Zenit,1,0,,,,0
1566662400,Krasnodar,Lokomotiv Moscow,1,1,,,,0
1566739800,CSKA Moscow,Akhmat Grozny,3,0,,,,0
1566748800,Krylya Sovetov,Spartak Moscow,1,2,,,,0
1566748800,FK Rostov,Rubin Kazan,2,1,,,,0
1566757800,Arsenal Tula,Orenburg,2,1,,,,0
1566831600,Ural,Sochi,3,1,,,,0
1567184400,Krylya Sovetov,Dynamo Moscow,0,0,,,,0
1567240200,Ufa,Orenburg,1,2,,,,0
1567249200,Rubin Kazan,Sochi,0,3,,,,0
1567258200,Lokomotiv Moscow,FK Rostov,1,2,,,,0
1567267200,Akhmat Grozny,Tambov,1,1,,,,0
1567335600,Ural,Krasnodar,2,4,,,,0
1567344600,Arsenal Tula,CSKA Moscow,1,2,,,,0
1567353600,Spartak Moscow,Zenit,0,1,,,,0
1568394000,Zenit,Arsenal Tula,3,1,,,,0
1568467800,Spartak Moscow,Ural,1,2,,,,0
1568476800,Sochi,Lokomotiv Moscow,0,1,,,,0
1568545200,Orenburg,Rubin Kazan,2,1,,,,0
1568554200,Tambov,CSKA Moscow,0,2,,,,0
1568563200,Krasnodar,Krylya Sovetov,4,2,,,,0
1568653200,Dynamo Moscow,Ufa,0,0,,,,0
1568655000,FK Rostov,Akhmat Grozny,2,1,,,,0
1568989800,Ufa,Spartak Moscow,1,0,,,,0
1569063600,Akhmat Grozny,Krylya Sovetov,1,1,,,,0
1569081600,Zenit,Rubin Kazan,5,0,,,,0
1569081600,Tambov,FK Rostov,2,1,,,,0
1569141000,Orenburg,Lokomotiv Moscow,2,3,,,,0
1569150000,Dynamo Moscow,Sochi,2,3,,,,0
1569159000,Arsenal Tula,Ural,1,1,,,,0
1569168000,CSKA Moscow,Krasnodar,3,2,,,,0
1569668400,Krylya Sovetov,Tambov,2,0,,,,0
1569677400,FK Rostov,Dynamo Moscow,3,0,,,,0
1569686400,Lokomotiv Moscow,Zenit,1,0,,,,0
1569745800,Ural,CSKA Moscow,0,3,,,,0
1569754800,Rubin Kazan,Ufa,0,0,,,,0
1569763800,Spartak Moscow,Orenburg,1,2,,,,0
1569772800,Krasnodar,Arsenal Tula,2,0,,,,0
1569861000,Sochi,Akhmat Grozny,2,0,,,,0
1570264200,Ufa,Akhmat Grozny,0,1,,,,0
1570273200,Orenburg,Dynamo Moscow,2,0,,,,0
1570282200,Rubin Kazan,Tambov,2,1,,,,0
1570291200,Sochi,Krylya Sovetov,0,2,,,,0
1570350600,Ural,Zenit,1,3,,,,0
1570359600,Lokomotiv Moscow,Arsenal Tula,2,1,,,,0
1570368600,CSKA Moscow,FK Rostov,1,3,,,,0
1570377600,Krasnodar,Spartak Moscow,2,1,,,,0
1571416200,Akhmat Grozny,Lokomotiv Moscow,0,2,,,,0
1571482800,Tambov,Ural,1,2,,,,0
1571491800,Spartak Moscow,Rubin Kazan,0,0,,,,0
1571500800,Zenit,FK Rostov,6,1,,,,0
1571560200,Orenburg,Krylya Sovetov,0,1,,,,0
1571569200,Ufa,CSKA Moscow,1,1,,,,0
1571578200,Arsenal Tula,Sochi,1,1,,,,0
1571587200,Dynamo Moscow,Krasnodar,1,1,,,,0
1572021000,Rubin Kazan,Ural,0,0,,,,0
