timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1120651200,Tomsk,S. Kostroma,3,2,,,,0
1120656600,Lada Togliatti,Amkar,1,0,,,,0
1120658400,Spartak Moscow,Okean Nakhodka,6,0,,,,0
1120658400,Rubin Kazan,Vityaz,1,0,,,,0
1120658400,Krylya Sovetov,Saturn Ramenskoye,4,1,,,,0
1120660200,Lipetsk,Shinnik Yaroslavl,1,0,,,,0
1120662000,CSKA Moscow,Vladimir,2,1,,,,0
1121241600,Luch,FK Rostov,2,1,,,,0
1121252400,Dyn. Makhachkala,FC Moscow,1,4,,,,0
1121256000,Akhmat Grozny,Spartak Nalchik,5,0,,,,0
1121259600,D. Bryansk,Dynamo Moscow,0,0,,,,0
1121259600,Amkar,Lada Togliatti,2,0,,,,0
1121263200,Vladimir,CSKA Moscow,1,1,,,,0
1121263200,Vityaz,Rubin Kazan,1,2,,,,0
1121263200,S. Kostroma,Tomsk,2,0,,,,0
1121263200,Alania Vladikavkaz,Chita,2,0,,,,0
1121265000,Shinnik Yaroslavl,Lipetsk,4,0,,,,0
1121266800,Saturn Ramenskoye,Ural,1,1,,,,0
1121266800,Lokomotiv Moscow,Kemerovo,2,0,,,,0
1121270400,Kuban,Zenit,1,1,,,,0
1121277000,Okean Nakhodka,Spartak Moscow,1,2,,,,0
1121875200,Zenit,Kuban,0,0,,,,0
1123758000,Dynamo Moscow,D. Bryansk,4,0,,,,0
1123768800,FC Moscow,Dyn. Makhachkala,2,2,,,,0
1123930800,Spartak Nalchik,Akhmat Grozny,1,1,,,,0
1124632800,Saturn Ramenskoye,Krylya Sovetov,1,0,,,,0
1125230400,Volgar-Astrakhan,Torpedo Moscow,0,2,,,,0
1125489600,Ural,Saturn Ramenskoye,1,2,,,,0
1125489600,FK Rostov,Luch,1,1,,,,0
1127289600,Chita,Alania Vladikavkaz,2,0,,,,0
1131544800,Torpedo Moscow,Volgar-Astrakhan,2,0,,,,0
1131786000,Kemerovo,Lokomotiv Moscow,1,1,,,,0
1141477200,Chita,Lokomotiv Moscow,0,3,Awrd,,,0
1141480800,Luch,Spartak Moscow,0,1,,,,0
1141491600,Zenit,Akhmat Grozny,2,0,,,,0
1141560000,Rubin Kazan,Shinnik Yaroslavl,0,1,,,,0
1141560000,Krylya Sovetov,Dynamo Moscow,2,0,,,,0
1141560000,CSKA Moscow,S. Kostroma,5,0,,,,0
1141560000,Amkar,Saturn Ramenskoye,0,1,,,,0
1141570800,Torpedo Moscow,FC Moscow,1,2,,,,0
1141815600,Shinnik Yaroslavl,Rubin Kazan,0,1,,,,0
1142161200,Lokomotiv Moscow,Chita,3,0,Awrd,,,0
1142161200,FC Moscow,Torpedo Moscow,1,3,,,,0
1142168400,Akhmat Grozny,Zenit,1,0,,,,0
1142247600,Dynamo Moscow,Krylya Sovetov,2,0,,,,0
1142262000,Saturn Ramenskoye,Amkar,0,0,,,,0
1142348400,Spartak Moscow,Luch,1,0,,,,0
1142427600,S. Kostroma,CSKA Moscow,0,3,,,,0
1143039600,Spartak Moscow,Lokomotiv Moscow,2,2,,,,0
1143039600,Saturn Ramenskoye,Dynamo Moscow,3,0,,,,0
1143039600,Rubin Kazan,CSKA Moscow,1,1,,,,0
1143046800,Zenit,Torpedo Moscow,2,0,,,,0
1144836000,CSKA Moscow,Rubin Kazan,4,1,,,,0
1144839600,Dynamo Moscow,Saturn Ramenskoye,3,1,,,,0
1144854000,Torpedo Moscow,Zenit,2,3,,,,0
1144854000,Lokomotiv Moscow,Spartak Moscow,1,2,,,,0
1146650400,CSKA Moscow,Zenit,1,0,,,,0
1146670200,Spartak Moscow,Saturn Ramenskoye,1,1,,,,0
1147262400,Saturn Ramenskoye,Spartak Moscow,1,3,,,,0
1147276800,Zenit,CSKA Moscow,0,3,,,,0
1148119200,Spartak Moscow,CSKA Moscow,0,3,,,,0
