timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1635589800,Kiyovu,Gorilla,2cBw5mEH,rJ5YDcQg,1,0,,,,0
1635598800,Rayon Sport,Mukura Victory Sports,bDYixleJ,zPEUrgl4,1,0,,,,0
1635598800,Marines,Gasogi United,MmmRRgE1,6HIFuJk4,0,1,,,,0
1635598800,Espoir,AS Kigali,8Y2rT0sN,IDNyF73o,0,2,,,,0
1635685200,Musanze,Bugesera,OnWab9yA,fT5ojrk0,3,1,,,,0
1635685200,Etoile de L'Est,Police,29Vgx0Ht,WnYHA9YO,0,3,,,,0
1635685200,Etincelles,Rutsiro,8Y2rT0sN,rJ5YDcQg,0,0,,,,0
1635685200,APR,Gicumbi,tr1EvBpR,OnWab9yA,3,1,,,,0
1635849000,Gorilla,Marines,rJ5YDcQg,MmmRRgE1,1,1,,,,0
1635858000,Mukura Victory Sports,Gasogi United,zPEUrgl4,6HIFuJk4,1,1,,,,0
1635858000,AS Kigali,Kiyovu,IDNyF73o,2cBw5mEH,4,0,,,,0
1635935400,Police,Espoir,WnYHA9YO,8Y2rT0sN,0,2,,,,0
1635944400,Rutsiro,Rayon Sport,rJ5YDcQg,bDYixleJ,2,2,,,,0
1635944400,Gicumbi,Etoile de L'Est,OnWab9yA,29Vgx0Ht,2,0,,,,0
1635944400,Bugesera,Etincelles,fT5ojrk0,8Y2rT0sN,3,1,,,,0
1635944400,APR,Musanze,tr1EvBpR,OnWab9yA,2,0,,,,0
1637240400,Gorilla,AS Kigali,rJ5YDcQg,IDNyF73o,0,1,,,,0
1637240400,Espoir,Gicumbi,8Y2rT0sN,OnWab9yA,0,0,,,,0
1637317800,Gasogi United,Rutsiro,6HIFuJk4,rJ5YDcQg,3,2,,,,0
1637326800,Kiyovu,Police,2cBw5mEH,WnYHA9YO,1,1,,,,0
1637413200,Rayon Sport,Bugesera,bDYixleJ,fT5ojrk0,3,1,,,,0
1637413200,Etoile de L'Est,Musanze,29Vgx0Ht,OnWab9yA,2,3,,,,0
1637586000,Police,Gorilla,WnYHA9YO,rJ5YDcQg,0,0,,,,0
1637672400,Gicumbi,Kiyovu,OnWab9yA,2cBw5mEH,0,1,,,,0
1637672400,Bugesera,Gasogi United,fT5ojrk0,6HIFuJk4,1,2,,,,0
1637672400,APR,Rayon Sport,tr1EvBpR,bDYixleJ,2,1,,,,0
1637758800,Musanze,Espoir,OnWab9yA,8Y2rT0sN,0,0,,,,0
1637758800,Etoile de L'Est,Etincelles,29Vgx0Ht,8Y2rT0sN,4,1,,,,0
1637758800,AS Kigali,Marines,IDNyF73o,MmmRRgE1,2,2,,,,0
1637931600,Mukura Victory Sports,Bugesera,zPEUrgl4,fT5ojrk0,1,1,,,,0
1637931600,Gorilla,Gicumbi,rJ5YDcQg,OnWab9yA,0,1,,,,0
1638009000,Kiyovu,Musanze,2cBw5mEH,OnWab9yA,1,0,,,,0
1638019800,Rayon Sport,Etoile de L'Est,bDYixleJ,29Vgx0Ht,1,0,,,,0
1638028800,AS Kigali,Police,IDNyF73o,WnYHA9YO,2,2,,,,0
1638104400,Marines,Rutsiro,MmmRRgE1,rJ5YDcQg,1,0,,,,0
1638104400,Espoir,Etincelles,8Y2rT0sN,8Y2rT0sN,1,0,,,,0
1638277200,Musanze,Gorilla,OnWab9yA,rJ5YDcQg,2,1,,,,0
1638363600,Police,Marines,WnYHA9YO,MmmRRgE1,1,0,,,,0
1638363600,Gicumbi,AS Kigali,OnWab9yA,IDNyF73o,1,2,,,,0
1638363600,Etoile de L'Est,Gasogi United,29Vgx0Ht,6HIFuJk4,1,0,,,,0
1638363600,Etincelles,Kiyovu,8Y2rT0sN,2cBw5mEH,0,2,,,,0
1638363600,Espoir,Rayon Sport,8Y2rT0sN,bDYixleJ,2,2,,,,0
1638363600,Bugesera,Rutsiro,fT5ojrk0,rJ5YDcQg,0,0,,,,0
1638622800,Mukura Victory Sports,Etoile de L'Est,zPEUrgl4,29Vgx0Ht,4,0,,,,0
1638622800,AS Kigali,Musanze,IDNyF73o,OnWab9yA,1,1,,,,0
1638633600,Police,Gicumbi,WnYHA9YO,OnWab9yA,0,0,,,,0
1638700200,Gasogi United,Espoir,6HIFuJk4,8Y2rT0sN,0,0,,,,0
1638709200,Marines,Bugesera,MmmRRgE1,fT5ojrk0,2,6,,,,0
1638709200,Kiyovu,Rayon Sport,2cBw5mEH,bDYixleJ,2,0,,,,0
1638795600,Gorilla,Etincelles,rJ5YDcQg,8Y2rT0sN,2,2,,,,0
1638968400,Marines,Mukura Victory Sports,MmmRRgE1,zPEUrgl4,0,0,,,,0
1639076400,Etincelles,APR,8Y2rT0sN,tr1EvBpR,0,0,,,,0
1639141200,Musanze,Police,OnWab9yA,WnYHA9YO,1,2,,,,0
1639141200,Etoile de L'Est,Rutsiro,29Vgx0Ht,rJ5YDcQg,0,1,,,,0
1639227600,Rayon Sport,Gorilla,bDYixleJ,rJ5YDcQg,1,1,,,,0
1639227600,Gicumbi,Marines,OnWab9yA,MmmRRgE1,0,1,,,,0
1639227600,Espoir,Mukura Victory Sports,8Y2rT0sN,zPEUrgl4,0,1,,,,0
1639305000,Kiyovu,Gasogi United,2cBw5mEH,6HIFuJk4,1,1,,,,0
