timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1569006900,Folgore,La Fiorita,0,0,,,,0
1569006900,Cailungo,Fiorentino,1,0,,,,0
1569070800,Tre Fiori,Faetano,3,2,,,,0
1569070800,Pennarossa,Juvenes/Dogana,3,2,,,,0
1569070800,Domagnano,Murata,1,2,,,,0
1569157200,Tre Penne,Virtus,1,0,,,,0
1569157200,Libertas,San Giovanni,2,0,,,,0
1569611700,Juvenes/Dogana,Faetano,0,2,,,,0
1569611700,Cosmos,Virtus,1,2,,,,0
1569675600,Murata,Folgore,0,3,Awrd,,,0
1569675600,La Fiorita,Pennarossa,2,0,,,,0
1569675600,Fiorentino,San Giovanni,0,1,,,,0
1569762000,Tre Penne,Libertas,1,0,,,,0
1569762000,Domagnano,Tre Fiori,0,4,,,,0
1570216500,San Giovanni,Tre Penne,2,7,,,,0
1570216500,Libertas,Cosmos,3,2,,,,0
1570280400,Virtus,Cailungo,0,1,,,,0
1570280400,Tre Fiori,La Fiorita,1,1,,,,0
1570280400,Folgore,Domagnano,2,2,,,,0
1570366800,Juvenes/Dogana,Murata,0,3,,,,0
1570366800,Faetano,Pennarossa,0,1,,,,0
1571490000,Virtus,Libertas,2,4,,,,0
1571490000,Tre Penne,Fiorentino,4,2,,,,0
1571490000,Cailungo,Cosmos,2,1,,,,0
1571576400,Tre Fiori,Folgore,1,0,,,,0
1571576400,Murata,Pennarossa,2,1,,,,0
1571576400,La Fiorita,Faetano,2,1,,,,0
1571576400,Domagnano,Juvenes/Dogana,2,1,,,,0
1572703200,Pennarossa,Tre Fiori,2,0,,,,0
1572703200,La Fiorita,Domagnano,1,0,,,,0
1572703200,Juvenes/Dogana,Folgore,1,5,,,,0
1572703200,Faetano,Murata,0,2,,,,0
1572789600,San Giovanni,Virtus,1,3,,,,0
1572789600,Libertas,Cailungo,3,1,,,,0
1572789600,Fiorentino,Cosmos,3,0,,,,0
1574517600,Murata,Tre Fiori,2,2,,,,0
1574517600,Juvenes/Dogana,La Fiorita,1,3,,,,0
1574517600,Folgore,Pennarossa,4,1,,,,0
1574517600,Domagnano,Faetano,2,0,,,,0
1574604000,San Giovanni,Cailungo,0,1,,,,0
1574604000,Fiorentino,Libertas,0,4,,,,0
1574604000,Cosmos,Tre Penne,0,4,,,,0
1575122400,Virtus,Fiorentino,3,3,,,,0
1575122400,Cosmos,San Giovanni,0,2,,,,0
1575122400,Cailungo,Tre Penne,1,3,,,,0
1575208800,Tre Fiori,Juvenes/Dogana,4,0,,,,0
1575208800,Pennarossa,Domagnano,3,1,,,,0
1575208800,Murata,La Fiorita,0,1,,,,0
1575208800,Faetano,Folgore,1,1,,,,0
1575727200,Virtus,Cailungo,1,3,,,,0
1575727200,Tre Fiori,Tre Penne,3,3,,,,0
1575727200,Murata,La Fiorita,1,2,,,,0
1575727200,Libertas,Folgore,1,1,,,,0
1575813600,San Giovanni,Domagnano,1,1,,,,0
1575813600,Juvenes/Dogana,Faetano,1,2,,,,0
1575813600,Fiorentino,Pennarossa,1,4,,,,0
1576332000,Pennarossa,Faetano,3,3,,,,0
1576332000,Domagnano,Juvenes/Dogana,2,1,,,,0
1576332000,Cosmos,San Giovanni,3,3,,,,0
1576418400,Tre Penne,Murata,2,1,,,,0
1576418400,Tre Fiori,Virtus,3,1,,,,0
1576418400,La Fiorita,Libertas,5,0,,,,0
1576418400,Folgore,Cailungo,3,0,,,,0
1579356000,Virtus,La Fiorita,0,0,,,,0
1579356000,Murata,Tre Fiori,1,2,,,,0
1579356000,Folgore,Tre Penne,0,0,,,,0
1579356000,Cailungo,Libertas,0,1,,,,0
1579442400,San Giovanni,Fiorentino,1,2,,,,0
1579442400,Juvenes/Dogana,Cosmos,0,3,,,,0
1579442400,Faetano,Domagnano,1,0,,,,0
1579960800,Tre Penne,Libertas,3,0,,,,0
1579960800,Tre Fiori,Folgore,1,1,,,,0
1580047200,San Giovanni,Juvenes/Dogana,0,0,,,,0
1580047200,Fiorentino,Cosmos,1,1,,,,0
1580047200,Domagnano,Pennarossa,4,0,,,,0
1580240700,Virtus,Murata,3,4,,,,0
1580240700,La Fiorita,Cailungo,2,1,,,,0
1580565600,Libertas,Virtus,2,3,,,,0
1580565600,La Fiorita,Tre Fiori,1,2,,,,0
1580565600,Folgore,Murata,5,0,,,,0
1580565600,Cailungo,Tre Penne,0,1,,,,0
1580652000,Pennarossa,Cosmos,5,1,,,,0
1580652000,Juvenes/Dogana,Fiorentino,1,1,,,,0
1580652000,Faetano,San Giovanni,1,0,,,,0
1581170400,Juvenes/Dogana,Pennarossa,0,0,,,,0
1581170400,Faetano,Fiorentino,4,0,,,,0
1581170400,Cosmos,Domagnano,1,0,,,,0
1581256800,Tre Penne,Virtus,3,1,,,,0
1581256800,Tre Fiori,Cailungo,6,3,,,,0
1581256800,Murata,Libertas,1,0,,,,0
1581256800,Folgore,La Fiorita,2,0,,,,0
1581775200,San Giovanni,Pennarossa,0,3,,,,0
1581775200,Fiorentino,Domagnano,1,3,,,,0
1581775200,Cosmos,Faetano,1,3,,,,0
1581861600,Virtus,Folgore,1,2,,,,0
1581861600,Tre Penne,La Fiorita,1,1,,,,0
1581861600,Libertas,Tre Fiori,1,4,,,,0
1581861600,Cailungo,Murata,1,1,,,,0
1582380000,Tre Penne,Tre Fiori,0,2,,,,0
1582380000,La Fiorita,Murata,2,1,,,,0
1582380000,Folgore,Libertas,0,0,,,,0
1582380000,Cailungo,Virtus,1,4,,,,0
1582466400,Pennarossa,Fiorentino,7,3,,,,0
1582466400,Faetano,Juvenes/Dogana,3,1,,,,0
1582466400,Domagnano,San Giovanni,2,1,,,,0
