timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1346518800,Tre Fiori,San Giovanni,3,2,,,,0
1346518800,Fiorentino,La Fiorita,0,3,,,,0
1346518800,Cailungo,Folgore,0,1,,,,0
1346605200,Virtus,Juvenes/Dogana,1,4,,,,0
1346605200,Faetano,Libertas,0,2,,,,0
1346605200,Domagnano,Pennarossa,3,0,,,,0
1346864400,Virtus,Tre Penne,0,3,,,,0
1346864400,Tre Fiori,Cailungo,1,1,,,,0
1346864400,San Giovanni,Cosmos,3,1,,,,0
1346864400,Pennarossa,Faetano,2,1,,,,0
1346864400,Juvenes/Dogana,Fiorentino,2,2,,,,0
1346864400,Domagnano,Murata,0,0,,,,0
1353520800,San Giovanni,Folgore,1,1,,,,0
1353520800,Pennarossa,Murata,2,1,,,,0
1353520800,Libertas,Domagnano,0,0,,,,0
1353520800,La Fiorita,Virtus,3,0,,,,0
1353520800,Juvenes/Dogana,Tre Penne,0,1,,,,0
1353520800,Cosmos,Tre Fiori,1,1,,,,0
1354125600,Tre Penne,Fiorentino,1,2,,,,0
1354125600,Murata,Faetano,2,1,,,,0
1354125600,Libertas,Pennarossa,2,0,,,,0
1354125600,La Fiorita,Juvenes/Dogana,3,1,,,,0
1354125600,Folgore,Tre Fiori,1,0,,,,0
1354125600,Cosmos,Cailungo,5,0,,,,0
1354730400,Tre Penne,La Fiorita,4,1,,,,0
1354730400,Murata,Libertas,2,1,,,,0
1354730400,Folgore,Cosmos,0,1,,,,0
1354730400,Fiorentino,Virtus,2,1,,,,0
1354730400,Faetano,Domagnano,1,0,,,,0
1354730400,Cailungo,San Giovanni,1,2,,,,0
1358604000,Pennarossa,Domagnano,2,2,,,,0
1358604000,Libertas,Faetano,2,1,,,,0
1358604000,Juvenes/Dogana,Virtus,2,2,,,,0
1358690400,San Giovanni,Tre Fiori,1,0,,,,0
1358690400,La Fiorita,Fiorentino,1,0,,,,0
1358690400,Folgore,Cailungo,1,1,,,,0
1359208800,Fiorentino,Juvenes/Dogana,1,2,,,,0
1359208800,Faetano,Pennarossa,0,2,,,,0
1359208800,Cailungo,Tre Fiori,0,2,,,,0
1359295200,Tre Penne,Virtus,5,1,,,,0
1359295200,Murata,Domagnano,3,1,,,,0
1359295200,Cosmos,San Giovanni,1,2,,,,0
1361391300,Virtus,La Fiorita,1,4,,,,0
1361391300,Tre Penne,Juvenes/Dogana,0,1,,,,0
1361391300,Tre Fiori,Cosmos,3,2,,,,0
1361391300,Murata,Pennarossa,4,1,,,,0
1361391300,Folgore,San Giovanni,0,0,,,,0
1361391300,Domagnano,Libertas,0,0,,,,0
1364930100,Tre Fiori,Folgore,1,0,,,,0
1364930100,Pennarossa,Libertas,3,1,,,,0
1364930100,Fiorentino,Tre Penne,2,3,,,,0
1364930100,Faetano,Murata,2,4,,,,0
1364930100,Cailungo,Cosmos,1,2,,,,0
1365016500,Juvenes/Dogana,La Fiorita,1,5,,,,0
1365621300,Virtus,Fiorentino,1,2,,,,0
1365621300,San Giovanni,Cailungo,1,0,,,,0
1365621300,Libertas,Murata,0,1,,,,0
1365621300,La Fiorita,Tre Penne,0,2,,,,0
1365621300,Domagnano,Faetano,1,2,,,,0
1365621300,Cosmos,Folgore,4,1,,,,0
1366473600,Tre Penne,Libertas,0,1,,,,0
1366473600,San Giovanni,Pennarossa,1,0,,,,0
1366473600,Murata,Cosmos,2,3,,,,0
1366473600,La Fiorita,Tre Fiori,2,1,,,,0
1366917300,Libertas,La Fiorita,1,1,Pen,1,2,0
1366917300,Cosmos,San Giovanni,0,4,,,,0
1367262900,San Giovanni,La Fiorita,0,1,,,,0
