timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1671539400,Damac,Al Wehda,29Hb7UEa,h0wZ9zwk,0,1,,,,0
1671548400,Al Fayha,Al Khaleej,z58zJYcl,W6U2Bfuk,3,1,,,,0
1671625800,Abha,Al Taawon,E9j3kB6r,zwr48VYG,2,2,AET,4,3,0
1671634800,Al Hilal,Al Ettifaq,joUWHZ1t,ve6EavVg,4,0,,,,0
1671645600,Al Nassr,Al Adalah,dr3R7wGl,CATmi5yJ,2,0,,,,0
1671712200,Al Batin,Al Raed,pSPK8Cih,8WX8K8kE,1,0,,,,0
1671721200,Al Fateh,Al Taee,ll4pyUYI,GQAvU1Ht,1,1,Pen,3,2,0
1671732000,Al Ittihad,Al Shabab,jeFu6Qy4,S4ItXNi7,1,1,Pen,2,1,0
1678717800,Al Fayha,Al Ittihad,z58zJYcl,jeFu6Qy4,1,1,Pen,1,2,0
1678799700,Al Wehda,Al Batin,h0wZ9zwk,pSPK8Cih,2,1,,,,0
1678804200,Al Nassr,Abha,dr3R7wGl,E9j3kB6r,3,1,,,,0
1678816800,Al Hilal,Al Fateh,joUWHZ1t,ll4pyUYI,3,1,,,,0
1682272800,Al Ittihad,Al Hilal,jeFu6Qy4,joUWHZ1t,0,0,AET,0,1,0
1682359200,Al Nassr,Al Wehda,dr3R7wGl,h0wZ9zwk,0,1,,,,0
1683914400,Al Hilal,Al Wehda,joUWHZ1t,h0wZ9zwk,1,1,Pen,2,1,1
