timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1221333300,Al Shabab,Najran,2,1,,,,0
1221333300,Al Ittihad,Al Raed,5,1,,,,0
1221333300,Al Ettifaq,Al Watani,3,0,,,,0
1221419700,Al Wehda,Al Hazem,2,1,,,,0
1221419700,Al Nassr,Al Ahli SC,2,1,,,,0
1221419700,Abha,Al Hilal,0,3,,,,0
1221765300,Najran,Abha,1,1,,,,0
1221765300,Al Wehda,Al Nassr,1,2,,,,0
1221765300,Al Watani,Al Ittihad,1,2,,,,0
1221765300,Al Hilal,Al Raed,2,0,,,,0
1221765300,Al Hazem,Al Ettifaq,1,1,,,,0
1221765300,Al Ahli SC,Al Shabab,2,1,,,,0
1223139600,Najran,Al Hilal,2,1,,,,0
1223139600,Al Shabab,Al Wehda,4,2,,,,0
1223139600,Al Raed,Al Watani,3,2,,,,0
1223139600,Al Ittihad,Al Hazem,3,0,,,,0
1223139600,Al Ettifaq,Al Nassr,1,1,,,,0
1223139600,Abha,Al Ahli SC,0,0,,,,0
1223485200,Al Watani,Al Hilal,1,3,,,,0
1223485200,Al Shabab,Al Ettifaq,1,0,,,,0
1223485200,Al Nassr,Al Ittihad,2,2,,,,0
1223485200,Al Hazem,Al Raed,1,0,,,,0
1223485200,Al Ahli SC,Najran,2,0,,,,0
1223485200,Abha,Al Wehda,2,2,,,,0
1223830500,Al Wehda,Najran,2,1,,,,0
1223830500,Al Watani,Al Hazem,3,3,,,,0
1223830500,Al Raed,Al Nassr,0,1,,,,0
1223830500,Al Ittihad,Al Shabab,2,1,,,,0
1223830500,Al Hilal,Al Ahli SC,0,0,,,,0
1224003300,Al Ettifaq,Abha,3,1,,,,0
1224262200,Najran,Al Hazem,2,1,,,,0
1224262200,Al Wehda,Al Raed,3,1,,,,0
1224262200,Al Ahli SC,Al Ittihad,1,2,,,,0
1224348900,Al Hilal,Al Nassr,2,1,,,,0
1224693900,Najran,Al Ettifaq,0,2,,,,0
1224693900,Al Shabab,Al Raed,1,4,,,,0
1224693900,Al Nassr,Al Watani,1,0,,,,0
1224693900,Al Hazem,Al Hilal,1,2,,,,0
1224693900,Al Ahli SC,Al Wehda,0,0,,,,0
1224693900,Abha,Al Ittihad,1,2,,,,0
