timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1281811500,Al Fateh,Al Qadisiya,ll4pyUYI,OvCAgTwF,1,3,,,,0
1281812400,Najran,Al Nassr,xScZ0U2I,dr3R7wGl,0,1,,,,0
1281812400,Al Shabab,Al Raed,S4ItXNi7,8WX8K8kE,0,2,,,,0
1281813300,Al Ittihad,Al Ettifaq,jeFu6Qy4,ve6EavVg,2,1,,,,0
1281898800,Al Hilal,Al Taawon,joUWHZ1t,zwr48VYG,1,0,,,,0
1281899700,Al Wehda,Al-Faisaly,h0wZ9zwk,t0G26lU5,3,3,,,,0
1281899700,Al Ahli SC,Al Hazem,S6sY6w76,I5wzarII,1,0,,,,0
1282243500,Al Ettifaq,Al Ahli SC,ve6EavVg,S6sY6w76,4,3,,,,0
1282244400,Al Nassr,Al Fateh,dr3R7wGl,ll4pyUYI,4,2,,,,0
1282245300,Al Taawon,Al Shabab,zwr48VYG,S4ItXNi7,4,1,,,,0
1282329900,Al Qadisiya,Al Wehda,OvCAgTwF,h0wZ9zwk,1,1,,,,0
1282330800,Al-Faisaly,Al Ittihad,t0G26lU5,jeFu6Qy4,0,2,,,,0
1282331700,Al Raed,Najran,8WX8K8kE,xScZ0U2I,3,2,,,,0
1282331700,Al Hazem,Al Hilal,I5wzarII,joUWHZ1t,0,2,,,,0
1282676400,Al Shabab,Al Ettifaq,S4ItXNi7,ve6EavVg,2,1,,,,0
1282677300,Al Taawon,Al Nassr,zwr48VYG,dr3R7wGl,2,2,,,,0
1282677300,Al Hazem,Al Qadisiya,I5wzarII,OvCAgTwF,2,2,,,,0
1282677300,Al Ahli SC,Al Fateh,S6sY6w76,ll4pyUYI,1,2,,,,0
1282762800,Al Hilal,Al-Faisaly,joUWHZ1t,t0G26lU5,5,1,,,,0
1282763700,Al Raed,Al Wehda,8WX8K8kE,h0wZ9zwk,3,2,,,,0
1282763700,Al Ittihad,Najran,jeFu6Qy4,xScZ0U2I,2,0,,,,0
1283021100,Al Qadisiya,Al Taawon,OvCAgTwF,zwr48VYG,4,1,,,,0
1283022000,Al Nassr,Al Shabab,dr3R7wGl,S4ItXNi7,0,0,,,,0
1283107500,Al Fateh,Al Raed,ll4pyUYI,8WX8K8kE,1,1,,,,0
1283107500,Al Ettifaq,Al-Faisaly,ve6EavVg,t0G26lU5,1,0,,,,0
1283108400,Najran,Al Ahli SC,xScZ0U2I,S6sY6w76,2,1,,,,0
1283109300,Al Wehda,Al Hilal,h0wZ9zwk,joUWHZ1t,1,3,,,,0
1283109300,Al Ittihad,Al Hazem,jeFu6Qy4,I5wzarII,4,0,,,,0
1284658200,Al-Faisaly,Al Nassr,t0G26lU5,dr3R7wGl,1,1,,,,0
1284658200,Al Hazem,Al Wehda,I5wzarII,h0wZ9zwk,1,1,,,,0
1284658200,Al Ahli SC,Al Ittihad,S6sY6w76,jeFu6Qy4,1,3,,,,0
1284744000,Al Taawon,Al Raed,zwr48VYG,8WX8K8kE,1,0,,,,0
1284744000,Al Ettifaq,Najran,ve6EavVg,xScZ0U2I,1,0,,,,0
1285175700,Al-Faisaly,Al Hazem,t0G26lU5,I5wzarII,3,1,,,,0
1285175700,Al Wehda,Al Ettifaq,h0wZ9zwk,ve6EavVg,0,1,,,,0
