timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1627734600,Rangers,Livingston,3,0,,,,0
1627740000,Ross County,St Johnstone,0,0,,,,0
1627740000,Dundee FC,St. Mirren,2,2,,,,0
1627758000,Hearts,Celtic,2,1,,,,0
1627826400,Aberdeen,Dundee Utd,2,0,,,,0
1627831800,Motherwell,Hibernian,2,3,,,,0
1628335800,Dundee Utd,Rangers,1,0,,,,0
1628344800,St. Mirren,Hearts,1,2,,,,0
1628431200,St Johnstone,Motherwell,1,1,,,,0
1628431200,Livingston,Aberdeen,1,2,,,,0
1628431200,Hibernian,Ross County,3,0,,,,0
1628431200,Celtic,Dundee FC,6,0,,,,0
1629554400,Livingston,Motherwell,1,2,,,,0
1629554400,Celtic,St. Mirren,6,0,,,,0
1629630000,Dundee FC,Hibernian,2,2,,,,0
1629640800,St Johnstone,Dundee Utd,0,1,,,,0
1629640800,Ross County,Rangers,2,4,,,,0
1629640800,Hearts,Aberdeen,1,1,,,,0
1630159200,Motherwell,Dundee FC,1,0,,,,0
1630159200,Hibernian,Livingston,2,0,,,,0
1630159200,Dundee Utd,Hearts,0,2,,,,0
1630234800,Rangers,Celtic,1,0,,,,0
1630245600,St. Mirren,St Johnstone,0,0,,,,0
1630245600,Aberdeen,Ross County,1,1,,,,0
1631359800,St Johnstone,Rangers,1,2,,,,0
1631368800,St. Mirren,Dundee Utd,0,0,,,,0
1631368800,Motherwell,Aberdeen,2,0,,,,0
1631368800,Dundee FC,Livingston,0,0,,,,0
1631368800,Celtic,Ross County,3,0,,,,0
1631444400,Hearts,Hibernian,0,0,,,,0
1631973600,Ross County,Hearts,2,2,,,,0
1631973600,Hibernian,St. Mirren,2,2,,,,0
1631973600,Aberdeen,St Johnstone,0,1,,,,0
1632049200,Dundee Utd,Dundee FC,1,0,,,,0
1632060000,Rangers,Motherwell,1,1,,,,0
1632060000,Livingston,Celtic,1,0,,,,0
1632578400,Motherwell,Ross County,2,1,,,,0
1632578400,Hearts,Livingston,3,0,,,,0
1632578400,Dundee FC,Rangers,0,1,,,,0
1632654000,St. Mirren,Aberdeen,3,2,,,,0
1632664800,Hibernian,St Johnstone,1,0,,,,0
1632664800,Celtic,Dundee Utd,1,1,,,,0
1633183200,St Johnstone,Dundee FC,3,1,,,,0
1633183200,Livingston,St. Mirren,0,1,,,,0
1633183200,Hearts,Motherwell,2,0,,,,0
1633183200,Dundee Utd,Ross County,1,0,,,,0
1633258800,Aberdeen,Celtic,1,2,,,,0
1633269600,Rangers,Hibernian,2,1,,,,0
1634392800,St Johnstone,Livingston,0,3,,,,0
1634392800,Ross County,St. Mirren,2,3,,,,0
1634392800,Rangers,Hearts,1,1,,,,0
1634392800,Motherwell,Celtic,0,2,,,,0
1634392800,Hibernian,Dundee Utd,0,3,,,,0
1634403600,Dundee FC,Aberdeen,2,1,,,,0
1634997600,Ross County,Livingston,2,3,,,,0
1634997600,Hearts,Dundee FC,1,1,,,,0
1634997600,Dundee Utd,Motherwell,2,1,,,,0
1634997600,Celtic,St Johnstone,2,0,,,,0
1634997600,Aberdeen,Hibernian,1,0,,,,0
1635073200,St. Mirren,Rangers,1,2,,,,0
1635360300,St Johnstone,Hearts,1,1,,,,0
1635360300,Rangers,Aberdeen,2,2,,,,0
1635360300,Motherwell,St. Mirren,2,2,,,,0
1635360300,Livingston,Dundee Utd,1,1,,,,0
1635360300,Hibernian,Celtic,1,3,,,,0
1635360300,Dundee FC,Ross County,0,5,,,,0
1635602400,St. Mirren,Dundee FC,0,1,,,,0
1635602400,Dundee Utd,St Johnstone,0,1,,,,0
1635602400,Celtic,Livingston,0,0,,,,0
1635602400,Aberdeen,Hearts,2,1,,,,0
1635681600,Motherwell,Rangers,1,6,,,,0
1636210800,St Johnstone,St. Mirren,0,0,,,,0
1636210800,Hearts,Dundee Utd,5,2,,,,0
1636210800,Aberdeen,Motherwell,0,2,,,,0
1636286400,Dundee FC,Celtic,2,4,,,,0
1636297200,Rangers,Ross County,4,2,,,,0
1637420400,St. Mirren,Livingston,1,1,,,,0
1637420400,Motherwell,Hearts,2,0,,,,0
1637420400,Dundee Utd,Aberdeen,1,0,,,,0
