timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1506105900,Spartans,Vale Of Leithen,3,0,,,,0
1506175200,Wick Academy,Stirling University,2,2,,,,0
1506175200,Selkirk,Gretna 2008,4,0,,,,0
1506175200,Nairn County,Whitehill Welfare,1,0,,,,0
1506175200,Hutchison Vale,Inverurie,3,2,,,,0
1506175200,Glenafton,Threave Rovers,4,0,,,,0
1506175200,Gala Fairydean,Keith,0,2,,,,0
1506175200,Fraserburgh,Forres Mechanics,2,1,,,,0
1506175200,Formartine Utd,Turriff Utd,2,1,,,,0
1506175200,Edinburgh University,Lossiemouth,2,1,,,,0
1506175200,Deveronvale,Hawick Royal Albert,3,1,,,,0
1506175200,Colville Park,Cumbernauld Colts,2,1,,,,0
1506175200,Clachnacuddin,Fort William,8,0,,,,0
1506175200,Civil Service Strollers,Strathspey Thistle,2,1,,,,0
1506175200,Caledonian Braves,Rothes,1,1,,,,0
1506175200,Brora Rangers,Girvan,5,0,,,,0
1506175200,Banks O' Dee,Huntly,4,0,,,,0
1506258000,Broomhill,Dalbeattie Star,1,0,,,,0
1506780000,Stirling University,Wick Academy,1,0,,,,0
1506780000,Rothes,Caledonian Braves,1,3,,,,0
1507920300,Edinburgh City,Stenhousemuir,0,1,,,,0
1507989600,Stirling,Hutchison Vale,3,5,,,,0
1507989600,Spartans,Clachnacuddin,5,0,,,,0
1507989600,Peterhead,Colville Park,9,0,,,,0
1507989600,Nairn County,Cove Rangers,1,2,,,,0
1507989600,Montrose,Stirling University,4,1,,,,0
1507989600,Keith,Clyde,0,3,,,,0
1507989600,Formartine Utd,East Stirlingshire,4,0,,,,0
1507989600,Elgin City,Caledonian Braves,3,1,,,,0
1507989600,Edinburgh University,Fraserburgh,0,2,,,,0
1507989600,Deveronvale,Glenafton,0,2,,,,0
1507989600,Cowdenbeath,East Kilbride,0,1,,,,0
1507989600,Civil Service Strollers,Brora Rangers,0,5,,,,0
1507989600,Buckie Thistle,Broomhill,6,2,,,,0
1507989600,Berwick,Annan,1,0,,,,0
1507989600,Banks O' Dee,Selkirk,2,0,,,,0
1511010000,Hutchison Vale,St. Mirren,1,7,,,,0
1511017200,Stranraer,Brora Rangers,0,1,,,,0
1511017200,Stenhousemuir,Alloa,1,2,,,,0
1511017200,Spartans,Fraserburgh,1,2,,,,0
1511017200,Queen's Park,Dunfermline,1,4,,,,0
1511017200,Peterhead,Raith,3,0,,,,0
1511017200,Montrose,Queen of South,0,0,,,,0
1511017200,Livingston,Glenafton,2,0,,,,0
1511017200,Formartine Utd,Forfar Athletic,1,0,,,,0
1511017200,East Kilbride,Albion Rovers,3,4,,,,0
1511017200,Dumbarton,Elgin City,1,0,,,,0
1511017200,Clyde,East Fife,0,2,,,,0
1511017200,Buckie Thistle,Brechin,2,3,,,,0
1511017200,Banks O' Dee,Ayr,2,6,,,,0
1511017200,Arbroath,Berwick,3,0,,,,0
1511017200,Airdrieonians,Cove Rangers,2,3,,,,0
1511293500,Queen of South,Montrose,2,1,,,,0
1516450500,Aberdeen,St. Mirren,4,1,,,,0
1516460400,Queen of South,Partick Thistle,1,2,,,,0
1516460400,Motherwell,Hamilton,2,0,,,,0
1516460400,Kilmarnock,Ross County,1,0,,,,0
1516460400,East Fife,Brora Rangers,0,1,,,,0
1516460400,Dunfermline,Morton,1,2,,,,0
1516460400,Dundee FC,Inverness,2,2,,,,0
1516460400,Celtic,Brechin,5,0,,,,0
1516460400,Ayr,Arbroath,4,1,,,,0
1516460400,Alloa,Dundee Utd,0,2,,,,0
1516543500,Hearts,Hibernian,1,0,,,,0
1516736700,Peterhead,Dumbarton,2,3,,,,0
1516736700,Livingston,Falkirk,0,1,,,,0
1517255100,Albion Rovers,St Johnstone,0,4,,,,0
1517341500,Inverness,Dundee FC,0,1,,,,0
1517342400,Formartine Utd,Cove Rangers,0,2,,,,0
1517427000,Fraserburgh,Rangers,0,3,,,,0
1518264900,Celtic,Partick Thistle,3,2,,,,0
1518274800,Morton,Dumbarton,3,0,,,,0
1518274800,Kilmarnock,Brora Rangers,4,0,,,,0
1518274800,Hearts,St Johnstone,3,0,,,,0
1518274800,Dundee FC,Motherwell,0,2,,,,0
1518274800,Cove Rangers,Falkirk,1,3,,,,0
1518359400,Ayr,Rangers,1,6,,,,0
1518366600,Aberdeen,Dundee Utd,4,2,,,,0
1520080200,Celtic,Morton,3,0,,,,0
1520089200,Aberdeen,Kilmarnock,1,1,,,,0
1520172900,Motherwell,Hearts,2,1,,,,0
1520180100,Rangers,Falkirk,4,1,,,,0
1520970300,Kilmarnock,Aberdeen,0,0,Pen,1,2,0
1523704500,Motherwell,Aberdeen,3,0,,,,1
1523799000,Celtic,Rangers,4,0,,,,1
1526738400,Celtic,Motherwell,2,0,,,,0
