timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1698510600,Teungueth,Jamono Fatick,vgo8E1Ql,KYuVNs17,2,1,,,,0
1698510600,Jaraaf,Guediawaye,OCwKo6gJ,rkQQDSQE,1,1,,,,0
1698597000,US Goree,Diambars,z75zpBGE,4YNbDfiI,1,1,,,,0
1698597000,Pikine,Ouakam,pMvGnnvD,0GwLABHS,1,0,,,,0
1698597000,Mbour,Generation F.,lQPuHXzh,4WMEBvyO,0,0,,,,0
1698597000,Casa,Linguere,xWywdZMO,OCwKo6gJ,2,2,,,,0
1698683400,Sonacos,Dakar SC,8EtEeCE8,jeHNsoSp,0,2,,,,0
1699115400,Guediawaye,Casa,rkQQDSQE,xWywdZMO,1,0,,,,0
1699115400,Dakar SC,Jaraaf,jeHNsoSp,OCwKo6gJ,1,1,,,,0
1699201800,Linguere,Pikine,OCwKo6gJ,pMvGnnvD,1,0,,,,0
1699201800,Jamono Fatick,Mbour,KYuVNs17,lQPuHXzh,2,1,,,,0
1699374600,Ouakam,Teungueth,0GwLABHS,vgo8E1Ql,0,0,,,,0
1699720200,Pikine,Guediawaye,pMvGnnvD,rkQQDSQE,1,1,,,,0
1699720200,Jaraaf,Diambars,OCwKo6gJ,4YNbDfiI,1,1,,,,0
1699804800,Casa,Dakar SC,xWywdZMO,jeHNsoSp,0,1,,,,0
1699806600,Teungueth,Linguere,vgo8E1Ql,OCwKo6gJ,1,0,,,,0
1699806600,Sonacos,US Goree,8EtEeCE8,z75zpBGE,1,1,,,,0
1699806600,Mbour,Ouakam,lQPuHXzh,0GwLABHS,0,0,,,,0
1699893000,Generation F.,Jamono Fatick,4WMEBvyO,KYuVNs17,0,3,,,,0
1700324100,Sonacos,Generation F.,8EtEeCE8,4WMEBvyO,1,2,,,,0
1700324100,Ouakam,Jamono Fatick,0GwLABHS,KYuVNs17,3,1,,,,0
1700324100,Guediawaye,Teungueth,rkQQDSQE,vgo8E1Ql,1,1,,,,0
1700411400,US Goree,Jaraaf,z75zpBGE,OCwKo6gJ,0,1,,,,0
1700411400,Linguere,Mbour,OCwKo6gJ,lQPuHXzh,0,0,,,,0
1700411400,Diambars,Casa,4YNbDfiI,xWywdZMO,3,0,,,,0
1700497800,Dakar SC,Pikine,jeHNsoSp,pMvGnnvD,2,0,,,,0
1700929800,Teungueth,Dakar SC,vgo8E1Ql,jeHNsoSp,0,0,,,,0
1701016200,Pikine,Diambars,pMvGnnvD,4YNbDfiI,1,0,,,,0
1701016200,Mbour,Guediawaye,lQPuHXzh,rkQQDSQE,1,1,,,,0
1701016200,Jaraaf,Sonacos,OCwKo6gJ,8EtEeCE8,1,1,,,,0
1701016200,Jamono Fatick,Linguere,KYuVNs17,OCwKo6gJ,0,0,,,,0
1701016200,Generation F.,Ouakam,4WMEBvyO,0GwLABHS,1,0,,,,0
1701016200,Casa,US Goree,xWywdZMO,z75zpBGE,0,0,,,,0
1701534600,Jaraaf,Generation F.,OCwKo6gJ,4WMEBvyO,3,0,,,,0
1701534600,Diambars,Teungueth,4YNbDfiI,vgo8E1Ql,0,2,,,,0
