timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1250350200,Sp. Subotica,OFK Beograd,0xuBz0P9,nguvrH2r,0,1,,,,0
1250350200,Napredak,Metalac,8nlTy2Ch,2ajBCmYJ,2,0,,,,0
1250350200,Jagodina,Crvena zvezda,Mot7ytA3,4OAEfiPE,0,3,,,,0
1250350200,Cukaricki,Javor,IgHOZc1o,CCS7YFlf,0,1,,,,0
1250350200,BSK Borca,Mladi Radnik,0xuBz0P9,l6HzCrRi,2,3,,,,0
1250359200,Partizan,Borac 1926,prjDOVbf,fq0v5IU4,5,0,,,,0
1250436600,Rad Beograd,Smederevo,0xuBz0P9,CA38h4lE,3,2,,,,0
1250436600,Hajduk Kula,Vojvodina,vTwFZJvG,W6nj7k39,0,3,,,,0
1250955000,Vojvodina,Metalac,W6nj7k39,2ajBCmYJ,1,0,,,,0
1250955000,Smederevo,Napredak,CA38h4lE,8nlTy2Ch,1,0,,,,0
1250955000,OFK Beograd,Jagodina,nguvrH2r,Mot7ytA3,1,0,,,,0
1250955000,Mladi Radnik,Sp. Subotica,l6HzCrRi,0xuBz0P9,1,1,,,,0
1250955000,Borac 1926,BSK Borca,fq0v5IU4,0xuBz0P9,2,0,,,,0
1251041400,Javor,Partizan,CCS7YFlf,prjDOVbf,1,1,,,,0
1251041400,Hajduk Kula,Cukaricki,vTwFZJvG,IgHOZc1o,2,1,,,,0
1251050400,Crvena zvezda,Rad Beograd,4OAEfiPE,0xuBz0P9,1,0,,,,0
1251558000,Sp. Subotica,Borac 1926,0xuBz0P9,fq0v5IU4,1,0,,,,0
1251558000,Metalac,Smederevo,2ajBCmYJ,CA38h4lE,0,2,,,,0
1251558000,Jagodina,Mladi Radnik,Mot7ytA3,l6HzCrRi,2,0,,,,0
1251558000,Cukaricki,Vojvodina,IgHOZc1o,W6nj7k39,1,3,,,,0
1251558000,BSK Borca,Javor,0xuBz0P9,CCS7YFlf,1,0,,,,0
1251644400,Rad Beograd,OFK Beograd,0xuBz0P9,nguvrH2r,0,2,,,,0
1251653400,Partizan,Hajduk Kula,prjDOVbf,vTwFZJvG,1,0,,,,0
1251655200,Napredak,Crvena zvezda,8nlTy2Ch,4OAEfiPE,1,1,,,,0
1252765800,OFK Beograd,Napredak,nguvrH2r,8nlTy2Ch,1,1,,,,0
1252765800,Mladi Radnik,Rad Beograd,l6HzCrRi,0xuBz0P9,0,0,,,,0
1252765800,Javor,Sp. Subotica,CCS7YFlf,0xuBz0P9,1,0,,,,0
1252765800,Borac 1926,Jagodina,fq0v5IU4,Mot7ytA3,2,1,,,,0
1252774800,Crvena zvezda,Metalac,4OAEfiPE,2ajBCmYJ,3,0,,,,0
