timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1606397400,Northern Dynamo,St John Bosco,0,0,,,,0
1606483800,St Michel United,Red Star DF,1,0,,,,0
1606564800,Real Maldives,Foresters FC,0,3,,,,0
1606570200,Revengers,Lightstars,1,3,,,,0
1606570200,Anse Reunion,Cote d'Or,2,1,,,,0
1607002200,Saint Louis,Red Star DF,2,2,,,,0
1607088600,St John Bosco,Real Maldives,1,0,,,,0
1607166000,La Passe,Anse Reunion,2,0,,,,0
1607169600,Foresters FC,St Michel United,2,1,,,,0
1607169600,Cote d'Or,Revengers,1,0,,,,0
1607607000,Red Star DF,Foresters FC,1,1,,,,0
1607693400,St Michel United,St John Bosco,1,3,,,,0
1607770800,Lightstars,La Passe,1,5,,,,0
1607770800,Anse Reunion,Revengers,3,0,,,,0
1607774400,Saint Louis,Northern Dynamo,1,1,,,,0
1608211800,Real Maldives,Northern Dynamo,2,0,,,,0
1608292800,Cote d'Or,Lightstars,3,1,,,,0
1608298200,Foresters FC,Saint Louis,1,0,,,,0
1608375600,Revengers,La Passe,1,3,,,,0
1608379200,St John Bosco,Red Star DF,2,3,,,,0
