timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1582882200,Albirex Niigata,Geylang,4,0,,,,0
1583055000,Young Lions,Hougang,1,4,,,,0
1583055000,Tampines,Balestier Khalsa,1,0,,,,0
1583495100,Tanjong Pagar,Lion City,1,1,,,,0
1583496900,DPMM,Tampines,2,0,,,,0
1583573400,Balestier Khalsa,Albirex Niigata,2,2,,,,0
1583927100,Geylang,Young Lions,3,0,,,,0
1584178200,Young Lions,Balestier Khalsa,0,2,,,,0
1584178200,Tampines,Tanjong Pagar,2,0,,,,0
1584264600,Hougang,Geylang,1,2,,,,0
1584531900,Tampines,Lion City,4,0,,,,0
1584531900,Balestier Khalsa,Hougang,2,2,,,,0
1584704700,Tanjong Pagar,Albirex Niigata,2,2,,,,0
1602927000,Tanjong Pagar,Balestier Khalsa,0,1,,,,0
1602927000,Tampines,Hougang,1,2,,,,0
1603013400,Young Lions,Albirex Niigata,0,4,,,,0
1603013400,Lion City,Geylang,4,0,,,,0
1603531800,Geylang,Balestier Khalsa,2,3,,,,0
1603531800,Albirex Niigata,Lion City,3,2,,,,0
1603618200,Young Lions,Tanjong Pagar,2,1,,,,0
1604136600,Tampines,Albirex Niigata,2,0,,,,0
1604223000,Tanjong Pagar,Hougang,0,0,,,,0
1604223000,Lion City,Young Lions,5,0,,,,0
1604490300,Tanjong Pagar,Geylang,0,3,Awrd,,,0
1604490300,Tampines,Young Lions,1,0,,,,0
1604490300,Lion City,Hougang,1,1,,,,0
1604741400,Geylang,Tampines,1,1,,,,0
1604741400,Balestier Khalsa,Lion City,1,7,,,,0
1604827800,Albirex Niigata,Hougang,4,0,,,,0
1605181500,Hougang,Young Lions,4,1,,,,0
1605181500,Balestier Khalsa,Tampines,2,2,,,,0
1605267900,Lion City,Tanjong Pagar,6,1,,,,0
1605267900,Geylang,Albirex Niigata,0,1,,,,0
1605613500,Young Lions,Tampines,1,3,,,,0
1605613500,Hougang,Lion City,1,3,,,,0
1605613500,Geylang,Tanjong Pagar,2,1,,,,0
1605613500,Albirex Niigata,Balestier Khalsa,2,0,,,,0
1605951000,Geylang,Hougang,2,0,,,,0
1605951000,Balestier Khalsa,Young Lions,1,2,,,,0
1606039500,Lion City,Albirex Niigata,2,3,,,,0
1606044000,Tanjong Pagar,Tampines,2,2,,,,0
1606304700,Hougang,Tampines,0,2,,,,0
1606304700,Geylang,Lion City,0,3,,,,0
1606304700,Balestier Khalsa,Tanjong Pagar,2,2,,,,0
1606304700,Albirex Niigata,Young Lions,2,0,,,,0
1606555800,Hougang,Tanjong Pagar,3,2,,,,0
1606555800,Balestier Khalsa,Geylang,2,0,,,,0
1606642200,Young Lions,Lion City,0,4,,,,0
1606642200,Albirex Niigata,Tampines,1,4,,,,0
1606909500,Young Lions,Geylang,1,2,,,,0
1606909500,Lion City,Tampines,1,1,,,,0
1606909500,Hougang,Balestier Khalsa,1,2,,,,0
1606909500,Albirex Niigata,Tanjong Pagar,3,0,,,,0
1607160600,Tanjong Pagar,Young Lions,2,4,,,,0
1607160600,Tampines,Geylang,1,1,,,,0
1607160600,Lion City,Balestier Khalsa,5,2,,,,0
1607160600,Hougang,Albirex Niigata,0,1,,,,0
