timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
839084400,VSS Kosice,Trnava,AsRGXczr,M5OsNcYB,2,2,,,,0
839084400,Slovan Bratislava,Dun. Streda,pEAU6ugI,IoNBgY5L,1,2,,,,0
839084400,Rimavska Sobota,Dubnica,G6ERMxTE,rX83zKRm,2,1,,,,0
839084400,Presov,I. Bratislava,E3yWsMR6,MLIBKcrm,2,0,,,,0
839084400,Nitra,Banik Prievidza,G6ERMxTE,xCREkqC8,0,1,,,,0
839084400,Humenne,Petrzalka,G6ERMxTE,xGFNNID8,0,0,,,,0
839084400,Bardejov,Zilina,fgqxMRDg,xGFNNID8,1,0,,,,0
839084400,Banska Bystrica,Lok. Kosice,juego3yl,hGgFVrJ0,3,0,,,,0
839689200,Zilina,Slovan Bratislava,xGFNNID8,pEAU6ugI,0,2,,,,0
839689200,Petrzalka,Presov,xGFNNID8,E3yWsMR6,0,0,,,,0
839689200,Lok. Kosice,Trnava,hGgFVrJ0,M5OsNcYB,1,1,,,,0
839689200,I. Bratislava,Nitra,MLIBKcrm,G6ERMxTE,3,1,,,,0
839689200,Dun. Streda,Rimavska Sobota,IoNBgY5L,G6ERMxTE,2,1,,,,0
839689200,Dubnica,VSS Kosice,rX83zKRm,AsRGXczr,1,1,,,,0
839689200,Banska Bystrica,Humenne,juego3yl,G6ERMxTE,1,0,,,,0
839689200,Banik Prievidza,Bardejov,xCREkqC8,fgqxMRDg,1,0,,,,0
840294000,VSS Kosice,Dun. Streda,AsRGXczr,IoNBgY5L,1,0,,,,0
840294000,Trnava,Dubnica,M5OsNcYB,rX83zKRm,4,1,,,,0
840294000,Slovan Bratislava,Banik Prievidza,pEAU6ugI,xCREkqC8,2,0,,,,0
840294000,Rimavska Sobota,Zilina,G6ERMxTE,xGFNNID8,1,0,,,,0
840294000,Presov,Banska Bystrica,E3yWsMR6,juego3yl,2,0,,,,0
840294000,Nitra,Petrzalka,G6ERMxTE,xGFNNID8,0,1,,,,0
840294000,Humenne,Lok. Kosice,G6ERMxTE,hGgFVrJ0,1,0,,,,0
840294000,Bardejov,I. Bratislava,fgqxMRDg,MLIBKcrm,1,1,,,,0
841503600,Zilina,VSS Kosice,xGFNNID8,AsRGXczr,0,2,,,,0
