timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1095771600,Trebisov,Rimavska Sobota,1,2,,,,0
1095771600,Senec,Trnava,1,1,Pen,1,2,0
1095771600,Puchov,Podbrezova,0,0,Pen,1,0,0
1095771600,FK Lamac Bratislava,Banik Prievidza,1,4,,,,0
1095771600,Druzstevnik Bac,Nitra,1,1,Pen,1,2,0
1095778800,Presov,FC Licartovce,0,3,,,,0
1095782400,Trencin,Velky Lapas,3,1,,,,0
1095858000,Z. Moravce-Vrable,Dubnica,0,0,Pen,1,0,0
1095858000,Sala,Dun. Streda,1,1,Pen,2,1,0
1095858000,Nemsova,I. Bratislava,0,2,,,,0
1095858000,Michalovce,Banska Bystrica,0,1,,,,0
1095858000,FK Ruzinov,Slovan Bratislava,0,1,,,,0
1095858000,FK Cana,Kremnicka,2,3,,,,0
1096462800,Turcianske Teplice,Ruzomberok,1,2,,,,0
1097078400,Trencin,Slovan Bratislava,0,0,AET,3,5,0
1098187200,Rimavska Sobota,Puchov,1,1,AET,2,1,0
1098187200,FC Licartovce,Ruzomberok,2,1,,,,0
1098273600,Petrzalka,Nitra,2,0,,,,0
1098273600,Kremnicka,I. Bratislava,1,2,,,,0
1098280800,Trnava,Z. Moravce-Vrable,0,1,,,,0
1098286200,Zilina,Sala,3,0,,,,0
1098286200,Banska Bystrica,Banik Prievidza,4,1,,,,0
1099398600,I. Bratislava,Banska Bystrica,0,2,,,,0
1099485000,Rimavska Sobota,FC Licartovce,0,1,,,,0
1099494000,Slovan Bratislava,Petrzalka,0,0,,,,0
1099499400,Zilina,Z. Moravce-Vrable,3,1,,,,0
1100003400,Petrzalka,Slovan Bratislava,4,0,,,,0
1100003400,FC Licartovce,Rimavska Sobota,3,0,,,,0
1100017800,Banska Bystrica,I. Bratislava,0,1,,,,0
1100089800,Z. Moravce-Vrable,Zilina,0,2,,,,0
1112794200,Petrzalka,FC Licartovce,2,1,,,,0
1112801400,Zilina,Banska Bystrica,0,0,,,,0
1113924600,Banska Bystrica,Zilina,2,1,,,,0
1114005600,FC Licartovce,Petrzalka,1,2,,,,0
1115553600,Petrzalka,Banska Bystrica,1,2,,,,0
