timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1249398000,MFK Topolcany,Z. Moravce-Vrable,WM8exufq,G6ERMxTE,2,3,,,,0
1249398000,Lubovna,Lucenec,SWESPnrA,WOB6DvQk,0,3,,,,0
1249398000,FKM Nove Zamky,Banik Prievidza,G4HIn8MR,xCREkqC8,0,1,,,,0
1249423200,Poprad,Humenne,rekk9DXt,G6ERMxTE,0,3,Awrd,,,0
1249484400,Zvolen,Rakytovce,SjJKK6Ac,Kz1kxzzL,0,0,Pen,0,1,0
1249484400,Vrbove,Sala,KYqw56un,E9YhAqDo,2,0,,,,0
1249484400,Vranov,Moldava,6kAHAoI0,dAJb3Ws0,3,5,,,,0
1249484400,Trebisov,Podbrezova,fDJKZaZd,G6ERMxTE,0,2,,,,0
1249484400,Spisska Nova Ves,Michalovce,Sb5FILYk,feESJUJQ,1,1,Pen,2,1,0
1249484400,Snina,Lipany,jPWYk6IS,G6ERMxTE,4,2,,,,0
1249484400,Sered,Puchov,pl5bIxys,j7FwfQYj,1,1,Pen,2,1,0
1249484400,Nemsova,Moravany,2yjk7j71,bPrs4Qfh,0,0,Pen,0,1,0
1249484400,L. Mikulas,D. Kubin,WUfDDYk1,WUfDDYk1,1,0,,,,0
1249484400,FK Ruzinov,Raca,,UZNHUPL0,0,3,,,,0
1249484400,Dolna Zdana,Rimavska Sobota,Molg8Xnm,G6ERMxTE,2,2,Pen,2,3,0
1249484400,Blava Jaslovske Bohunice,Myjava,Us6XfDt9,dAJb3Ws0,0,0,Pen,0,1,0
1249484400,Bernolakovo,Trencin,x6QbzIrL,pj0lIqgn,1,3,,,,0
1249484400,AFC Nove Mesto,Vrable,Molg8Xnm,6Tf5T2Zl,1,1,Pen,2,1,0
1253626200,Vrbove,Slovan Bratislava,KYqw56un,pEAU6ugI,0,7,,,,0
1253626200,Spisska Nova Ves,Dubnica,Sb5FILYk,rX83zKRm,1,0,,,,0
1253626200,Rimavska Sobota,L. Mikulas,G6ERMxTE,WUfDDYk1,3,1,,,,0
1253626200,Nitra,Banik Prievidza,G6ERMxTE,xCREkqC8,5,0,,,,0
1253626200,Myjava,Senica,dAJb3Ws0,G6ERMxTE,0,0,Pen,1,0,0
1253626200,Humenne,Moldava,G6ERMxTE,dAJb3Ws0,1,2,,,,0
1253626200,AFC Nove Mesto,Petrzalka,Molg8Xnm,xGFNNID8,1,6,,,,0
1253633400,Trnava,Raca,M5OsNcYB,UZNHUPL0,5,0,,,,0
1253635200,SK Senec,Dun. Streda,Y7SXb0Br,IoNBgY5L,1,1,Pen,1,2,0
1253712600,Snina,VSS Kosice,jPWYk6IS,AsRGXczr,0,3,,,,0
1253712600,Sered,Z. Moravce-Vrable,pl5bIxys,G6ERMxTE,1,4,,,,0
1253712600,Rakytovce,Ruzomberok,Kz1kxzzL,xGFNNID8,1,3,,,,0
1253712600,Presov,Lucenec,E3yWsMR6,WOB6DvQk,5,0,,,,0
1253712600,Moravany,Trencin,bPrs4Qfh,pj0lIqgn,0,3,,,,0
1253712600,Cadca,Banska Bystrica,883U22rT,juego3yl,0,1,,,,0
1256041800,Petrzalka,Trencin,xGFNNID8,pj0lIqgn,4,0,,,,0
1256041800,Myjava,Ruzomberok,dAJb3Ws0,xGFNNID8,2,1,,,,0
1256049000,Banska Bystrica,Nitra,juego3yl,G6ERMxTE,1,0,,,,0
1256052600,Trnava,Z. Moravce-Vrable,M5OsNcYB,G6ERMxTE,5,0,,,,0
1256052600,Dun. Streda,Presov,IoNBgY5L,E3yWsMR6,1,0,,,,0
1256054400,Moldava,Spisska Nova Ves,dAJb3Ws0,Sb5FILYk,1,0,,,,0
1256139000,Zilina,VSS Kosice,xGFNNID8,AsRGXczr,1,2,,,,0
1256140800,Slovan Bratislava,Rimavska Sobota,pEAU6ugI,G6ERMxTE,2,1,,,,0
1257251400,Petrzalka,Trnava,xGFNNID8,M5OsNcYB,3,2,,,,0
1257267600,Dun. Streda,Moldava,IoNBgY5L,dAJb3Ws0,3,0,,,,0
1257337800,Myjava,Slovan Bratislava,dAJb3Ws0,pEAU6ugI,0,3,,,,0
1257348600,VSS Kosice,Banska Bystrica,AsRGXczr,juego3yl,0,2,,,,0
1259076600,Banska Bystrica,VSS Kosice,juego3yl,AsRGXczr,1,0,,,,0
1259078400,Moldava,Dun. Streda,dAJb3Ws0,IoNBgY5L,1,3,,,,0
1259163000,Trnava,Petrzalka,M5OsNcYB,xGFNNID8,3,0,,,,0
1259166600,Slovan Bratislava,Myjava,pEAU6ugI,dAJb3Ws0,0,0,,,,0
1270564200,Banska Bystrica,Slovan Bratislava,juego3yl,pEAU6ugI,0,1,,,,0
1270569600,Dun. Streda,Trnava,IoNBgY5L,M5OsNcYB,0,1,,,,0
1271775600,Trnava,Dun. Streda,M5OsNcYB,IoNBgY5L,2,0,,,,0
1271777400,Slovan Bratislava,Banska Bystrica,pEAU6ugI,juego3yl,1,0,,,,0
1273588200,Slovan Bratislava,Trnava,pEAU6ugI,M5OsNcYB,6,0,,,,0
