timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1058725800,Primorje,NK Smartno,ttIVL12M,Eua5PHRE,3,2,,,,0
1058725800,O. Ljubljana,Maribor,zc0A80Mi,88sMeCH2,6,1,,,,0
1058725800,Mura,Dravograd,UcUjoAI7,86fuGK70,3,1,,,,0
1058725800,Drava,Domzale,4YZxDhVh,8GL0cHSF,0,2,,,,0
1058725800,Celje,ND Gorica,juuH5vx4,CltD6KMc,2,1,,,,0
1058824800,Koper,FC Ljubljana,Ukh5nnRo,WMQBZdUu,1,0,,,,0
1059242400,ND Gorica,NK Smartno,CltD6KMc,Eua5PHRE,3,1,,,,0
1059242400,Maribor,Drava,88sMeCH2,4YZxDhVh,4,1,,,,0
1059256800,FC Ljubljana,Primorje,WMQBZdUu,ttIVL12M,0,4,,,,0
1059256800,Dravograd,O. Ljubljana,86fuGK70,zc0A80Mi,1,0,,,,0
1059256800,Celje,Mura,juuH5vx4,UcUjoAI7,3,2,,,,0
1059849000,O. Ljubljana,Celje,zc0A80Mi,juuH5vx4,2,2,,,,0
1059849000,Koper,Maribor,Ukh5nnRo,88sMeCH2,0,1,,,,0
1059861600,Primorje,Domzale,ttIVL12M,8GL0cHSF,6,0,,,,0
1059861600,NK Smartno,FC Ljubljana,Eua5PHRE,WMQBZdUu,3,1,,,,0
1059861600,Mura,ND Gorica,UcUjoAI7,CltD6KMc,2,2,,,,0
1059861600,Drava,Dravograd,4YZxDhVh,86fuGK70,3,1,,,,0
1060365600,ND Gorica,FC Ljubljana,CltD6KMc,WMQBZdUu,5,0,,,,0
1060380000,Mura,O. Ljubljana,UcUjoAI7,zc0A80Mi,0,4,,,,0
1060380000,Domzale,NK Smartno,8GL0cHSF,Eua5PHRE,2,1,,,,0
1060466400,Maribor,Primorje,88sMeCH2,ttIVL12M,2,1,,,,0
1060466400,Dravograd,Koper,86fuGK70,Ukh5nnRo,0,1,,,,0
1060466400,Celje,Drava,juuH5vx4,4YZxDhVh,3,1,,,,0
1060725600,Domzale,Koper,8GL0cHSF,Ukh5nnRo,0,3,,,,0
1061143200,Primorje,Dravograd,ttIVL12M,86fuGK70,2,2,,,,0
1061143200,O. Ljubljana,ND Gorica,zc0A80Mi,CltD6KMc,0,3,Awrd,,,0
1061143200,NK Smartno,Maribor,Eua5PHRE,88sMeCH2,0,0,,,,0
1061143200,Koper,Celje,Ukh5nnRo,juuH5vx4,0,0,,,,0
1061143200,FC Ljubljana,Domzale,WMQBZdUu,8GL0cHSF,3,0,,,,0
1061143200,Drava,Mura,4YZxDhVh,UcUjoAI7,2,3,,,,0
1061575200,O. Ljubljana,Drava,zc0A80Mi,4YZxDhVh,1,0,,,,0
1061661600,ND Gorica,Domzale,CltD6KMc,8GL0cHSF,3,0,,,,0
1061676000,Mura,Koper,UcUjoAI7,Ukh5nnRo,0,1,,,,0
1061676000,Maribor,FC Ljubljana,88sMeCH2,WMQBZdUu,2,1,,,,0
