timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1664380800,Celje,Dravinja,5,0,,,,0
1665581400,Ziri,Triglav,0,2,,,,0
1665583200,Visoko,Britof,2,3,,,,0
1665583200,Rogaska,Sampion Celje,4,2,,,,0
1666098000,Primorje,Tolmin,3,1,,,,0
1666107000,Domzale,Ilirija,3,1,,,,0
1666108800,Maribor,Limbus-Pekre,9,0,,,,0
1666110600,Aluminij,SD Bukovci,11,0,,,,0
1666184400,Tabor '69,Dob,0,3,,,,0
1666184400,Slatina,Rakican,7,0,,,,0
1666184400,Rudar,Brezice,10,0,,,,0
1666184400,Radomlje,Bravo,0,2,,,,0
1666184400,NK Krka,Litija,8,0,,,,0
1666184400,NK Gancani,Mura,1,2,,,,0
1666184400,NK Carda Martjanci,NK Serdica,2,3,,,,0
1666184400,Izola,Koper,0,2,,,,0
1666184400,Idrija,Fama Vipava,1,0,,,,0
1666184400,Cven,Verzej,2,0,,,,0
1666186200,Turnisce,Odranci,-,-,WO,,,0
1666186200,Panonija Gaberje,Hotiza,1,4,,,,0
1666186200,Jesenice,Sencur,1,1,Pen,1,2,0
1666186200,Fuzinar,Jurovski Dol,4,1,,,,0
1666188000,Zavrc,Apace,-,-,WO,,,0
1666188000,Tabor Sezana,Komen,9,1,,,,0
1666188000,Podvinci,Videm,0,2,,,,0
1666188000,NK Bistrica,Oplotnica,13,0,,,,0
1666188000,Cirkulane,Polskava,2,0,,,,0
1666193400,O. Ljubljana,Ivancna Gorica,5,0,,,,0
1666193400,Dobrovce,Korotan,3,3,Pen,4,3,0
1666195200,NK Polana,Nafta,0,2,,,,0
1666197000,NK Ljubljana,Zagorje,1,1,Pen,1,2,0
1666270800,Ljutomer,Beltinci,0,0,Pen,1,0,0
1667910600,Hotiza,Domzale,0,7,,,,0
1667910600,Fuzinar,Cven,4,1,,,,0
1667934000,Nafta,Triglav,0,0,Pen,2,1,0
1667997000,Zavrc,NK Serdica,2,0,,,,0
1667997000,Videm,Dob,2,2,Pen,3,2,0
1667997000,Slatina,NK Bistrica,0,3,Awrd,,,0
1667997000,Rogaska,Odranci,7,0,,,,0
1667997000,Primorje,Zagorje,8,0,,,,0
1667997000,Idrija,Aluminij,1,5,,,,0
1667997000,Bravo,Britof,9,0,,,,0
1668009600,Celje,Mura,2,1,,,,0
1668013200,O. Ljubljana,Ljutomer,4,1,,,,0
1668021300,Maribor,NK Krka,3,1,,,,0
1668083400,Tabor Sezana,Sencur,1,1,AET,2,1,0
1668096000,Rudar,Dobrovce,4,1,,,,0
1668106800,Koper,Cirkulane,6,0,,,,0
1678194000,Primorje,Zavrc,6,1,,,,0
1678201200,Celje,Videm,3,0,,,,0
1678208400,Koper,Domzale,0,0,AET,2,0,0
1678280400,Tabor Sezana,Rogaska,0,1,,,,0
1678284000,Rudar,Maribor,0,4,,,,0
1678287600,Aluminij,Fuzinar,4,2,,,,0
1678294800,Nafta,O. Ljubljana,1,3,,,,0
1678368600,NK Bistrica,Bravo,1,0,,,,0
1680703200,Aluminij,Koper,1,0,,,,0
1680718500,Maribor,Primorje,3,1,,,,0
1680789600,Rogaska,NK Bistrica,0,2,,,,0
1680804900,O. Ljubljana,Celje,0,0,Pen,1,0,0
1682433000,NK Bistrica,Maribor,1,3,,,,0
1682523000,O. Ljubljana,Aluminij,2,1,,,,0
1683397800,O. Ljubljana,Maribor,0,0,AET,2,1,1
