timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1579350600,Heegan,Midnimo,GfYKRR71,nazgcTrU,1,0,,,,0
1579437000,Geeska Afrika,Jeenyo,,GfYKRR71,0,0,,,,0
1579521600,Raadsan,Horseed,SSlpuTa7,GfYKRR71,1,0,,,,0
1579609800,Elman,Mogadishu City,GfYKRR71,6oAU20Sf,0,1,,,,0
1579698000,Dekedda,Gaadiidka,x4ZGS7he,x4ZGS7he,1,1,,,,0
1579955400,Jeenyo,Heegan,GfYKRR71,GfYKRR71,1,2,,,,0
1580041800,Midnimo,Horseed,nazgcTrU,GfYKRR71,0,2,,,,0
1580128200,Geeska Afrika,Mogadishu City,,6oAU20Sf,0,2,,,,0
1580212800,Raadsan,Gaadiidka,SSlpuTa7,x4ZGS7he,1,0,,,,0
1580301000,Elman,Dekedda,GfYKRR71,x4ZGS7he,2,1,,,,0
1580561400,Heegan,Horseed,GfYKRR71,GfYKRR71,1,1,,,,0
1580646600,Jeenyo,Mogadishu City,GfYKRR71,6oAU20Sf,1,0,,,,0
1580733000,Midnimo,Gaadiidka,nazgcTrU,x4ZGS7he,1,2,,,,0
1580819400,Geeska Afrika,Dekedda,,x4ZGS7he,0,3,,,,0
1580905800,Raadsan,Elman,SSlpuTa7,GfYKRR71,1,0,,,,0
1581165000,Mogadishu City,Heegan,6oAU20Sf,GfYKRR71,3,2,,,,0
1581252300,Horseed,Gaadiidka,GfYKRR71,x4ZGS7he,1,3,,,,0
1581337800,Jeenyo,Dekedda,GfYKRR71,x4ZGS7he,0,4,,,,0
1581424200,Midnimo,Elman,nazgcTrU,GfYKRR71,1,0,,,,0
1581510600,Geeska Afrika,Raadsan,,SSlpuTa7,0,2,,,,0
1581769800,Heegan,Gaadiidka,GfYKRR71,x4ZGS7he,3,2,,,,0
1581856200,Mogadishu City,Dekedda,6oAU20Sf,x4ZGS7he,1,0,,,,0
1581942600,Horseed,Elman,GfYKRR71,GfYKRR71,3,0,,,,0
1582029000,Jeenyo,Raadsan,GfYKRR71,SSlpuTa7,1,1,,,,0
1582374600,Midnimo,Geeska Afrika,nazgcTrU,,2,1,,,,0
1582375500,Dekedda,Heegan,x4ZGS7he,GfYKRR71,0,0,,,,0
1582461000,Gaadiidka,Elman,x4ZGS7he,GfYKRR71,0,1,,,,0
1582547400,Mogadishu City,Raadsan,6oAU20Sf,SSlpuTa7,1,0,,,,0
1582633800,Horseed,Geeska Afrika,GfYKRR71,,3,1,,,,0
1582720200,Jeenyo,Midnimo,GfYKRR71,nazgcTrU,1,0,,,,0
1583065800,Heegan,Elman,GfYKRR71,GfYKRR71,1,0,,,,0
1583152200,Dekedda,Raadsan,x4ZGS7he,SSlpuTa7,1,2,,,,0
1583238600,Gaadiidka,Geeska Afrika,x4ZGS7he,,6,0,,,,0
1583325000,Mogadishu City,Midnimo,6oAU20Sf,nazgcTrU,1,0,,,,0
1583411400,Horseed,Jeenyo,GfYKRR71,GfYKRR71,3,0,,,,0
1583670600,Raadsan,Heegan,SSlpuTa7,GfYKRR71,0,0,,,,0
