timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1010597400,Supersport Utd,Orlando Pirates,4UX5t7jk,KAV9ypMU,1,1,,,,0
1030120200,Manning Rangers,Dynamos,,nuAqtRls,1,1,,,,0
1030293000,Moroka Swallows,African Wanderers,tWjTbMwC,,2,0,,,,0
1030293000,Jomo Cosmos,Santos,8l3GGez7,nu2KFFkD,2,3,,,,0
1030293000,Black Leopards,Golden Arrows,8l3GGez7,8l3GGez7,1,2,,,,0
1030552200,Cape Town Spurs,Supersport Utd,QJM4feF8,4UX5t7jk,0,2,,,,0
1030897800,Province,Bidvest Wits,,8hmaPcYe,2,2,,,,0
1031157000,Bidvest Wits,Mamelodi Sundowns,8hmaPcYe,x2G2Q2c3,1,2,,,,0
1031416200,Golden Arrows,Jomo Cosmos,8l3GGez7,8l3GGez7,1,1,,,,0
1031502600,Santos,Manning Rangers,nu2KFFkD,,1,0,,,,0
1031502600,Dynamos,Province,nuAqtRls,,2,0,,,,0
1031502600,African Wanderers,Black Leopards,,8l3GGez7,2,1,,,,0
1031761800,Kaizer Chiefs,Supersport Utd,MeBJ238q,4UX5t7jk,1,2,,,,0
1031934600,Manning Rangers,Golden Arrows,,8l3GGez7,1,1,,,,0
1031934600,Cape Town Spurs,Bidvest Wits,QJM4feF8,8hmaPcYe,0,1,,,,0
1032107400,Jomo Cosmos,African Wanderers,8l3GGez7,,4,0,,,,0
1032107400,Black Leopards,Hellenic FC,8l3GGez7,AXR6QNOu,2,0,,,,0
1032539400,Hellenic FC,Jomo Cosmos,AXR6QNOu,8l3GGez7,2,0,,,,0
1032625800,Golden Arrows,Province,8l3GGez7,,2,1,,,,0
1032625800,Dynamos,Cape Town Spurs,nuAqtRls,QJM4feF8,5,0,,,,0
1032712200,Santos,Mamelodi Sundowns,nu2KFFkD,x2G2Q2c3,1,2,,,,0
1032885000,Black Leopards,Moroka Swallows,8l3GGez7,tWjTbMwC,1,3,,,,0
1032971400,Province,African Wanderers,,,2,1,,,,0
1032971400,Mamelodi Sundowns,Golden Arrows,x2G2Q2c3,8l3GGez7,0,0,,,,0
1032971400,Kaizer Chiefs,Dynamos,MeBJ238q,nuAqtRls,1,0,,,,0
1033230600,Hellenic FC,Province,AXR6QNOu,,0,3,,,,0
1033317000,Moroka Swallows,Jomo Cosmos,tWjTbMwC,8l3GGez7,1,2,,,,0
1033317000,Dynamos,Bidvest Wits,nuAqtRls,8hmaPcYe,1,1,,,,0
1033317000,African Wanderers,Mamelodi Sundowns,,x2G2Q2c3,0,2,,,,0
1033576200,African Wanderers,Manning Rangers,,,1,1,,,,0
1034181000,Manning Rangers,Moroka Swallows,,tWjTbMwC,3,3,,,,0
1034181000,Mamelodi Sundowns,Dynamos,x2G2Q2c3,nuAqtRls,0,1,,,,0
1034353800,Cape Town Spurs,African Wanderers,QJM4feF8,,4,0,,,,0
1034353800,Bidvest Wits,Santos,8hmaPcYe,nu2KFFkD,0,2,,,,0
1034440200,Mamelodi Sundowns,Hellenic FC,x2G2Q2c3,AXR6QNOu,3,1,,,,0
1034440200,Kaizer Chiefs,Golden Arrows,MeBJ238q,8l3GGez7,0,1,,,,0
1034440200,Dynamos,Supersport Utd,nuAqtRls,4UX5t7jk,1,2,,,,0
1034785800,Hellenic FC,Moroka Swallows,AXR6QNOu,tWjTbMwC,0,0,,,,0
