timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1123086600,Cape Town Spurs,Jomo Cosmos,2,1,,,,0
1123345800,Supersport Utd,Dynamos,2,1,,,,0
1123345800,Province,Kaizer Chiefs,0,1,,,,0
1123345800,Orlando Pirates,Black Leopards,1,0,,,,0
1123345800,Moroka Swallows,Santos,2,3,,,,0
1123345800,Free State Stars,Golden Arrows,2,2,,,,0
1123432200,Platinum Stars,Mamelodi Sundowns,0,1,,,,0
1123432200,Durban City,Royal AM,0,1,,,,0
1123605000,Jomo Cosmos,Black Leopards,2,3,,,,0
1123605000,Free State Stars,Kaizer Chiefs,1,1,,,,0
1123691400,Supersport Utd,Santos,2,2,,,,0
1123691400,Platinum Stars,Moroka Swallows,1,0,,,,0
1123691400,Orlando Pirates,Royal AM,3,0,,,,0
1123691400,Cape Town Spurs,Mamelodi Sundowns,0,2,,,,0
1123777800,Province,Durban City,1,1,,,,0
1123950600,Golden Arrows,Dynamos,3,0,,,,0
1124296200,Royal AM,Free State Stars,2,2,,,,0
1124296200,Province,Jomo Cosmos,0,0,,,,0
1124555400,Dynamos,Black Leopards,3,2,,,,0
1124814600,Mamelodi Sundowns,Golden Arrows,1,1,,,,0
1124901000,Santos,Orlando Pirates,3,3,,,,0
1124901000,Platinum Stars,Durban City,0,1,,,,0
1124901000,Moroka Swallows,Supersport Utd,3,0,,,,0
1124987400,Kaizer Chiefs,Cape Town Spurs,0,0,,,,0
1125419400,Jomo Cosmos,Dynamos,1,2,,,,0
1125419400,Cape Town Spurs,Royal AM,1,1,,,,0
1126024200,Moroka Swallows,Free State Stars,1,0,,,,0
1126110600,Santos,Cape Town Spurs,0,1,,,,0
1126110600,Royal AM,Golden Arrows,0,0,,,,0
1126110600,Platinum Stars,Jomo Cosmos,1,1,,,,0
1126369800,Supersport Utd,Platinum Stars,0,1,,,,0
1126369800,Orlando Pirates,Province,3,1,,,,0
1126369800,Jomo Cosmos,Mamelodi Sundowns,0,1,,,,0
1126369800,Black Leopards,Royal AM,3,1,,,,0
1126456200,Golden Arrows,Santos,2,2,,,,0
1126456200,Free State Stars,Durban City,0,0,,,,0
1126456200,Dynamos,Kaizer Chiefs,0,2,,,,0
1126629000,Province,Supersport Utd,1,3,,,,0
1126715400,Golden Arrows,Kaizer Chiefs,1,3,,,,0
1126715400,Free State Stars,Santos,0,0,,,,0
1126715400,Cape Town Spurs,Moroka Swallows,2,1,,,,0
1126715400,Black Leopards,Mamelodi Sundowns,1,0,,,,0
1126974600,Santos,Black Leopards,0,0,,,,0
1126974600,Durban City,Cape Town Spurs,2,0,,,,0
1127061000,Province,Free State Stars,0,0,,,,0
1127061000,Platinum Stars,Orlando Pirates,2,2,,,,0
1127061000,Moroka Swallows,Golden Arrows,0,0,,,,0
1127320200,Orlando Pirates,Supersport Utd,1,1,,,,0
1127320200,Mamelodi Sundowns,Royal AM,1,0,,,,0
1127320200,Jomo Cosmos,Kaizer Chiefs,1,1,,,,0
1127320200,Golden Arrows,Durban City,2,0,,,,0
1127320200,Free State Stars,Platinum Stars,0,1,,,,0
1127320200,Dynamos,Santos,0,0,,,,0
1127320200,Cape Town Spurs,Province,1,2,,,,0
1127320200,Black Leopards,Moroka Swallows,1,1,,,,0
1127579400,Santos,Mamelodi Sundowns,0,0,,,,0
1127579400,Platinum Stars,Cape Town Spurs,0,2,,,,0
1127579400,Orlando Pirates,Jomo Cosmos,1,0,,,,0
1127579400,Durban City,Black Leopards,2,0,,,,0
1127665800,Supersport Utd,Free State Stars,2,2,,,,0
1127665800,Royal AM,Kaizer Chiefs,1,1,,,,0
1127665800,Moroka Swallows,Dynamos,1,0,,,,0
1127752200,Province,Golden Arrows,0,0,,,,0
1127925000,Mamelodi Sundowns,Dynamos,1,0,,,,0
1127925000,Kaizer Chiefs,Black Leopards,0,0,,,,0
1127925000,Durban City,Orlando Pirates,1,2,,,,0
1128270600,Royal AM,Dynamos,1,1,,,,0
1129048200,Dynamos,Durban City,1,1,,,,0
1129134600,Mamelodi Sundowns,Moroka Swallows,1,2,,,,0
1129134600,Kaizer Chiefs,Santos,0,0,,,,0
1129134600,Jomo Cosmos,Royal AM,2,1,,,,0
1129134600,Golden Arrows,Platinum Stars,1,0,,,,0
1129134600,Free State Stars,Orlando Pirates,1,2,,,,0
1129134600,Cape Town Spurs,Supersport Utd,4,1,,,,0
1129134600,Black Leopards,Province,1,1,,,,0
1129393800,Santos,Royal AM,1,2,,,,0
1129393800,Province,Dynamos,0,1,,,,0
1129393800,Orlando Pirates,Cape Town Spurs,2,1,,,,0
1129393800,Free State Stars,Jomo Cosmos,1,2,,,,0
1129480200,Supersport Utd,Golden Arrows,1,0,,,,0
1129480200,Platinum Stars,Black Leopards,1,0,,,,0
1129480200,Moroka Swallows,Kaizer Chiefs,1,1,,,,0
1129480200,Durban City,Mamelodi Sundowns,0,3,,,,0
1129739400,Platinum Stars,Province,0,1,,,,0
1129739400,Orlando Pirates,Moroka Swallows,1,0,,,,0
1129998600,Golden Arrows,Orlando Pirates,2,1,,,,0
1130257800,Mamelodi Sundowns,Province,5,1,,,,0
1130344200,Royal AM,Moroka Swallows,0,1,,,,0
1130344200,Kaizer Chiefs,Durban City,0,0,,,,0
1130344200,Jomo Cosmos,Santos,1,1,,,,0
1130344200,Dynamos,Platinum Stars,0,1,,,,0
1130344200,Cape Town Spurs,Free State Stars,1,1,,,,0
1130344200,Black Leopards,Supersport Utd,0,2,,,,0
1130603400,Santos,Platinum Stars,1,1,,,,0
1130603400,Moroka Swallows,Province,1,1,,,,0
1130603400,Kaizer Chiefs,Orlando Pirates,2,0,,,,0
1130693400,Royal AM,Supersport Utd,1,1,,,,0
1130693400,Free State Stars,Mamelodi Sundowns,0,0,,,,0
1130693400,Dynamos,Cape Town Spurs,2,1,,,,0
1130693400,Black Leopards,Golden Arrows,1,0,,,,0
1130952600,Supersport Utd,Jomo Cosmos,0,3,,,,0
1131816600,Black Leopards,Free State Stars,2,3,,,,0
1132075800,Royal AM,Province,4,1,,,,0
1132162200,Santos,Durban City,2,0,,,,0
1132162200,Mamelodi Sundowns,Supersport Utd,2,2,,,,0
1132162200,Kaizer Chiefs,Platinum Stars,2,4,,,,0
1132162200,Jomo Cosmos,Moroka Swallows,0,2,,,,0
1132162200,Golden Arrows,Cape Town Spurs,2,0,,,,0
1132162200,Dynamos,Orlando Pirates,1,1,,,,0
1132507800,Dynamos,Golden Arrows,0,0,,,,0
1132767000,Province,Santos,0,0,,,,0
1132767000,Durban City,Moroka Swallows,0,0,,,,0
1132939800,Cape Town Spurs,Black Leopards,1,0,,,,0
1133026200,Platinum Stars,Royal AM,2,1,,,,0
1133026200,Orlando Pirates,Mamelodi Sundowns,1,1,,,,0
1133112600,Supersport Utd,Kaizer Chiefs,1,1,,,,0
1133285400,Jomo Cosmos,Golden Arrows,1,1,,,,0
1133285400,Free State Stars,Dynamos,1,1,,,,0
1133285400,Durban City,Platinum Stars,0,1,,,,0
1133717400,Orlando Pirates,Santos,2,0,,,,0
1133717400,Golden Arrows,Mamelodi Sundowns,0,2,,,,0
1133717400,Free State Stars,Royal AM,3,1,,,,0
1133717400,Cape Town Spurs,Kaizer Chiefs,2,2,,,,0
1133717400,Black Leopards,Dynamos,0,1,,,,0
1133976600,Santos,Supersport Utd,2,2,,,,0
1133976600,Royal AM,Orlando Pirates,0,2,,,,0
1133976600,Moroka Swallows,Platinum Stars,2,2,,,,0
1133976600,Mamelodi Sundowns,Cape Town Spurs,1,1,,,,0
1133976600,Kaizer Chiefs,Free State Stars,5,2,,,,0
1133976600,Durban City,Province,2,1,,,,0
1134235800,Province,Moroka Swallows,1,1,,,,0
1134235800,Orlando Pirates,Kaizer Chiefs,0,1,,,,0
1134235800,Cape Town Spurs,Dynamos,0,1,,,,0
1134322200,Supersport Utd,Royal AM,1,1,,,,0
1134322200,Platinum Stars,Santos,0,1,,,,0
1134322200,Mamelodi Sundowns,Free State Stars,0,0,,,,0
1134322200,Jomo Cosmos,Durban City,1,0,,,,0
1134322200,Golden Arrows,Black Leopards,0,0,,,,0
1134581400,Province,Platinum Stars,1,4,,,,0
1134581400,Durban City,Supersport Utd,0,2,,,,0
1134581400,Black Leopards,Jomo Cosmos,2,0,,,,0
1134754200,Santos,Free State Stars,2,0,,,,0
1134840600,Supersport Utd,Durban City,1,1,,,,0
1134840600,Mamelodi Sundowns,Black Leopards,5,1,,,,0
1134840600,Kaizer Chiefs,Golden Arrows,2,1,,,,0
1134840600,Dynamos,Jomo Cosmos,0,0,,,,0
1134927000,Moroka Swallows,Orlando Pirates,3,1,,,,0
1135186200,Orlando Pirates,Durban City,0,0,,,,0
1135186200,Jomo Cosmos,Platinum Stars,2,1,,,,0
1135186200,Golden Arrows,Royal AM,0,0,,,,0
1135186200,Free State Stars,Moroka Swallows,2,4,,,,0
1135186200,Dynamos,Mamelodi Sundowns,0,4,,,,0
1135186200,Cape Town Spurs,Santos,1,1,,,,0
1135272600,Supersport Utd,Province,6,0,,,,0
1135272600,Black Leopards,Kaizer Chiefs,2,2,,,,0
1140024600,Kaizer Chiefs,Mamelodi Sundowns,1,0,,,,0
1140111000,Royal AM,Black Leopards,1,2,,,,0
1140197400,Santos,Golden Arrows,1,1,,,,0
1140197400,Durban City,Free State Stars,1,1,,,,0
1140283800,Platinum Stars,Supersport Utd,0,4,,,,0
1140283800,Kaizer Chiefs,Dynamos,2,1,,,,0
1140283800,Jomo Cosmos,Province,1,2,,,,0
1140370200,Moroka Swallows,Cape Town Spurs,1,5,,,,0
1140629400,Orlando Pirates,Platinum Stars,1,1,,,,0
1140629400,Mamelodi Sundowns,Kaizer Chiefs,3,1,,,,0
1140629400,Jomo Cosmos,Supersport Utd,1,0,,,,0
1140629400,Golden Arrows,Moroka Swallows,2,1,,,,0
1140629400,Free State Stars,Province,1,2,,,,0
1140629400,Dynamos,Royal AM,0,2,,,,0
1140629400,Cape Town Spurs,Durban City,3,1,,,,0
1140629400,Black Leopards,Santos,1,0,,,,0
1140888600,Province,Cape Town Spurs,2,2,,,,0
1140888600,Moroka Swallows,Black Leopards,2,1,,,,0
1140888600,Kaizer Chiefs,Jomo Cosmos,0,0,,,,0
1140888600,Durban City,Golden Arrows,1,2,,,,0
1140975000,Supersport Utd,Orlando Pirates,1,3,,,,0
1140975000,Santos,Dynamos,3,1,,,,0
1140975000,Royal AM,Mamelodi Sundowns,2,1,,,,0
1140975000,Platinum Stars,Free State Stars,1,1,,,,0
1141320600,Mamelodi Sundowns,Santos,1,1,,,,0
1141320600,Jomo Cosmos,Orlando Pirates,0,0,,,,0
1141493400,Kaizer Chiefs,Royal AM,2,0,,,,0
1141493400,Free State Stars,Supersport Utd,2,2,,,,0
1141493400,Cape Town Spurs,Platinum Stars,1,1,,,,0
1141493400,Black Leopards,Durban City,2,1,,,,0
1141579800,Golden Arrows,Province,3,0,,,,0
1141579800,Dynamos,Moroka Swallows,2,2,,,,0
1142184600,Royal AM,Cape Town Spurs,2,0,,,,0
1142443800,Supersport Utd,Cape Town Spurs,2,1,,,,0
1142443800,Santos,Kaizer Chiefs,1,3,,,,0
1142443800,Royal AM,Jomo Cosmos,1,0,,,,0
1142443800,Province,Black Leopards,1,0,,,,0
1142443800,Platinum Stars,Golden Arrows,3,1,,,,0
1142443800,Orlando Pirates,Free State Stars,1,1,,,,0
1142443800,Moroka Swallows,Mamelodi Sundowns,1,2,,,,0
1142443800,Durban City,Dynamos,1,0,,,,0
1142703000,Kaizer Chiefs,Moroka Swallows,1,1,,,,0
