timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1268139600,Baroka,Mighty Mega Force,StEzXyoG,,0,0,AET,2,0,0
1268155800,Supersport Utd,Golden Arrows,4UX5t7jk,8l3GGez7,1,1,AET,3,1,0
1268155800,Black Leopards,Thanda Royal Zulu,8l3GGez7,rg2yT6oF,2,1,,,,0
1268155800,AmaZulu,Real Madrid,6Fg6xWE0,,5,0,,,,0
1268330400,Durban City,Moroka Swallows,6RTAg0C5,tWjTbMwC,0,3,,,,0
1268398800,Free State Stars,Cape Town Spurs,6LfbbTwj,QJM4feF8,2,1,,,,0
1268398800,BTX Liverpool,Blackburn,,dp0XifTb,1,1,Pen,2,1,0
1268398800,Black Aces,Hanover Park,QV8muo4m,,4,2,,,,0
1268398800,Amajuba Utd.,Stellenbosch,,K2asz6S7,2,3,,,,0
1268417700,Royal AM,Platinum Stars,nu2KFFkD,p6867egJ,0,1,,,,0
1268417700,Orlando Pirates,Mamelodi Sundowns,KAV9ypMU,x2G2Q2c3,1,0,,,,0
1268485200,Witbank,Chippa Utd.,Gr4RZ4HN,zLGv32Ri,3,2,,,,0
1268485200,United FC,Future,CGI97dG2,,3,0,,,,0
1268485200,Carara Kicks,Cullinan,MgAgQall,,7,0,,,,0
1268485200,Bidvest Wits,Santos,8hmaPcYe,nu2KFFkD,1,0,,,,0
1268485200,Atlie,Kaizer Chiefs,6yPAEmXH,MeBJ238q,2,2,AET,2,3,0
1270213200,Platinum Stars,Stellenbosch,p6867egJ,K2asz6S7,0,2,,,,0
1270232100,United FC,Orlando Pirates,CGI97dG2,KAV9ypMU,1,3,,,,0
1270299600,Witbank,Black Aces,Gr4RZ4HN,QV8muo4m,3,4,,,,0
1270299600,Baroka,Moroka Swallows,StEzXyoG,tWjTbMwC,2,1,,,,0
1270818000,Free State Stars,Supersport Utd,6LfbbTwj,4UX5t7jk,0,0,AET,1,0,0
1270836900,AmaZulu,Carara Kicks,6Fg6xWE0,MgAgQall,2,0,,,,0
1270904400,BTX Liverpool,Black Leopards,,8l3GGez7,1,3,,,,0
1270904400,Bidvest Wits,Kaizer Chiefs,8hmaPcYe,MeBJ238q,0,4,,,,0
1272027600,Black Leopards,Stellenbosch,8l3GGez7,K2asz6S7,2,2,AET,3,2,0
1272114000,Baroka,Kaizer Chiefs,StEzXyoG,MeBJ238q,2,1,,,,0
1272114000,AmaZulu,Black Aces,6Fg6xWE0,QV8muo4m,2,3,,,,0
1272200400,Orlando Pirates,Free State Stars,KAV9ypMU,6LfbbTwj,1,0,,,,0
1273860900,Orlando Pirates,Black Aces,KAV9ypMU,QV8muo4m,0,0,AET,1,0,0
1273928400,Baroka,Black Leopards,StEzXyoG,8l3GGez7,1,1,Pen,2,3,0
1275051600,Black Leopards,Orlando Pirates,8l3GGez7,KAV9ypMU,1,3,,,,0
