timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1675814400,Sport Huancayo (Per),Nacional Asuncion (Par),2,1,,,,0
1675900800,Nacional Potosi (Bol),EL Nacional (Ecu),1,6,,,,0
1675987200,Boston River (Uru),Zamora (Ven),3,1,,,,0
1676419200,Nacional Asuncion (Par),Sport Huancayo (Per),3,1,,,,0
1676505600,EL Nacional (Ecu),Nacional Potosi (Bol),3,1,,,,0
1676592000,Zamora (Ven),Boston River (Uru),0,1,,,,0
1677016800,Nacional Asuncion (Par),Sporting Cristal (Per),2,0,,,,0
1677024000,Curico Unido (Chi),Cerro Porteno (Par),0,1,,,,0
1677103200,EL Nacional (Ecu),Ind. Medellin (Col),2,2,,,,0
1677110400,Boston River (Uru),Huracan (Arg),0,0,,,,0
1677112200,Carabobo (Ven),Atletico-MG (Bra),0,0,,,,0
1677189600,Magallanes (Chi),Always Ready (Bol),3,0,,,,0
1677196800,U. Catolica (Ecu),Millonarios (Col),0,0,,,,0
1677196800,Maldonado (Uru),Fortaleza (Bra),0,0,,,,0
1677621600,Cerro Porteno (Par),Curico Unido (Chi),1,0,,,,0
1677628800,Sporting Cristal (Per),Nacional Asuncion (Par),5,1,,,,0
1677708000,Huracan (Arg),Boston River (Uru),1,0,,,,0
1677715200,Ind. Medellin (Col),EL Nacional (Ecu),2,1,,,,0
1677717000,Atletico-MG (Bra),Carabobo (Ven),3,1,,,,0
1677794400,Always Ready (Bol),Magallanes (Chi),1,3,,,,0
1677801600,Millonarios (Col),U. Catolica (Ecu),2,1,,,,0
1677801600,Fortaleza (Bra),Maldonado (Uru),4,0,,,,0
1678312800,Magallanes (Chi),Ind. Medellin (Col),1,1,,,,0
1678321800,Millonarios (Col),Atletico-MG (Bra),1,1,,,,0
1678399200,Fortaleza (Bra),Cerro Porteno (Par),0,1,,,,0
1678406400,Huracan (Arg),Sporting Cristal (Per),0,0,,,,0
1678924800,Ind. Medellin (Col),Magallanes (Chi),2,0,,,,0
1678926600,Atletico-MG (Bra),Millonarios (Col),3,1,,,,0
1679004000,Cerro Porteno (Par),Fortaleza (Bra),2,1,,,,0
1679011200,Sporting Cristal (Per),Huracan (Arg),1,0,,,,0
1680645600,The Strongest (Bol),River Plate (Arg),3,1,,,,0
1680645600,Argentinos Jrs (Arg),Ind. del Valle (Ecu),1,0,,,,0
1680645600,Alianza Lima (Per),Athletico-PR (Bra),0,0,,,,0
1680652800,Ind. Medellin (Col),Internacional (Bra),1,1,,,,0
1680660000,Metropolitanos (Ven),Nacional (Uru),1,2,,,,0
1680732000,Patronato (Arg),Atl. Nacional (Col),1,2,,,,0
1680732000,Aucas (Ecu),Flamengo RJ (Bra),2,1,,,,0
1680739200,Nublense (Chi),Racing Club (Arg),0,2,,,,0
1680739200,Cerro Porteno (Par),Barcelona SC (Ecu),2,1,,,,0
1680741000,Sporting Cristal (Per),Fluminense (Bra),1,3,,,,0
1680741000,Bolivar (Bol),Palmeiras (Bra),3,1,,,,0
1680746400,Pereira (Col),Colo Colo (Chi),1,1,,,,0
1680818400,Liverpool M. (Uru),Corinthians (Bra),0,3,,,,0
1680818400,Atletico-MG (Bra),Libertad Asuncion (Par),0,1,,,,0
1680825600,Monagas (Ven),Boca Juniors (Arg),0,0,,,,0
1680825600,FBC Melgar (Per),Olimpia Asuncion (Par),1,1,,,,0
1681855200,Internacional (Bra),Metropolitanos (Ven),1,0,,,,0
1681855200,Fluminense (Bra),The Strongest (Bol),1,0,,,,0
1681862400,Olimpia Asuncion (Par),Patronato (Arg),1,0,,,,0
1681862400,Boca Juniors (Arg),Pereira (Col),2,1,,,,0
1681862400,Athletico-PR (Bra),Atletico-MG (Bra),2,1,,,,0
1681869600,Ind. del Valle (Ecu),Liverpool M. (Uru),2,0,,,,0
1681941600,Nacional (Uru),Ind. Medellin (Col),2,1,,,,0
1681948800,River Plate (Arg),Sporting Cristal (Per),4,2,,,,0
1681950600,Flamengo RJ (Bra),Nublense (Chi),2,0,,,,0
1681950600,Corinthians (Bra),Argentinos Jrs (Arg),0,1,,,,0
1681952400,Colo Colo (Chi),Monagas (Ven),1,0,,,,0
