timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1470780000,Lara (Ven),Junior (Col),ERX7lx6a,G2820wU0,1,3,,,,0
1470780900,Sp. Luqueno (Par),Penarol (Uru),4GUthy9Q,nqhLBCKD,0,0,,,,0
1470788100,Fenix (Uru),Cerro Porteno (Par),tWWbnBbh,SOY3p1Si,1,0,,,,0
1470789000,Real Potosi (Bol),U. Catolica (Chi),hOiNe2t0,nRWWeW7h,3,1,,,,0
1470796200,U. de Deportes (Per),Emelec (Ecu),pzbJPTLS,ru7B2xn1,0,3,,,,0
1470866400,U. De Concepcion (Chi),Bolivar (Bol),Eq74Jcjl,KxxHBfzK,2,0,,,,0
1470873600,Wanderers (Uru),O'Higgins (Chi),zFwegNb8,fRWXW3MH,0,0,,,,0
1470873600,Sol de America (Par),Wilstermann (Bol),UJLaZhBP,COG61ACC,1,1,,,,0
1470881700,Barcelona SC (Ecu),Zamora (Ven),WErjuywa,0A6WRcTt,1,1,,,,0
1470882600,Ind. Medellin (Col),U. Catolica (Ecu),plopiAtN,Kt2BHCfq,1,1,,,,0
1470951000,Dep. Anzoategui (Ven),Sport Huancayo (Per),v7Ysf0vj,6ayjGGhJ,2,1,,,,0
1470951000,Aucas (Ecu),Cusco (Per),Wz8yaA21,06OeOzI0,2,1,,,,0
1470956400,Blooming (Bol),Plaza Colonia (Uru),6u7MmjSt,SARVQmpJ,1,0,,,,0
1470959100,Palestino (Chi),Libertad Asuncion (Par),zPORy6uL,UwvYANk9,1,0,,,,0
1470964500,Deportes Tolima (Col),La Guaira (Ven),bXlV9lJE,hCFsixCJ,0,0,,,,0
1470967200,Dep. Municipal (Per),Atl. Nacional (Col),zRF5pj7O,tnwDCzLD,0,5,,,,0
1471381200,Bolivar (Bol),U. De Concepcion (Chi),KxxHBfzK,Eq74Jcjl,3,0,,,,0
1471390200,Penarol (Uru),Sp. Luqueno (Par),nqhLBCKD,4GUthy9Q,1,1,,,,0
1471390200,O'Higgins (Chi),Wanderers (Uru),fRWXW3MH,zFwegNb8,0,0,Pen,0,1,0
1471399200,Junior (Col),Lara (Ven),G2820wU0,ERX7lx6a,2,1,,,,0
1471399200,Emelec (Ecu),U. de Deportes (Per),ru7B2xn1,pzbJPTLS,3,1,,,,0
1471469400,U. Catolica (Ecu),Ind. Medellin (Col),Kt2BHCfq,plopiAtN,0,1,,,,0
1471469400,Plaza Colonia (Uru),Blooming (Bol),SARVQmpJ,6u7MmjSt,1,0,Pen,1,1,0
1471469400,La Guaira (Ven),Deportes Tolima (Col),hCFsixCJ,bXlV9lJE,1,0,,,,0
1471478400,U. Catolica (Chi),Real Potosi (Bol),nRWWeW7h,hOiNe2t0,1,1,,,,0
1471478400,Cerro Porteno (Par),Fenix (Uru),SOY3p1Si,tWWbnBbh,2,0,,,,0
1471486500,Cusco (Per),Aucas (Ecu),06OeOzI0,Wz8yaA21,1,0,,,,0
1471486500,Atl. Nacional (Col),Dep. Municipal (Per),tnwDCzLD,zRF5pj7O,1,0,,,,0
1471550400,Sport Huancayo (Per),Dep. Anzoategui (Ven),6ayjGGhJ,v7Ysf0vj,1,0,,,,0
1471555800,Wilstermann (Bol),Sol de America (Par),COG61ACC,UJLaZhBP,1,1,Pen,1,2,0
1471557600,Zamora (Ven),Barcelona SC (Ecu),0A6WRcTt,WErjuywa,1,1,Pen,2,1,0
1471566600,Libertad Asuncion (Par),Palestino (Chi),UwvYANk9,zPORy6uL,0,3,,,,0
1471990500,La Guaira (Ven),Emelec (Ecu),hCFsixCJ,ru7B2xn1,4,2,,,,0
1471990500,Banfield (Arg),San Lorenzo (Arg),zPA7Mpsn,ABQ0Crsh,2,0,,,,0
1471999500,Blooming (Bol),Junior (Col),6u7MmjSt,G2820wU0,0,2,,,,0
1472068800,Cusco (Per),Palestino (Chi),06OeOzI0,zPORy6uL,2,2,,,,0
1472076900,Cerro Porteno (Par),Real Potosi (Bol),SOY3p1Si,hOiNe2t0,6,0,,,,0
1472076900,Bolivar (Bol),Atl. Nacional (Col),KxxHBfzK,tnwDCzLD,1,1,,,,0
1472085900,Santa Cruz (Bra),Sport Recife (Bra),xUGvsKjO,G2OQQubE,0,0,,,,0
1472085900,Ind. Medellin (Col),Sp. Luqueno (Par),plopiAtN,4GUthy9Q,3,0,,,,0
1472085900,Figueirense (Bra),Flamengo RJ (Bra),lGWmJ4QE,2R2JjDQC,4,2,,,,0
1472085900,Estudiantes L.P. (Arg),Belgrano (Arg),EJLwis4r,jXvNrLYt,1,0,,,,0
1472162400,Cuiaba (Bra),Chapecoense-SC (Bra),6FedhD0P,ALatFnbP,1,0,,,,0
1472163300,Lanus (Arg),Independiente (Arg),xQnxBzcF,ALgHCh57,0,2,,,,0
1472172300,Zamora (Ven),Wanderers (Uru),0A6WRcTt,zFwegNb8,0,1,,,,0
1472172300,Vitoria (Bra),Coritiba (Bra),QwRlGht5,8f6Hj6B0,2,1,,,,0
1472172300,Sol de America (Par),Sport Huancayo (Per),UJLaZhBP,6ayjGGhJ,1,0,,,,0
1472673600,Coritiba (Bra),Vitoria (Bra),8f6Hj6B0,QwRlGht5,1,0,,,,0
1472690700,Sport Recife (Bra),Santa Cruz (Bra),G2OQQubE,xUGvsKjO,0,1,,,,0
1472690700,Flamengo RJ (Bra),Figueirense (Bra),2R2JjDQC,lGWmJ4QE,3,1,,,,0
1472690700,Chapecoense-SC (Bra),Cuiaba (Bra),ALatFnbP,6FedhD0P,3,1,,,,0
1473804900,San Lorenzo (Arg),Banfield (Arg),ABQ0Crsh,zPA7Mpsn,4,1,,,,0
1473813900,Atl. Nacional (Col),Bolivar (Bol),tnwDCzLD,KxxHBfzK,1,0,,,,0
1473879600,Wanderers (Uru),Zamora (Ven),zFwegNb8,0A6WRcTt,1,0,,,,0
1473886800,Emelec (Ecu),La Guaira (Ven),ru7B2xn1,hCFsixCJ,0,0,,,,0
1473891300,Independiente (Arg),Lanus (Arg),ALgHCh57,xQnxBzcF,1,0,,,,0
1473900300,Junior (Col),Blooming (Bol),G2820wU0,6u7MmjSt,1,1,,,,0
1473966900,Sport Huancayo (Per),Sol de America (Par),6ayjGGhJ,UJLaZhBP,1,1,,,,0
1473977700,Palestino (Chi),Cusco (Per),zPORy6uL,06OeOzI0,1,0,,,,0
1473978600,Real Potosi (Bol),Cerro Porteno (Par),hOiNe2t0,SOY3p1Si,0,1,,,,0
