date,home_team,away_team,home_score,away_score
20.11. 21:00,Athletico-PR (Bra),Bragantino (Bra),1,0
01.10. 02:30,Athletico-PR (Bra),Penarol (Uru),2,0
30.09. 00:15,Libertad Asuncion (Par),Bragantino (Bra),1,3
24.09. 02:30,Penarol (Uru),Athletico-PR (Bra),1,2
23.09. 00:15,Bragantino (Bra),Libertad Asuncion (Par),2,0
20.08. 02:30,Libertad Asuncion (Par),Santos (Bra),1,0
20.08. 00:15,Athletico-PR (Bra),LDU Quito (Ecu),4,2
19.08. 00:15,Penarol (Uru),Sporting Cristal (Per),1,0
18.08. 00:15,Bragantino (Bra),Rosario Central (Arg),1,0
13.08. 02:30,Santos (Bra),Libertad Asuncion (Par),2,1
13.08. 00:15,LDU Quito (Ecu),Athletico-PR (Bra),1,0
12.08. 00:15,Sporting Cristal (Per),Penarol (Uru),1,3
11.08. 00:15,Rosario Central (Arg),Bragantino (Bra),3,4
23.07. 02:30,Penarol (Uru),Nacional (Uru),0,1
23.07. 02:30,Rosario Central (Arg),Dep. Tachira (Ven),1,0
23.07. 00:15,Independiente (Arg),Santos (Bra),1,1
22.07. 02:30,Bragantino (Bra),Ind. del Valle (Ecu),1,1
22.07. 02:30,Libertad Asuncion (Par),Junior (Col),0,1
22.07. 00:15,Arsenal Sarandi (Arg),Sporting Cristal (Per),1,1
21.07. 02:30,Athletico-PR (Bra),America De Cali (Col),4,1
21.07. 00:15,Gremio (Bra),LDU Quito (Ecu),1,2
16.07. 02:30,Dep. Tachira (Ven),Rosario Central (Arg),2,2
16.07. 02:30,Nacional (Uru),Penarol (Uru),1,2
16.07. 00:15,Santos (Bra),Independiente (Arg),1,0
15.07. 02:30,Ind. del Valle (Ecu),Bragantino (Bra),0,2
15.07. 02:30,Junior (Col),Libertad Asuncion (Par),3,4
15.07. 00:15,Sporting Cristal (Per),Arsenal Sarandi (Arg),2,1
14.07. 02:30,America De Cali (Col),Athletico-PR (Bra),0,1
14.07. 00:15,LDU Quito (Ecu),Gremio (Bra),0,1
28.05. 02:30,Athletico-PR (Bra),Aucas (Ecu),4,0
28.05. 02:30,FBC Melgar (Per),Metropolitanos (Ven),0,0
28.05. 02:30,La Equidad (Col),Gremio (Bra),0,0
28.05. 02:30,Lanus (Arg),Aragua (Ven),0,0
28.05. 00:15,Arsenal Sarandi (Arg),Bolivar (Bol),3,1
28.05. 00:15,Wilstermann (Bol),Ceara (Bra),1,0
27.05. 02:30,Corinthians (Bra),River Plate (Par),4,0
27.05. 02:30,Huachipato (Chi),San Lorenzo (Arg),0,3
27.05. 02:30,Rosario Central (Arg),12 de Octubre (Par),0,0
27.05. 02:30,Sport Huancayo (Per),Penarol (Uru),0,0
27.05. 00:15,Bahia (Bra),Montevideo City (Uru),2,4
27.05. 00:15,Independiente (Arg),Guabira (Bol),1,0
26.05. 02:30,Deportes Tolima (Col),Bragantino (Bra),1,2
26.05. 02:30,Emelec (Ecu),Talleres Cordoba (Arg),1,4
