timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1614402000,Jeonbuk,Seoul,2,0,,,,0
1614411000,Daegu,Suwon FC,1,1,,,,0
1614488400,Pohang,Incheon,2,1,,,,0
1614497400,Suwon Bluewings,Gwangju FC,1,0,,,,0
1614574800,Ulsan HD,Gangwon,5,0,,,,0
1614583800,Seongnam,Jeju SK,0,0,,,,0
1615006800,Jeju SK,Jeonbuk,1,1,,,,0
1615015800,Incheon,Daegu,2,1,,,,0
1615015800,Gwangju FC,Ulsan HD,0,1,,,,0
1615024800,Gangwon,Pohang,1,3,,,,0
1615093200,Suwon Bluewings,Seongnam,1,0,,,,0
1615102200,Seoul,Suwon FC,3,0,,,,0
1615284000,Ulsan HD,Incheon,3,1,,,,0
1615284000,Jeonbuk,Gangwon,2,1,,,,0
1615285800,Jeju SK,Pohang,1,0,,,,0
1615370400,Seongnam,Seoul,1,0,,,,0
1615370400,Daegu,Gwangju FC,1,4,,,,0
1615372200,Suwon FC,Suwon Bluewings,0,0,,,,0
1615611600,Gwangju FC,Jeonbuk,0,2,,,,0
1615611600,Daegu,Jeju SK,1,1,,,,0
1615620600,Pohang,Ulsan HD,1,1,,,,0
1615629600,Incheon,Seoul,0,1,,,,0
1615698000,Suwon FC,Seongnam,1,2,,,,0
1615707000,Suwon Bluewings,Gangwon,1,1,,,,0
1615888800,Jeonbuk,Daegu,3,2,,,,0
1615890600,Ulsan HD,Jeju SK,0,0,,,,0
1615975200,Pohang,Suwon Bluewings,0,3,,,,0
1615975200,Gangwon,Seongnam,0,0,,,,0
1615977000,Seoul,Gwangju FC,2,1,,,,0
1615977000,Incheon,Suwon FC,4,1,,,,0
1616216400,Jeju SK,Gwangju FC,1,1,,,,0
1616225400,Jeonbuk,Suwon FC,1,1,,,,0
1616302800,Seongnam,Pohang,2,1,,,,0
1616302800,Gangwon,Incheon,2,0,,,,0
1616311800,Suwon Bluewings,Seoul,1,2,,,,0
1616320800,Daegu,Ulsan HD,2,1,,,,0
1617359400,Pohang,Daegu,0,0,,,,0
1617426000,Suwon Bluewings,Jeonbuk,1,3,,,,0
1617435000,Seongnam,Ulsan HD,0,1,,,,0
1617444000,Seoul,Gangwon,0,1,,,,0
1617512400,Suwon FC,Jeju SK,2,1,,,,0
1617521400,Gwangju FC,Incheon,2,1,,,,0
1617703200,Pohang,Jeonbuk,1,3,,,,0
1617705000,Daegu,Seongnam,0,0,,,,0
1617789600,Ulsan HD,Seoul,3,2,,,,0
1617791400,Jeju SK,Gangwon,1,1,,,,0
1617791400,Incheon,Suwon Bluewings,0,0,,,,0
1617791400,Gwangju FC,Suwon FC,2,0,,,,0
1618030800,Gangwon,Daegu,3,0,,,,0
1618039800,Seoul,Pohang,1,2,,,,0
1618048800,Seongnam,Gwangju FC,2,0,,,,0
1618124400,Jeju SK,Suwon Bluewings,2,1,,,,0
1618126200,Suwon FC,Ulsan HD,0,1,,,,0
1618135200,Jeonbuk,Incheon,5,0,,,,0
1618635600,Suwon FC,Gangwon,2,1,,,,0
1618644600,Seoul,Daegu,0,1,,,,0
1618644600,Incheon,Jeju SK,0,3,,,,0
1618653600,Gwangju FC,Pohang,0,1,,,,0
1618722000,Suwon Bluewings,Ulsan HD,3,0,,,,0
1618731000,Jeonbuk,Seongnam,1,0,,,,0
1618912800,Gangwon,Gwangju FC,0,1,,,,0
1618914600,Pohang,Suwon FC,1,0,,,,0
1618999200,Ulsan HD,Jeonbuk,0,0,,,,0
1619001000,Seongnam,Incheon,1,3,,,,0
1619001000,Jeju SK,Seoul,2,1,,,,0
1619001000,Daegu,Suwon Bluewings,1,0,,,,0
1619240400,Pohang,Jeju SK,0,0,,,,0
1619249400,Gwangju FC,Daegu,0,1,,,,0
1619258400,Gangwon,Jeonbuk,1,1,,,,0
1619326800,Incheon,Ulsan HD,0,0,,,,0
1619335800,Suwon FC,Seoul,1,1,,,,0
1619344800,Seongnam,Suwon Bluewings,0,1,,,,0
1619778600,Seoul,Seongnam,2,2,,,,0
1619845200,Suwon FC,Daegu,2,4,,,,0
1619854200,Suwon Bluewings,Pohang,1,1,,,,0
1619863200,Ulsan HD,Gwangju FC,2,0,,,,0
1619931600,Jeonbuk,Jeju SK,1,1,,,,0
1619940600,Incheon,Gangwon,1,0,,,,0
1620450000,Jeju SK,Suwon FC,1,3,,,,0
1620450000,Daegu,Incheon,3,0,,,,0
1620459000,Pohang,Gangwon,1,1,,,,0
1620545400,Jeonbuk,Suwon Bluewings,1,3,,,,0
1620729000,Suwon FC,Gwangju FC,2,1,,,,0
1620729000,Incheon,Pohang,1,1,,,,0
1620813600,Suwon Bluewings,Jeju SK,3,2,,,,0
1620815400,Gangwon,Ulsan HD,2,2,,,,0
1621063800,Gangwon,Suwon FC,0,0,,,,0
1621072800,Incheon,Gwangju FC,2,1,,,,0
1621141200,Jeju SK,Daegu,1,2,,,,0
1621150200,Ulsan HD,Suwon Bluewings,1,1,,,,0
1621333800,Suwon FC,Pohang,3,4,,,,0
1621409400,Gwangju FC,Jeju SK,0,0,,,,0
1621418400,Suwon Bluewings,Daegu,1,1,,,,0
1621418400,Jeonbuk,Ulsan HD,2,4,,,,0
1621593000,Suwon FC,Incheon,2,2,,,,0
1621659600,Jeju SK,Seongnam,2,2,,,,0
1621662000,Ulsan HD,Pohang,1,0,,,,0
1621755000,Gwangju FC,Suwon Bluewings,3,4,,,,0
1621764000,Gangwon,Seoul,0,0,,,,0
1621764000,Daegu,Jeonbuk,1,0,,,,0
1622264400,Incheon,Jeonbuk,1,1,,,,0
1622273400,Jeju SK,Ulsan HD,1,2,,,,0
1622282400,Seoul,Suwon Bluewings,0,3,,,,0
1622282400,Seongnam,Suwon FC,2,3,,,,0
1622359800,Daegu,Gangwon,1,0,,,,0
1622368800,Pohang,Gwangju FC,1,0,,,,0
1622962800,Seongnam,Jeonbuk,1,5,,,,0
1622964600,Daegu,Seoul,1,1,,,,0
1624087800,Gwangju FC,Seoul,1,1,,,,0
1624172400,Ulsan HD,Seongnam,2,2,,,,0
1624690800,Seongnam,Gangwon,1,2,,,,0
1626258600,Seoul,Incheon,0,1,,,,0
1626777000,Suwon Bluewings,Suwon FC,1,2,,,,0
1626865200,Gwangju FC,Gangwon,3,1,,,,0
1627036200,Suwon Bluewings,Incheon,1,2,,,,0
1627120800,Pohang,Seoul,0,1,,,,0
1627207200,Ulsan HD,Suwon FC,2,5,,,,0
