timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1677301200,Ulsan HD,Jeonbuk,0hHJPkl1,fm8Q2TnU,2,1,,,,0
1677310200,Suwon Bluewings,Gwangju FC,nuOc3CG5,82pY9Pwe,0,1,,,,0
1677310200,Seoul,Incheon,8rKfsneA,U904kONG,2,1,,,,0
1677387600,Pohang,Daegu,lG6iYHm8,AkeugwZe,3,2,,,,0
1677387600,Jeju SK,Suwon FC,nFQt27sT,C8xz9kft,0,0,,,,0
1677396600,Daejeon,Gangwon,l6HzCrRi,tjoPM7VE,2,0,,,,0
1677906000,Suwon FC,Pohang,C8xz9kft,lG6iYHm8,1,2,,,,0
1677906000,Incheon,Daejeon,U904kONG,l6HzCrRi,3,3,,,,0
1677915000,Daegu,Jeju SK,AkeugwZe,nFQt27sT,1,1,,,,0
1677992400,Jeonbuk,Suwon Bluewings,fm8Q2TnU,nuOc3CG5,1,1,,,,0
1677992400,Gangwon,Ulsan HD,tjoPM7VE,0hHJPkl1,0,1,,,,0
1678001400,Gwangju FC,Seoul,82pY9Pwe,8rKfsneA,0,2,,,,0
1678510800,Suwon FC,Suwon Bluewings,C8xz9kft,nuOc3CG5,2,1,,,,0
1678510800,Daejeon,Pohang,l6HzCrRi,lG6iYHm8,0,0,,,,0
1678519800,Gangwon,Daegu,tjoPM7VE,AkeugwZe,1,1,,,,0
1678597200,Seoul,Ulsan HD,8rKfsneA,0hHJPkl1,1,2,,,,0
1678606200,Jeonbuk,Gwangju FC,fm8Q2TnU,82pY9Pwe,2,0,,,,0
1678606200,Incheon,Jeju SK,U904kONG,nFQt27sT,1,0,,,,0
1679115600,Pohang,Gangwon,lG6iYHm8,tjoPM7VE,1,1,,,,0
1679115600,Gwangju FC,Incheon,82pY9Pwe,U904kONG,5,0,,,,0
1679124600,Jeju SK,Seoul,nFQt27sT,8rKfsneA,1,2,,,,0
1679202000,Suwon Bluewings,Daejeon,nuOc3CG5,l6HzCrRi,1,3,,,,0
1679202000,Daegu,Jeonbuk,AkeugwZe,fm8Q2TnU,2,0,,,,0
1679211000,Ulsan HD,Suwon FC,0hHJPkl1,C8xz9kft,3,0,,,,0
1680325200,Jeonbuk,Pohang,fm8Q2TnU,lG6iYHm8,1,2,,,,0
1680334200,Incheon,Daegu,U904kONG,AkeugwZe,0,0,,,,0
1680334200,Gwangju FC,Suwon FC,82pY9Pwe,C8xz9kft,2,0,,,,0
1680343200,Daejeon,Seoul,l6HzCrRi,8rKfsneA,3,2,,,,0
1680411600,Jeju SK,Ulsan HD,nFQt27sT,0hHJPkl1,1,3,,,,0
1680420600,Suwon Bluewings,Gangwon,nuOc3CG5,tjoPM7VE,1,1,,,,0
1680930000,Ulsan HD,Suwon Bluewings,0hHJPkl1,nuOc3CG5,2,1,,,,0
1680939000,Seoul,Daegu,8rKfsneA,AkeugwZe,3,0,,,,0
1680948000,Pohang,Gwangju FC,lG6iYHm8,82pY9Pwe,2,0,,,,0
1681020000,Suwon FC,Daejeon,C8xz9kft,l6HzCrRi,5,3,,,,0
1681025400,Jeonbuk,Incheon,fm8Q2TnU,U904kONG,2,0,,,,0
1681034400,Gangwon,Jeju SK,tjoPM7VE,nFQt27sT,0,1,,,,0
1681534800,Suwon Bluewings,Jeju SK,nuOc3CG5,nFQt27sT,2,3,,,,0
1681543800,Pohang,Seoul,lG6iYHm8,8rKfsneA,1,1,,,,0
1681552800,Suwon FC,Jeonbuk,C8xz9kft,fm8Q2TnU,1,0,,,,0
1681621200,Gangwon,Incheon,tjoPM7VE,U904kONG,0,2,,,,0
1681630200,Daejeon,Ulsan HD,l6HzCrRi,0hHJPkl1,2,1,,,,0
1681639200,Daegu,Gwangju FC,AkeugwZe,82pY9Pwe,3,4,,,,0
1682139600,Seoul,Suwon Bluewings,8rKfsneA,nuOc3CG5,3,1,,,,0
1682148600,Ulsan HD,Pohang,0hHJPkl1,lG6iYHm8,2,2,,,,0
1682148600,Daegu,Daejeon,AkeugwZe,l6HzCrRi,1,0,,,,0
1682157600,Incheon,Suwon FC,U904kONG,C8xz9kft,2,2,,,,0
1682226000,Gwangju FC,Gangwon,82pY9Pwe,tjoPM7VE,0,0,,,,0
1682235000,Jeju SK,Jeonbuk,nFQt27sT,fm8Q2TnU,0,2,,,,0
1682418600,Pohang,Suwon Bluewings,lG6iYHm8,nuOc3CG5,1,0,,,,0
1682418600,Incheon,Ulsan HD,U904kONG,0hHJPkl1,0,1,,,,0
1682503200,Gwangju FC,Jeju SK,82pY9Pwe,nFQt27sT,0,1,,,,0
1682503200,Gangwon,Seoul,tjoPM7VE,8rKfsneA,3,2,,,,0
1682505000,Suwon FC,Daegu,C8xz9kft,AkeugwZe,1,1,,,,0
1682505000,Jeonbuk,Daejeon,fm8Q2TnU,l6HzCrRi,1,2,,,,0
1682744400,Suwon FC,Seoul,C8xz9kft,8rKfsneA,0,3,,,,0
1682753400,Jeonbuk,Gangwon,fm8Q2TnU,tjoPM7VE,0,1,,,,0
1682830800,Daejeon,Jeju SK,l6HzCrRi,nFQt27sT,0,3,,,,0
1682834400,Pohang,Incheon,lG6iYHm8,U904kONG,0,2,,,,0
