timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1427511600,Dong Eui,Samsung,1,0,,,,0
1427518800,Woosuk University,Denso,1,0,,,,0
1427518800,Incheon University,Shinan,1,0,,,,0
1427518800,Goyang Citizen,Mokpo Christian Hospital,2,0,,,,0
1427518800,Gimpo FC,LG Electronics,3,1,,,,0
1427518800,Cheongju City,SMCE,1,2,,,,0
1427522400,Nexen,Gwangju University,1,1,Pen,2,1,0
1427522400,Hynix,Seoul Martyrs,4,3,,,,0
1428116400,Kwandong,Nexen,1,2,,,,0
1428120000,Jungnang Chorus,Hynix,6,0,,,,0
1428123600,Yeonggwang,Korea University,1,6,,,,0
1428123600,Sungkyunkwan,Yeungnam University,0,1,,,,0
1428123600,Soongsil,Ulsan University,1,0,,,,0
1428123600,Sangji University,Seoul United,3,0,,,,0
1428123600,Kyung Hee Univ.,Chung-Ang Univ.,1,1,Pen,3,2,0
1428123600,Jeonju Citizen,Dong Eui,1,0,,,,0
1428123600,Incheon University,Kwangwoon,3,1,,,,0
1428123600,Hwaseong,Yangju,3,0,,,,0
1428123600,Hannam University,SMCE,1,0,,,,0
1428123600,Goyang Citizen,Woosuk University,0,4,,,,0
1428123600,Gimpo FC,Chuncheon,1,1,AET,2,1,0
1428127200,Pocheon,Hanyang University,2,3,,,,0
1428127200,Paju Citizen,Dankook University,1,2,,,,0
1428127200,Inje University,Sunmoon Uni.,1,1,Pen,2,3,0
1428127200,Icheon,Pyeongchang United,1,0,,,,0
1428127200,Cheongju,Gyeongju Citizen,1,0,,,,0
1428130800,FC Uijeongbu,Hongik,1,4,,,,0
1428724800,Jungnang Chorus,Korea University,0,0,Pen,0,1,0
1428728400,Yongin City,Nexen,5,0,,,,0
1428728400,Seoul E-Land,Sunmoon Uni.,2,0,,,,0
1428728400,Sangji University,Dankook University,1,1,Pen,2,1,0
1428728400,Hwaseong,Mokpo,2,1,,,,0
1428728400,Hummel,Kyung Hee Univ.,2,0,,,,0
1428728400,Goyang Zaicro FC,Incheon University,2,2,AET,3,2,0
1428728400,Gangwon,Gyeongnam,2,1,,,,0
1428728400,Bucheon FC 1995,Gimhae,1,0,,,,0
1428728400,Anyang,Woosuk University,2,0,,,,0
1428732000,Gangneung,Yeungnam University,1,1,AET,1,2,0
1428732000,Daejeon Korail,Hannam University,3,0,,,,0
1428732000,Daegu,Cheongju,3,0,,,,0
1428732000,Cheonan City,Icheon,0,0,Pen,2,1,0
1428732000,Changwon,Jeonju Citizen,2,0,,,,0
1428732000,Busan Kyotong,Hanyang University,1,1,Pen,3,2,0
1428732000,Asan,Soongsil,2,0,,,,0
1428735600,Suwon FC,Ulsan Mipo,1,2,,,,0
1428735600,Gimcheon Sangmu,Gyeongju KHNP,0,1,,,,0
1428814800,Gimpo FC,Hongik,2,2,Pen,3,2,0
1430283600,Sangji University,Yeungnam University,1,2,,,,0
1430301600,Goyang Zaicro FC,Jeonbuk,0,0,AET,0,1,0
1430301600,Daejeon Korail,Yongin City,1,0,,,,0
1430301600,Cheonan City,Korea University,4,1,,,,0
1430301600,Busan Kyotong,Seongnam,0,1,,,,0
1430301600,Busan,Gangwon,2,3,,,,0
1430301600,Asan,Hummel,1,1,Pen,1,2,0
1430303400,Ulsan HD,Seoul E-Land,1,1,Pen,2,1,0
1430303400,Seoul,Gyeongju KHNP,3,0,,,,0
1430303400,Incheon,Bucheon FC 1995,2,0,,,,0
1430303400,Daejeon,Gwangju FC,1,0,,,,0
1430305200,Jeju SK,Anyang,4,1,,,,0
1430305200,Daegu,Pohang,1,3,,,,0
1431424800,Hwaseong,Changwon,2,1,,,,0
1431511200,Ulsan Mipo,Gimpo FC,2,0,,,,0
1431513000,Suwon Bluewings,Jeonnam,2,2,Pen,3,4,0
1435140000,Hwaseong,Seoul,1,2,,,,0
1435140000,Hummel,Jeonnam,1,4,,,,0
1435140000,Gangwon,Ulsan Mipo,0,1,,,,0
1435140000,Daejeon Korail,Jeju SK,1,2,,,,0
1435140000,Cheonan City,Incheon,0,1,,,,0
1435141800,Ulsan HD,Daejeon,1,1,AET,3,2,0
1435141800,Seongnam,Yeungnam University,1,1,AET,2,1,0
1435141800,Pohang,Jeonbuk,2,1,,,,0
1437559200,Jeonnam,Ulsan Mipo,1,0,,,,0
1437561000,Seoul,Pohang,2,1,,,,0
1437561000,Seongnam,Ulsan HD,1,1,AET,1,2,0
1437562800,Jeju SK,Incheon,0,0,AET,0,2,0
1444818600,Ulsan HD,Seoul,1,2,,,,0
1444818600,Incheon,Jeonnam,0,0,AET,2,0,0
1446265800,Seoul,Incheon,3,1,,,,0
