timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
942188400,Zamora,Tenerife,2,2,,,,0
942188400,Villarreal,Leganes,0,1,,,,0
942188400,UD Salamanca,Rayo Vallecano,2,2,,,,0
942188400,Recreativo Huelva,Zaragoza,0,0,,,,0
942188400,R. Union,Valladolid,1,1,,,,0
942188400,Ponferradina,Albacete,1,1,,,,0
942188400,Ourense,Getafe,1,0,,,,0
942188400,Osasuna,Sevilla,1,0,,,,0
942188400,Novelda CF,Almeria,0,1,,,,0
942188400,Melilla,Ath Bilbao,2,2,,,,0
942188400,Lorca Deportiva,R. Oviedo,0,1,,,,0
942188400,Hercules,Racing Santander,0,0,,,,0
942188400,Gimnastica Segoviana,Gijon,0,0,,,,0
942188400,Eibar,Toledo,1,0,,,,0
942188400,Coria C.F.,Lleida,2,4,,,,0
942188400,Cordoba,Espanyol,1,1,,,,0
942188400,Compostela,Numancia,4,2,,,,0
942188400,CF Talavera,CP Merida,1,0,,,,0
942188400,CF Extremadura,Alaves,1,1,,,,0
942188400,CD Logrones,Real Sociedad,2,1,,,,0
942188400,CD Badajoz,Las Palmas,1,1,,,,0
942188400,Bermeo,Betis,0,0,,,,0
942188400,Barakaldo,Premia,1,0,,,,0
942188400,Alzira,Malaga,0,0,,,,0
944002800,Zaragoza,Recreativo Huelva,4,0,,,,0
944002800,Valladolid,R. Union,0,1,,,,0
944002800,Toledo,Eibar,0,0,,,,0
944002800,Tenerife,Zamora,4,0,,,,0
944002800,Sevilla,Osasuna,1,1,,,,0
944002800,Real Sociedad,CD Logrones,0,1,,,,0
944002800,Rayo Vallecano,UD Salamanca,4,2,,,,0
944002800,Racing Santander,Hercules,3,0,,,,0
944002800,R. Oviedo,Lorca Deportiva,2,0,,,,0
944002800,Premia,Barakaldo,2,2,,,,0
944002800,Numancia,Compostela,3,2,,,,0
944002800,Malaga,Alzira,2,0,,,,0
944002800,Lleida,Coria C.F.,1,1,,,,0
944002800,Leganes,Villarreal,0,0,AET,0,3,0
944002800,Las Palmas,CD Badajoz,1,0,,,,0
944002800,Gijon,Gimnastica Segoviana,2,1,,,,0
944002800,Getafe,Ourense,1,2,,,,0
944002800,Espanyol,Cordoba,2,0,,,,0
944002800,CP Merida,CF Talavera,3,0,,,,0
944002800,Betis,Bermeo,2,0,,,,0
944002800,Ath Bilbao,Melilla,3,2,,,,0
944002800,Almeria,Novelda CF,0,0,,,,0
944002800,Albacete,Ponferradina,1,1,AET,3,1,0
944002800,Alaves,CF Extremadura,1,0,,,,0
945126000,Dep. La Coruna,Malaga,1,0,,,,0
945126000,Barakaldo,Villarreal,0,0,,,,0
945212400,Zaragoza,Racing Santander,2,1,,,,0
945212400,Tenerife,Compostela,2,2,,,,0
945212400,R. Union,Alaves,1,0,,,,0
945212400,Ourense,Mallorca,2,2,,,,0
945212400,Osasuna,Valencia,3,0,,,,0
945212400,Lleida,Eibar,0,0,,,,0
945212400,Las Palmas,Atl. Madrid,2,2,,,,0
945212400,Gijon,Celta Vigo,0,3,,,,0
945212400,CP Merida,Betis,1,0,,,,0
945212400,CD Logrones,R. Oviedo,3,2,,,,0
945212400,Ath Bilbao,Rayo Vallecano,0,1,,,,0
945212400,Almeria,Barcelona,0,0,,,,0
945212400,Albacete,Espanyol,0,0,,,,0
947545200,Villarreal,Barakaldo,1,0,,,,0
947631600,Valencia,Osasuna,2,0,,,,0
947631600,Rayo Vallecano,Ath Bilbao,0,0,,,,0
947631600,Racing Santander,Zaragoza,1,4,,,,0
947631600,R. Oviedo,CD Logrones,2,1,,,,0
947631600,Mallorca,Ourense,1,2,,,,0
947631600,Malaga,Dep. La Coruna,2,1,,,,0
947631600,Espanyol,Albacete,2,0,,,,0
947631600,Eibar,Lleida,1,1,AET,1,1,0
947631600,Compostela,Tenerife,2,0,,,,0
947631600,Celta Vigo,Gijon,4,2,,,,0
947631600,Betis,CP Merida,0,1,,,,0
947631600,Barcelona,Almeria,2,0,,,,0
947631600,Atl. Madrid,Las Palmas,1,0,,,,0
947631600,Alaves,R. Union,2,1,,,,0
948236400,Zaragoza,Real Madrid,0,0,,,,0
948236400,R. Union,Atl. Madrid,0,3,,,,0
948236400,Osasuna,Dep. La Coruna,1,0,,,,0
948236400,Lleida,Rayo Vallecano,2,3,,,,0
948236400,Espanyol,Celta Vigo,2,1,,,,0
948236400,CP Merida,R. Oviedo,1,0,,,,0
948236400,Compostela,Villarreal,3,0,,,,0
