timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1250967600,San Roque,Melilla,2qbfoxPs,zLx3xGjj,1,2,,,,0
1251226800,Villajoyosa,UD Logrones,rRFzdAnI,Us0IOpHm,2,0,,,,0
1251313200,SD Tenisca,C. Reyes,tdlWHWao,,2,4,,,,0
1251313200,Sabadell,Atletico Monzon,lQiEtZia,YNIDoxMc,2,0,,,,0
1251313200,RSD Alcala,R. Oviedo,zZXXZMUi,Y7pkY0PJ,0,1,,,,0
1251313200,Ponferradina,Eibar,0hoCA9Zq,4U3vjZKk,1,1,Pen,2,1,0
1251313200,Marbella,Caravaca,K42aMCxI,v7fPqbbG,1,0,,,,0
1251313200,Lemona,Cultural Leonesa,drZTz3Fo,vcT321w1,2,2,Pen,2,3,0
1251313200,Leganes,Reus FCR,Q3zX1dyT,xQl7nTU4,1,3,,,,0
1251313200,Lagun Onak,Izarra,GlXK9J5m,jqTGL2PJ,2,1,,,,0
1251313200,Jaen,CD Estepona,CWnBKmjo,beq8Ny1r,0,1,,,,0
1251313200,Gramenet,Sant Andreu,pEtKo6C5,Kf5gWzNQ,0,3,,,,0
1251313200,Conquense,Toledo,bBonCJxo,zZXXZMUi,1,0,,,,0
1251313200,Compostela,Zamora,vcT321w1,6H6pz143,1,2,,,,0
1251313200,CD Puertollano,Torrelavega,2anivTBP,zyeK1aHH,3,1,,,,0
1251313200,Alicante,Mahones,SURwFBdI,EPWyZtpb,1,1,Pen,2,1,0
1251313200,Alaves,CD Palencia,4U3vjZKk,bJqXu2AT,1,1,Pen,1,2,0
1251403200,Lorca Deportiva,Ceuta,Yc3rQikT,xpqBFn5c,1,2,,,,0
1251831600,Celta Vigo,R. Union,SOY3p1Si,2qGsGRiG,2,1,,,,0
1251912600,Lagun Onak,C. Reyes,GlXK9J5m,,2,1,,,,0
1251916200,Sant Andreu,Melilla,Kf5gWzNQ,zLx3xGjj,3,1,,,,0
1251916200,Cultural Leonesa,CD Estepona,vcT321w1,beq8Ny1r,4,0,,,,0
1251917100,UD Salamanca,Castellon,ljLMLjPn,zBFXR8iF,1,1,Pen,2,1,0
1251917100,Sabadell,Marbella,lQiEtZia,K42aMCxI,0,0,Pen,0,1,0
1251918000,Real Sociedad,Rayo Vallecano,vJb36ZBF,EPWyZtpb,0,2,,,,0
1251918000,Ontinyent,Conquense,hGVuY0a4,bBonCJxo,2,1,,,,0
1251918000,Levante,Huesca,8toS1iya,EkA5g8Rs,0,0,Pen,0,1,0
1251918000,Girona,Gimnastic,vPm0hQMN,EPtl0Y0m,1,0,,,,0
1251918000,El Ejido,Ponferradina,pbG2VPjh,0hoCA9Zq,0,0,Pen,1,0,0
1251918000,Ciudad de Lorqu,R. Oviedo,,Y7pkY0PJ,3,2,,,,0
1251918000,CD Puertollano,Zamora,2anivTBP,6H6pz143,3,0,,,,0
1251918000,Betis,Cordoba,zkU5wiAr,8GkSmkbF,1,2,,,,0
1251918000,Alcoyano,Villajoyosa,EJyc9ygn,rRFzdAnI,2,0,,,,0
1251918000,Alcorcon,CD Palencia,no5LkQQ6,bJqXu2AT,2,0,,,,0
1251919800,FC Cartagena SAD,Elche,ht99hStl,YmCZKGcR,2,2,AET,3,2,0
1251919800,Albacete,Hercules,6Hv9WIoj,xWPoGERP,0,1,,,,0
1251921600,Las Palmas,Cadiz CF,d6gaf9ua,EPWyZtpb,2,1,,,,0
1252004400,Numancia,Murcia,xtVbLgO5,SARwoBEf,2,3,,,,0
1252524600,Ceuta,Alicante,xpqBFn5c,SURwFBdI,2,2,Pen,2,3,0
1253127600,Merida AD,Reus FCR,zNF1SoyR,xQl7nTU4,1,1,Pen,2,1,0
1254936600,Lagun Onak,Alcorcon,GlXK9J5m,no5LkQQ6,1,2,,,,0
1254941100,UD Salamanca,FC Cartagena SAD,ljLMLjPn,ht99hStl,2,0,,,,0
1254941100,CD Puertollano,Sant Andreu,2anivTBP,Kf5gWzNQ,2,1,,,,0
1254942000,Recreativo Huelva,Las Palmas,02MhqP4t,d6gaf9ua,2,1,,,,0
1254942000,Ontinyent,Cultural Leonesa,hGVuY0a4,vcT321w1,0,0,Pen,0,1,0
1254942000,Merida AD,Alcoyano,zNF1SoyR,EJyc9ygn,1,3,,,,0
1254942000,Marbella,Alicante,K42aMCxI,SURwFBdI,1,1,AET,2,1,0
1254942000,Hercules,Huesca,xWPoGERP,EkA5g8Rs,2,0,,,,0
1254942000,Girona,Celta Vigo,vPm0hQMN,SOY3p1Si,1,3,,,,0
1254942000,Cordoba,Rayo Vallecano,8GkSmkbF,EPWyZtpb,0,0,AET,0,1,0
1254942000,Ciudad de Lorqu,El Ejido,,pbG2VPjh,0,0,Pen,1,0,0
