timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1314460800,Gijon,Real Sociedad,1,2,,,,0
1314468000,Valencia,Racing Santander,4,3,,,,0
1314475200,Granada CF,Betis,0,1,,,,0
1314525600,Atl. Madrid,Osasuna,0,0,,,,0
1314540000,Ath Bilbao,Rayo Vallecano,1,1,,,,0
1314547200,Mallorca,Espanyol,1,0,,,,0
1314547200,Getafe,Levante,1,1,,,,0
1314554400,Zaragoza,Real Madrid,0,6,,,,0
1314561600,Sevilla,Malaga,2,1,,,,0
1314644400,Barcelona,Villarreal,5,0,,,,0
1315670400,Villarreal,Sevilla,2,2,,,,0
1315670400,Real Sociedad,Barcelona,2,2,,,,0
1315677600,Real Madrid,Getafe,4,2,,,,0
1315684800,Valencia,Atl. Madrid,1,0,,,,0
1315735200,Betis,Mallorca,1,0,,,,0
1315749600,Racing Santander,Levante,0,0,,,,0
1315756800,Rayo Vallecano,Zaragoza,0,0,,,,0
1315756800,Osasuna,Gijon,2,1,,,,0
1315771200,Espanyol,Ath Bilbao,2,1,,,,0
1315854000,Malaga,Granada CF,4,0,,,,0
1316275200,Mallorca,Malaga,0,1,,,,0
1316275200,Granada CF,Villarreal,1,0,,,,0
1316275200,Gijon,Valencia,0,1,,,,0
1316282400,Barcelona,Osasuna,8,0,,,,0
1316289600,Sevilla,Real Sociedad,1,0,,,,0
1316340000,Getafe,Rayo Vallecano,0,1,,,,0
1316354400,Zaragoza,Espanyol,2,1,,,,0
1316361600,Atl. Madrid,Racing Santander,4,0,,,,0
1316368800,Levante,Real Madrid,1,0,,,,0
1316376000,Ath Bilbao,Betis,2,3,,,,0
1316541600,Real Sociedad,Granada CF,1,0,,,,0
1316541600,Osasuna,Sevilla,0,0,,,,0
1316548800,Villarreal,Mallorca,2,0,,,,0
1316628000,Rayo Vallecano,Levante,1,2,,,,0
1316628000,Racing Santander,Real Madrid,0,0,,,,0
1316628000,Malaga,Ath Bilbao,1,0,,,,0
1316628000,Atl. Madrid,Gijon,4,0,,,,0
1316635200,Valencia,Barcelona,2,2,,,,0
1316714400,Espanyol,Getafe,1,0,,,,0
1316721600,Betis,Zaragoza,4,3,,,,0
1316880000,Sevilla,Valencia,1,0,,,,0
1316880000,Ath Bilbao,Villarreal,1,1,,,,0
1316887200,Real Madrid,Rayo Vallecano,6,2,,,,0
1316894400,Barcelona,Atl. Madrid,5,0,,,,0
1316944800,Mallorca,Real Sociedad,2,1,,,,0
1316959200,Levante,Espanyol,3,1,,,,0
1316966400,Granada CF,Osasuna,1,1,,,,0
1316973600,Gijon,Racing Santander,0,0,,,,0
1316980800,Zaragoza,Malaga,0,0,,,,0
1317063600,Getafe,Betis,1,0,,,,0
1317484800,Villarreal,Zaragoza,2,2,,,,0
1317484800,Racing Santander,Rayo Vallecano,1,1,,,,0
1317484800,Osasuna,Mallorca,2,2,,,,0
1317492000,Valencia,Granada CF,1,0,,,,0
1317499200,Malaga,Getafe,3,2,,,,0
1317549600,Real Sociedad,Ath Bilbao,1,2,,,,0
1317564000,Betis,Levante,0,1,,,,0
1317571200,Atl. Madrid,Sevilla,0,0,,,,0
1317578400,Gijon,Barcelona,0,1,,,,0
1317585600,Espanyol,Real Madrid,0,4,,,,0
1318694400,Real Madrid,Betis,4,1,,,,0
1318694400,Mallorca,Valencia,1,1,,,,0
1318694400,Getafe,Villarreal,0,0,,,,0
1318701600,Barcelona,Racing Santander,3,0,,,,0
1318708800,Granada CF,Atl. Madrid,0,0,,,,0
1318759200,Rayo Vallecano,Espanyol,0,1,,,,0
1318773600,Zaragoza,Real Sociedad,2,0,,,,0
1318780800,Levante,Malaga,3,0,,,,0
1318795200,Sevilla,Gijon,2,1,,,,0
1318878000,Ath Bilbao,Osasuna,3,1,,,,0
1319299200,Racing Santander,Espanyol,0,1,,,,0
1319299200,Gijon,Granada CF,2,0,,,,0
1319306400,Malaga,Real Madrid,0,4,,,,0
1319313600,Barcelona,Sevilla,0,0,,,,0
