timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1459594800,Malmo FF,Norrkoping,YmCZKGcR,W2EojdRP,3,1,,,,0
1459605600,Kalmar,Jonkoping,CSvriyX1,W2EojdRP,0,1,,,,0
1459688400,Hacken,Elfsborg,Ew0jDlyt,tl2CILaH,2,1,,,,0
1459688400,Gefle,Helsingborg,2c38J1pB,2TRrus0k,1,1,,,,0
1459688400,AIK,Sundsvall,2c38J1pB,rFwxlpm5,1,1,,,,0
1459697400,Orebro,Djurgarden,Kv1GHuFN,lvoaqOtj,0,2,,,,0
1459697400,Falkenberg,Goteborg,8CTmUesg,jqs0yJHC,0,2,,,,0
1459789200,Hammarby,Ostersund,EamQtThn,WnKsn5Ti,1,1,,,,0
1459960200,Norrkoping,Kalmar,W2EojdRP,CSvriyX1,4,1,,,,0
1459960200,Jonkoping,Malmo FF,W2EojdRP,YmCZKGcR,3,2,,,,0
1459960200,Goteborg,Hacken,jqs0yJHC,Ew0jDlyt,1,0,,,,0
1460048400,Sundsvall,Gefle,rFwxlpm5,2c38J1pB,1,2,,,,0
1460048400,Ostersund,AIK,WnKsn5Ti,2c38J1pB,0,2,,,,0
1460048400,Helsingborg,Orebro,2TRrus0k,Kv1GHuFN,1,3,,,,0
1460048400,Elfsborg,Hammarby,tl2CILaH,EamQtThn,4,1,,,,0
1460048400,Djurgarden,Falkenberg,lvoaqOtj,8CTmUesg,5,0,,,,0
1460210400,Hacken,Norrkoping,Ew0jDlyt,W2EojdRP,1,2,,,,0
1460293200,Hammarby,Helsingborg,EamQtThn,2TRrus0k,5,1,,,,0
1460293200,Gefle,Djurgarden,2c38J1pB,lvoaqOtj,1,2,,,,0
1460302200,Kalmar,Elfsborg,CSvriyX1,tl2CILaH,3,2,,,,0
1460302200,Falkenberg,Ostersund,8CTmUesg,WnKsn5Ti,1,2,,,,0
1460394000,Orebro,Jonkoping,Kv1GHuFN,W2EojdRP,2,1,,,,0
1460394000,Malmo FF,Sundsvall,YmCZKGcR,rFwxlpm5,1,2,,,,0
1460394000,AIK,Goteborg,2c38J1pB,jqs0yJHC,3,3,,,,0
1460739600,Ostersund,Hacken,WnKsn5Ti,Ew0jDlyt,2,1,,,,0
1460815200,Helsingborg,Falkenberg,2TRrus0k,8CTmUesg,3,1,,,,0
1460898000,Norrkoping,AIK,W2EojdRP,2c38J1pB,4,1,,,,0
1460898000,Jonkoping,Gefle,W2EojdRP,2c38J1pB,1,0,,,,0
1460907000,Goteborg,Kalmar,jqs0yJHC,CSvriyX1,1,1,,,,0
1460998800,Sundsvall,Orebro,rFwxlpm5,Kv1GHuFN,3,1,,,,0
1460998800,Elfsborg,Malmo FF,tl2CILaH,YmCZKGcR,0,1,,,,0
1461085200,Djurgarden,Hammarby,lvoaqOtj,EamQtThn,1,3,,,,0
1461344400,Falkenberg,Norrkoping,8CTmUesg,W2EojdRP,2,1,,,,0
1461420000,Hammarby,Jonkoping,EamQtThn,W2EojdRP,1,1,,,,0
1461420000,Gefle,Ostersund,2c38J1pB,WnKsn5Ti,0,0,,,,0
1461502800,Malmo FF,Djurgarden,YmCZKGcR,lvoaqOtj,1,0,,,,0
1461502800,Hacken,Sundsvall,Ew0jDlyt,rFwxlpm5,0,1,,,,0
1461511800,Orebro,Goteborg,Kv1GHuFN,jqs0yJHC,3,2,,,,0
1461603600,Kalmar,Helsingborg,CSvriyX1,2TRrus0k,2,3,,,,0
1461603600,AIK,Elfsborg,2c38J1pB,tl2CILaH,2,1,,,,0
1461688200,Norrkoping,Hammarby,W2EojdRP,EamQtThn,3,1,,,,0
1461774600,Ostersund,Orebro,WnKsn5Ti,Kv1GHuFN,2,4,,,,0
1461774600,Jonkoping,Falkenberg,W2EojdRP,8CTmUesg,1,1,,,,0
1461774600,Goteborg,Malmo FF,jqs0yJHC,YmCZKGcR,0,3,Awrd,,,0
1461862800,Sundsvall,Kalmar,rFwxlpm5,CSvriyX1,1,1,,,,0
1461862800,Helsingborg,AIK,2TRrus0k,2c38J1pB,2,1,,,,0
1461862800,Hacken,Gefle,Ew0jDlyt,2c38J1pB,6,1,,,,0
1461862800,Elfsborg,Djurgarden,tl2CILaH,lvoaqOtj,3,0,,,,0
1462107600,Falkenberg,Elfsborg,8CTmUesg,tl2CILaH,1,2,,,,0
1462116600,Malmo FF,Hacken,YmCZKGcR,Ew0jDlyt,3,0,,,,0
1462116600,Hammarby,Sundsvall,EamQtThn,rFwxlpm5,1,1,,,,0
1462208400,Norrkoping,Helsingborg,W2EojdRP,2TRrus0k,3,0,,,,0
1462208400,Kalmar,Orebro,CSvriyX1,Kv1GHuFN,3,2,,,,0
1462208400,Gefle,Goteborg,2c38J1pB,jqs0yJHC,2,6,,,,0
1462208400,Djurgarden,Ostersund,lvoaqOtj,WnKsn5Ti,3,0,,,,0
1462208400,AIK,Jonkoping,2c38J1pB,W2EojdRP,0,0,,,,0
1462629600,Ostersund,Kalmar,WnKsn5Ti,CSvriyX1,1,0,,,,0
1462629600,Elfsborg,Gefle,tl2CILaH,2c38J1pB,2,0,,,,0
1462712400,Jonkoping,Norrkoping,W2EojdRP,W2EojdRP,0,2,,,,0
1462712400,Helsingborg,Malmo FF,2TRrus0k,YmCZKGcR,2,1,,,,0
1462721400,Hacken,AIK,Ew0jDlyt,2c38J1pB,2,3,,,,0
1462813200,Sundsvall,Falkenberg,rFwxlpm5,8CTmUesg,2,1,,,,0
1462813200,Orebro,Hammarby,Kv1GHuFN,EamQtThn,3,2,,,,0
1462813200,Goteborg,Djurgarden,jqs0yJHC,lvoaqOtj,2,1,,,,0
1463159700,Jonkoping,Helsingborg,W2EojdRP,2TRrus0k,1,1,,,,0
1463234400,Malmo FF,Gefle,YmCZKGcR,2c38J1pB,3,0,,,,0
1463234400,Kalmar,Hammarby,CSvriyX1,EamQtThn,1,1,,,,0
1463317200,Orebro,Elfsborg,Kv1GHuFN,tl2CILaH,1,0,,,,0
1463317200,Norrkoping,Sundsvall,W2EojdRP,rFwxlpm5,3,1,,,,0
1463326200,Ostersund,Goteborg,WnKsn5Ti,jqs0yJHC,2,0,,,,0
1463326200,Falkenberg,Hacken,8CTmUesg,Ew0jDlyt,1,4,,,,0
1463418000,AIK,Djurgarden,2c38J1pB,lvoaqOtj,2,0,,,,0
1463589000,Sundsvall,Elfsborg,rFwxlpm5,tl2CILaH,1,3,,,,0
1463589000,Helsingborg,Ostersund,2TRrus0k,WnKsn5Ti,1,1,,,,0
1463589000,Hammarby,Malmo FF,EamQtThn,YmCZKGcR,2,3,,,,0
1463589000,Hacken,Jonkoping,Ew0jDlyt,W2EojdRP,3,1,,,,0
1463677200,Goteborg,Norrkoping,jqs0yJHC,W2EojdRP,1,1,,,,0
1463677200,Gefle,Orebro,2c38J1pB,Kv1GHuFN,0,4,,,,0
1463677200,Djurgarden,Kalmar,lvoaqOtj,CSvriyX1,0,3,,,,0
1463763600,Falkenberg,AIK,8CTmUesg,2c38J1pB,2,3,,,,0
1463839200,Sundsvall,Ostersund,rFwxlpm5,WnKsn5Ti,5,0,,,,0
1463922000,Orebro,Norrkoping,Kv1GHuFN,W2EojdRP,2,2,,,,0
1463922000,Kalmar,Hacken,CSvriyX1,Ew0jDlyt,1,1,,,,0
1463931000,Elfsborg,Jonkoping,tl2CILaH,W2EojdRP,3,3,,,,0
1463931000,Djurgarden,Helsingborg,lvoaqOtj,2TRrus0k,3,0,,,,0
1464022800,Malmo FF,Falkenberg,YmCZKGcR,8CTmUesg,2,0,,,,0
1464022800,Goteborg,Hammarby,jqs0yJHC,EamQtThn,2,1,,,,0
1464022800,Gefle,AIK,2c38J1pB,2c38J1pB,0,1,,,,0
1464444000,Ostersund,Malmo FF,WnKsn5Ti,YmCZKGcR,1,4,,,,0
1464444000,Jonkoping,Sundsvall,W2EojdRP,rFwxlpm5,1,1,,,,0
1464444000,AIK,Orebro,2c38J1pB,Kv1GHuFN,0,0,,,,0
1464526800,Helsingborg,Goteborg,2TRrus0k,jqs0yJHC,1,3,,,,0
1464526800,Hammarby,Gefle,EamQtThn,2c38J1pB,2,1,,,,0
1464526800,Falkenberg,Kalmar,8CTmUesg,CSvriyX1,1,2,,,,0
1464535800,Norrkoping,Elfsborg,W2EojdRP,tl2CILaH,0,0,,,,0
1464535800,Hacken,Djurgarden,Ew0jDlyt,lvoaqOtj,3,1,,,,0
1468072800,Hacken,Hammarby,Ew0jDlyt,EamQtThn,4,2,,,,0
1468072800,Gefle,Falkenberg,2c38J1pB,8CTmUesg,1,2,,,,0
1468072800,Djurgarden,Norrkoping,lvoaqOtj,W2EojdRP,0,1,,,,0
1468155600,Ostersund,Jonkoping,WnKsn5Ti,W2EojdRP,1,0,,,,0
1468155600,Goteborg,Sundsvall,jqs0yJHC,rFwxlpm5,4,1,,,,0
1468164600,Kalmar,AIK,CSvriyX1,2c38J1pB,1,1,,,,0
1468164600,Helsingborg,Elfsborg,2TRrus0k,tl2CILaH,2,4,,,,0
1468256400,Malmo FF,Orebro,YmCZKGcR,Kv1GHuFN,1,0,,,,0
1468677600,Sundsvall,Helsingborg,rFwxlpm5,2TRrus0k,0,2,,,,0
1468677600,Norrkoping,Ostersund,W2EojdRP,WnKsn5Ti,3,3,,,,0
1468760400,Elfsborg,Goteborg,tl2CILaH,jqs0yJHC,1,1,,,,0
1468769400,Orebro,Hacken,Kv1GHuFN,Ew0jDlyt,0,0,,,,0
1468769400,Hammarby,Falkenberg,EamQtThn,8CTmUesg,3,3,,,,0
1468769400,AIK,Malmo FF,2c38J1pB,YmCZKGcR,1,1,,,,0
1468861200,Jonkoping,Djurgarden,W2EojdRP,lvoaqOtj,1,0,,,,0
1468861200,Gefle,Kalmar,2c38J1pB,CSvriyX1,4,2,,,,0
1469282400,Norrkoping,Gefle,W2EojdRP,2c38J1pB,2,0,,,,0
1469282400,Malmo FF,Kalmar,YmCZKGcR,CSvriyX1,1,1,,,,0
1469282400,Falkenberg,Orebro,8CTmUesg,Kv1GHuFN,1,3,,,,0
1469365200,Hammarby,AIK,EamQtThn,2c38J1pB,0,3,,,,0
1469374200,Helsingborg,Hacken,2TRrus0k,Ew0jDlyt,0,2,,,,0
1469374200,Goteborg,Jonkoping,jqs0yJHC,W2EojdRP,2,1,,,,0
1469466000,Elfsborg,Ostersund,tl2CILaH,WnKsn5Ti,3,1,,,,0
1469466000,Djurgarden,Sundsvall,lvoaqOtj,rFwxlpm5,1,3,,,,0
1469887200,Sundsvall,Norrkoping,rFwxlpm5,W2EojdRP,1,2,,,,0
1469887200,Ostersund,Elfsborg,WnKsn5Ti,tl2CILaH,0,0,,,,0
1469887200,Gefle,Hammarby,2c38J1pB,EamQtThn,0,2,,,,0
1469970000,Jonkoping,Goteborg,W2EojdRP,jqs0yJHC,1,1,,,,0
1469979000,Hacken,Helsingborg,Ew0jDlyt,2TRrus0k,1,1,,,,0
1469979000,AIK,Falkenberg,2c38J1pB,8CTmUesg,2,0,,,,0
1470070800,Orebro,Malmo FF,Kv1GHuFN,YmCZKGcR,0,3,,,,0
1470070800,Kalmar,Djurgarden,CSvriyX1,lvoaqOtj,2,1,,,,0
1470418200,Helsingborg,Gefle,2TRrus0k,2c38J1pB,2,3,,,,0
1470492000,Ostersund,Sundsvall,WnKsn5Ti,rFwxlpm5,4,0,,,,0
1470492000,Falkenberg,Jonkoping,8CTmUesg,W2EojdRP,0,5,,,,0
1470567600,Malmo FF,AIK,YmCZKGcR,2c38J1pB,2,0,,,,0
1470576600,Norrkoping,Orebro,W2EojdRP,Kv1GHuFN,3,1,,,,0
1470576600,Hammarby,Kalmar,EamQtThn,CSvriyX1,2,1,,,,0
1470576600,Elfsborg,Hacken,tl2CILaH,Ew0jDlyt,2,4,,,,0
1470675600,Djurgarden,Goteborg,lvoaqOtj,jqs0yJHC,3,1,,,,0
1470848400,Norrkoping,Hacken,W2EojdRP,Ew0jDlyt,3,1,,,,0
1471021200,Goteborg,Falkenberg,jqs0yJHC,8CTmUesg,2,0,,,,0
1471096800,Gefle,Norrkoping,2c38J1pB,W2EojdRP,0,0,,,,0
1471096800,AIK,Helsingborg,2c38J1pB,2TRrus0k,2,1,,,,0
1471179600,Kalmar,Malmo FF,CSvriyX1,YmCZKGcR,1,1,,,,0
1471188600,Hacken,Orebro,Ew0jDlyt,Kv1GHuFN,0,1,,,,0
1471188600,Djurgarden,Elfsborg,lvoaqOtj,tl2CILaH,2,2,,,,0
1471280400,Sundsvall,Hammarby,rFwxlpm5,EamQtThn,0,0,,,,0
1471280400,Jonkoping,Ostersund,W2EojdRP,WnKsn5Ti,1,1,,,,0
1471701600,Ostersund,Djurgarden,WnKsn5Ti,lvoaqOtj,1,0,,,,0
1471701600,Helsingborg,Kalmar,2TRrus0k,CSvriyX1,0,1,,,,0
1471784400,Hammarby,Goteborg,EamQtThn,jqs0yJHC,2,0,,,,0
1471793400,Orebro,AIK,Kv1GHuFN,2c38J1pB,0,2,,,,0
1471793400,Falkenberg,Gefle,8CTmUesg,2c38J1pB,1,1,,,,0
1471885200,Malmo FF,Jonkoping,YmCZKGcR,W2EojdRP,4,1,,,,0
1471885200,Elfsborg,Sundsvall,tl2CILaH,rFwxlpm5,4,0,,,,0
1472306400,Kalmar,Norrkoping,CSvriyX1,W2EojdRP,0,1,,,,0
1472306400,Djurgarden,Gefle,lvoaqOtj,2c38J1pB,2,1,,,,0
1472389200,Jonkoping,Elfsborg,W2EojdRP,tl2CILaH,1,0,,,,0
1472389200,Hacken,Ostersund,Ew0jDlyt,WnKsn5Ti,3,1,,,,0
1472389200,AIK,Hammarby,2c38J1pB,EamQtThn,0,0,,,,0
1472398200,Sundsvall,Malmo FF,rFwxlpm5,YmCZKGcR,0,1,,,,0
1472398200,Orebro,Falkenberg,Kv1GHuFN,8CTmUesg,3,2,,,,0
1472398200,Goteborg,Helsingborg,jqs0yJHC,2TRrus0k,2,0,,,,0
1473516000,Elfsborg,Kalmar,tl2CILaH,CSvriyX1,1,1,,,,0
1473598800,Sundsvall,AIK,rFwxlpm5,2c38J1pB,1,3,,,,0
1473598800,Falkenberg,Djurgarden,8CTmUesg,lvoaqOtj,1,2,,,,0
1473607800,Ostersund,Helsingborg,WnKsn5Ti,2TRrus0k,2,0,,,,0
1473607800,Norrkoping,Jonkoping,W2EojdRP,W2EojdRP,5,1,,,,0
1473699600,Malmo FF,Goteborg,YmCZKGcR,jqs0yJHC,3,1,,,,0
1473699600,Hammarby,Orebro,EamQtThn,Kv1GHuFN,1,1,,,,0
1473699600,Gefle,Hacken,2c38J1pB,Ew0jDlyt,2,2,,,,0
