timestamp,home_team,away_team,home_logo,away_logo,home_score,away_score,part,home_part,away_part,neutral
1080428400,Gimonas,IFK Lulea,2sV3dqN2,0fjl5Krp,0,3,,,,0
1080943200,Vindhemspojkarna,Gute,MgWXAICL,0tHj7MWK,0,2,,,,0
1081202400,Uddevalla,Trollhattan,xEUlf9MN,Kdx2cvm8,2,3,,,,0
1081202400,Stockholm FC,Topkapi,OYfAkBQI,EHn98ple,0,2,,,,0
1081288800,Ulvakers,Degerfors,vR4NgJwh,byiRP7dH,0,4,,,,0
1081288800,Robertsfors,Friska Viljor,QVKkk4Fj,j7XJywqn,1,3,,,,0
1081288800,Ostersund,Timra,WnKsn5Ti,j7XJywqn,0,4,,,,0
1081375200,Skovde AIK,Husqvarna,MeoZXSyR,0fjl5Krp,1,5,,,,0
1081461600,S. Kerbura,Vallentuna,zZXXZMUi,6FaPsY1f,0,3,,,,0
1081461600,Olme,Tidaholms,dzip2CL9,bgzpp26d,4,0,,,,0
1081461600,Odeshogs,Rynninge,bTxqLOZl,0vUmEzqC,0,4,,,,0
1081461600,Ljungby,Rosengard,QTF8oS5s,QcJ8eecS,1,2,,,,0
1081461600,Eslov,Hollvikens,KxphZA6g,23WlyJrc,2,1,,,,0
1081720800,Viken,Carlstad,MgWXAICL,0C9HLsbH,0,2,,,,0
1081720800,Vaxjo Utd.,IFK Hassleholm,6kvrG7z8,SthHX6SB,3,4,,,,0
1081720800,Varnamo,Angelholm,hdwWI4JT,8Ux0cWp6,4,2,,,,0
1081720800,Strands,Brage,n9mHhW5G,8Ux0cWp6,2,3,,,,0
1081720800,Sparvagens,Sirius,4zXa9NBT,KrZP8Bjn,3,1,,,,0
1081720800,Sleipner,Azech,raogUhzi,l40FoQNJ,5,1,,,,0
1081720800,Ronneby BK,Bunkeflo IF,O092XFIM,29ebI4SF,0,2,,,,0
1081720800,Linkoping,Myresjo,dzip2CL9,OfEmUdKC,0,1,,,,0
1081720800,Lindsdals,Kristianstad,2ceMnA7R,GxevVHVM,2,4,,,,0
1081720800,Kvibille,Ystads,j9xlwG3t,voRyJ0X5,1,2,,,,0
1081720800,Kinna,GAIS,bXrXKo0R,2c38J1pB,2,4,,,,0
1081720800,Kenty,Tord,p8P5BUsf,MyqNB6pj,2,0,,,,0
1081720800,Hulans,Sandviken,2ZEhjA01,8t1QRKO8,0,5,,,,0
1081720800,Hogvads,Larje/Angereds,Iyn0PCL4,6NiUfzZ8,0,4,,,,0
1081720800,Heimer,Gunnilse,dQPEKNi4,MmVqFGT5,1,2,,,,0
1081720800,Hamre,Tyreso,zXYDI3y1,GWej9vbo,1,4,,,,0
1081720800,Halmia,Hogaborgs,0tVbG58r,MmVqFGT5,4,0,,,,0
1081720800,Fjaras,Torslanda,GSiJmXP7,Y7EtaRe0,1,4,,,,0
1081720800,Enskede,Karlslund,0ASINSdB,KfuSMafd,2,1,,,,0
1081720800,Balinge,Vasalund,UTA9C5OD,EPWyZtpb,2,3,,,,0
1081720800,AFC Eskilstuna,Eskilstuna City,dU39vFud,IPF97VQ3,5,1,,,,0
1083085200,Trollhattan,Djursholm,Kdx2cvm8,6spv8M16,1,2,,,,0
1083085200,Rosengard,Orgryte,QcJ8eecS,KQTvUQwK,0,4,,,,0
1083160800,IFK Lulea,Atvidaberg,0fjl5Krp,nLy4dj0C,0,0,AET,0,1,0
