timestamp,home_team,away_team,home_score,away_score,part,home_part,away_part,neutral
1660928400,Bulle,Thun,0,4,,,,0
1660930200,Stade Nyonnais,Servette,1,4,,,,0
1660932000,La Chaux-De-Fonds,Solothurn,1,0,,,,0
1661002200,Schotz,Luzern,0,4,,,,0
1661004000,Wohlen,Kreuzlingen,4,4,Pen,5,4,0
1661004000,Rotkreuz,Chiasso,3,0,,,,0
1661004000,Bavois,Yverdon,1,3,,,,0
1661004000,Affoltern,Sarmenstorf,1,2,,,,0
1661007600,Wittenbach,Arbedo-Castione,1,1,AET,1,2,0
1661007600,Wettswil-Bonstetten,Grasshoppers,0,4,,,,0
1661007600,Sternenberg,Goldstern,2,4,,,,0
1661008500,Bischofszell,Aarau,0,8,,,,0
1661009400,Portalban,Grand-Saconnex,1,0,,,,0
1661009400,Chenois,Sion,1,1,AET,1,3,0
1661011200,Saxon-Sports,Meyrin,0,2,,,,0
1661011200,Littau,Wil,0,6,,,,0
1661018400,Italien,Lausanne Ouchy,2,5,,,,0
1661083200,FC Widnau,Bellinzona,1,4,,,,0
1661083200,Cham,Zurich,0,4,,,,0
1661085000,Muri,Winterthur,0,7,,,,0
1661086800,Subingen,Koniz,0,2,,,,0
1661086800,Linth,Lugano,1,5,,,,0
1661086800,Ibach,Schaffhausen,1,5,,,,0
1661086800,Gland,Lausanne,0,4,,,,0
1661086800,Compesieres,Etoile-Carouge,0,5,,,,0
1661090400,Rorschach,St. Gallen,0,15,,,,0
1661090400,Bosporus,Breitenrain,0,3,,,,0
1661090400,Audax-Friul,Xamax,1,5,,,,0
1661090400,Allschwil,Basel,0,5,,,,0
1661092200,Gambarogno - Contone,Kriens,0,5,,,,0
1661094000,Schoenberg,Young Boys,1,10,,,,0
1661095800,Wiedikon,Rapperswil-Jona,1,2,,,,0
1663349400,Xamax,Thun,1,2,,,,0
1663419600,Meyrin,Winterthur,0,4,,,,0
1663423200,Rotkreuz,Kriens,1,1,AET,2,1,0
1663423200,Koniz,Wohlen,1,2,,,,0
1663423200,Bellinzona,Luzern,0,0,AET,0,1,0
1663426800,Rapperswil-Jona,Sion,0,2,,,,0
1663426800,Goldstern,Grasshoppers,0,3,,,,0
1663426800,Etoile-Carouge,St. Gallen,2,4,,,,0
1663430400,La Chaux-De-Fonds,Servette,0,2,,,,0
1663432200,Lausanne Ouchy,Young Boys,0,1,,,,0
1663432200,Arbedo-Castione,Sarmenstorf,6,0,,,,0
1663502400,Schaffhausen,Yverdon,4,1,,,,0
1663506000,Breitenrain,Lugano,0,4,,,,0
1663507800,Aarau,Basel,1,1,AET,1,3,0
1663509600,Portalban,Wil,0,2,,,,0
1663509600,Lausanne,Zurich,2,2,AET,3,2,0
1667934000,Rotkreuz,Schaffhausen,2,1,,,,0
1667935800,Arbedo-Castione,St. Gallen,0,5,,,,0
1668018600,Wil,Sion,0,0,AET,1,2,0
1668021300,Wohlen,Servette,1,1,AET,2,5,0
1668021300,Lausanne,Young Boys,1,5,,,,0
1668022200,Lugano,Winterthur,1,0,,,,0
1675188000,Thun,Luzern,2,2,Pen,3,2,0
1675278900,Grasshoppers,Basel,3,5,,,,0
1677611700,Thun,Young Boys,0,5,,,,0
1677698100,St. Gallen,Basel,1,1,AET,1,2,0
1677698100,Sion,Lugano,0,3,,,,0
1677784500,Rotkreuz,Servette,0,3,,,,0
1680632100,Basel,Young Boys,2,4,,,,0
1680718500,Servette,Lugano,2,2,Pen,2,3,0
1685880000,Young Boys,Lugano,3,2,,,,1
